player_name,team,player_role,runs_scored,balls_faced,fours,sixes,strike_rate,out_status,dismissal_type,overs_bowled,runs_conceded,wickets_taken,maidens,economy_rate,catches,run_outs,stumpings,match_id,match_date,venue,batting_team,opposition,match_result,toss_winner,toss_decision
Imran Sheikh,Karnali Yaks (NPL),Batsman,33,32,1,1,103.12,Yes,c Sanjay Krishnamurthi b Lalit Rajbanshi,0,0,0,0,0,0,0,0,28,2025-12-07,"Tribhuvan University International Cricket Ground, Kirtipur","Karnali Yaks (NPL)","Janakpur Bolts (NPL)",Win,"Janakpur Bolts (NPL)",Bat
Mark Watt,Karnali Yaks (NPL),All-rounder,4,7,0,0,57.14,Yes,lbw b Sangeeth Cooray,4,12,1,0,3.00,0,0,0,28,2025-12-07,"Tribhuvan University International Cricket Ground, Kirtipur","Karnali Yaks (NPL)","Janakpur Bolts (NPL)",Win,"Janakpur Bolts (NPL)",Bat
Priyank Panchal,Karnali Yaks (NPL),Batsman,16,18,3,0,88.88,Yes,c Sangeeth Cooray b Lalit Rajbanshi,0,0,0,0,0,1,0,0,28,2025-12-07,"Tribhuvan University International Cricket Ground, Kirtipur","Karnali Yaks (NPL)","Janakpur Bolts (NPL)",Win,"Janakpur Bolts (NPL)",Bat
Gulsan Jha,Karnali Yaks (NPL),All-rounder,19,20,0,1,95.00,Yes,c Anil Sah b Maaz Sadaqat,0,0,0,0,0,1,0,0,28,2025-12-07,"Tribhuvan University International Cricket Ground, Kirtipur","Karnali Yaks (NPL)","Janakpur Bolts (NPL)",Win,"Janakpur Bolts (NPL)",Bat
William Bosisto,Karnali Yaks (NPL),All-rounder,15,12,1,0,125.00,Yes,b Aaditya Mahata,4,18,2,0,4.50,1,0,0,28,2025-12-07,"Tribhuvan University International Cricket Ground, Kirtipur","Karnali Yaks (NPL)","Janakpur Bolts (NPL)",Win,"Janakpur Bolts (NPL)",Bat
Najibullah Zadran,Karnali Yaks (NPL),Batsman,13,13,0,1,100.00,Yes,c Pappu Yadav b Anil Sah,0,0,0,0,0,1,0,0,28,2025-12-07,"Tribhuvan University International Cricket Ground, Kirtipur","Karnali Yaks (NPL)","Janakpur Bolts (NPL)",Win,"Janakpur Bolts (NPL)",Bat
Pawan Sarraf,Karnali Yaks (NPL),All-rounder,1,2,0,0,50.00,Yes,c Pappu Yadav b Aaditya Mahata,4,27,1,0,6.75,0,0,0,28,2025-12-07,"Tribhuvan University International Cricket Ground, Kirtipur","Karnali Yaks (NPL)","Janakpur Bolts (NPL)",Win,"Janakpur Bolts (NPL)",Bat
Arjun Gharti,Karnali Yaks (NPL),Wicket-keeper,4,3,0,0,133.33,Yes,run out (Tul Thapa/Sangeeth Cooray),0,0,0,0,0,3,1,0,28,2025-12-07,"Tribhuvan University International Cricket Ground, Kirtipur","Karnali Yaks (NPL)","Janakpur Bolts (NPL)",Win,"Janakpur Bolts (NPL)",Bat
Sompal Kami,Karnali Yaks (NPL),All-rounder,18,11,1,1,163.63,No,not out,2,11,1,0,5.50,1,0,0,28,2025-12-07,"Tribhuvan University International Cricket Ground, Kirtipur","Karnali Yaks (NPL)","Janakpur Bolts (NPL)",Win,"Janakpur Bolts (NPL)",Bat
Dipendra Rawat,Karnali Yaks (NPL),All-rounder,2,2,0,0,100.00,Yes,run out (†Aasif Sheikh),3,29,0,0,9.66,0,1,0,28,2025-12-07,"Tribhuvan University International Cricket Ground, Kirtipur","Karnali Yaks (NPL)","Janakpur Bolts (NPL)",Win,"Janakpur Bolts (NPL)",Bat
Nandan Yadav,Karnali Yaks (NPL),Bowler,0,0,0,0,0,No,did not bat,3,23,1,0,7.66,1,0,0,28,2025-12-07,"Tribhuvan University International Cricket Ground, Kirtipur","Karnali Yaks (NPL)","Janakpur Bolts (NPL)",Win,"Janakpur Bolts (NPL)",Bat
Maaz Sadaqat,Janakpur Bolts (NPL),All-rounder,12,16,2,0,75.00,Yes,lbw b William Bosisto,4,27,1,0,6.75,0,0,0,28,2025-12-07,"Tribhuvan University International Cricket Ground, Kirtipur","Janakpur Bolts (NPL)","Karnali Yaks (NPL)",Loss,"Janakpur Bolts (NPL)",Field
Aasif Sheikh,Janakpur Bolts (NPL),Wicket-keeper,0,3,0,0,0.00,Yes,c †Arjun Gharti b Mark Watt,0,0,0,0,0,1,1,0,28,2025-12-07,"Tribhuvan University International Cricket Ground, Kirtipur","Janakpur Bolts (NPL)","Karnali Yaks (NPL)",Loss,"Janakpur Bolts (NPL)",Field
