player_name,team,player_role,runs_scored,balls_faced,fours,sixes,strike_rate,out_status,dismissal_type,overs_bowled,runs_conceded,wickets_taken,maidens,economy_rate,catches,run_outs,stumpings,match_id,match_date,venue,batting_team,opposition,match_result,toss_winner,toss_decision
George Munsey,Biratnagar Kings (NPL),All-rounder,0,2,0,0,0.00,Yes,lbw b Sher Malla,1,9,0,0,9.00,0,0,0,22,2025-12-03,"Tribhuvan University International Cricket Ground, Kirtipur","Biratnagar Kings (NPL)","Lumbini Lions (NPL)",Loss,"Lumbini Lions (NPL)",Bat
Faf du Plessis,Biratnagar Kings (NPL),Batsman,12,9,2,0,133.33,Yes,st †Niroshan Dickwella b Abhishesh Gautam,0,0,0,0,0,1,0,0,22,2025-12-03,"Tribhuvan University International Cricket Ground, Kirtipur","Biratnagar Kings (NPL)","Lumbini Lions (NPL)",Loss,"Lumbini Lions (NPL)",Bat
Lokesh Bam,Biratnagar Kings (NPL),Batsman,35,42,2,2,83.33,Yes,c & b JJ Smit,0,0,0,0,0,0,0,0,22,2025-12-03,"Tribhuvan University International Cricket Ground, Kirtipur","Biratnagar Kings (NPL)","Lumbini Lions (NPL)",Loss,"Lumbini Lions (NPL)",Bat
Sam Heazlett,Biratnagar Kings (NPL),All-rounder,27,20,1,2,135.00,Yes,c Dilip Nath b Sher Malla,0,0,0,0,0,1,0,0,22,2025-12-03,"Tribhuvan University International Cricket Ground, Kirtipur","Biratnagar Kings (NPL)","Lumbini Lions (NPL)",Loss,"Lumbini Lions (NPL)",Bat
Narayan Joshi,Biratnagar Kings (NPL),All-rounder,5,7,0,0,71.42,Yes,lbw b Sher Malla,1,16,0,0,16.00,0,0,0,22,2025-12-03,"Tribhuvan University International Cricket Ground, Kirtipur","Biratnagar Kings (NPL)","Lumbini Lions (NPL)",Loss,"Lumbini Lions (NPL)",Bat
Basir Ahamad,Biratnagar Kings (NPL),All-rounder,28,19,1,1,147.36,Yes,c Tilak Bhandari b Ruben Trumpelmann,0.4,7,1,0,10.50,0,0,0,22,2025-12-03,"Tribhuvan University International Cricket Ground, Kirtipur","Biratnagar Kings (NPL)","Lumbini Lions (NPL)",Loss,"Lumbini Lions (NPL)",Bat
Pratis GC,Biratnagar Kings (NPL),Bowler,11,9,1,0,122.22,Yes,run out (Rohit Paudel/Dilip Nath),3,28,0,0,9.33,0,1,0,22,2025-12-03,"Tribhuvan University International Cricket Ground, Kirtipur","Biratnagar Kings (NPL)","Lumbini Lions (NPL)",Loss,"Lumbini Lions (NPL)",Bat
Marchant de Lange,Biratnagar Kings (NPL),Bowler,10,8,1,0,125.00,No,not out,4,34,0,0,8.50,0,0,0,22,2025-12-03,"Tribhuvan University International Cricket Ground, Kirtipur","Biratnagar Kings (NPL)","Lumbini Lions (NPL)",Loss,"Lumbini Lions (NPL)",Bat
Sahil Patel,Biratnagar Kings (NPL),Wicket-keeper,3,3,0,0,100.00,Yes,run out (Sundeep Jora/†Niroshan Dickwella),0,0,0,0,0,3,1,0,22,2025-12-03,"Tribhuvan University International Cricket Ground, Kirtipur","Biratnagar Kings (NPL)","Lumbini Lions (NPL)",Loss,"Lumbini Lions (NPL)",Bat
Sandeep Lamichhane,Biratnagar Kings (NPL),All-rounder,6,1,0,1,600.00,No,not out,4,20,2,0,5.00,0,0,0,22,2025-12-03,"Tribhuvan University International Cricket Ground, Kirtipur","Biratnagar Kings (NPL)","Lumbini Lions (NPL)",Loss,"Lumbini Lions (NPL)",Bat
Subash Bhandari,Biratnagar Kings (NPL),Bowler,0,0,0,0,0,No,did not bat,4,30,2,0,7.50,1,0,0,22,2025-12-03,"Tribhuvan University International Cricket Ground, Kirtipur","Biratnagar Kings (NPL)","Lumbini Lions (NPL)",Loss,"Lumbini Lions (NPL)",Bat
D'Arcy Short,Lumbini Lions (NPL),All-rounder,57,44,6,2,129.54,Yes,c Lokesh Bam b Sandeep Lamichhane,1,9,0,0,9.00,1,0,0,22,2025-12-03,"Tribhuvan University International Cricket Ground, Kirtipur","Lumbini Lions (NPL)","Biratnagar Kings (NPL)",Win,"Lumbini Lions (NPL)",Field
Sumit Maharjan,Lumbini Lions (NPL),Batsman,10,11,1,0,90.90,Yes,st †Sahil Patel b Subash Bhandari,0,0,0,0,0,0,0,0,22,2025-12-03,"Tribhuvan University International Cricket Ground, Kirtipur","Lumbini Lions (NPL)","Biratnagar Kings (NPL)",Win,"Lumbini Lions (NPL)",Field
Rohit Paudel,Lumbini Lions (NPL),All-rounder,0,3,0,0,0.00,Yes,c Faf du Plessis b Subash Bhandari,0,0,0,0,0,2,0,0,22,2025-12-03,"Tribhuvan University International Cricket Ground, Kirtipur","Lumbini Lions (NPL)","Biratnagar Kings (NPL)",Win,"Lumbini Lions (NPL)",Field
