player_name,team,player_role,runs_scored,balls_faced,fours,sixes,strike_rate,out_status,dismissal_type,overs_bowled,runs_conceded,wickets_taken,maidens,economy_rate,catches,run_outs,stumpings,match_id,match_date,venue,batting_team,opposition,match_result,toss_winner,toss_decision
Lokesh Bam,Biratnagar Kings (NPL),Wicket-keeper,28,26,2,1,107.69,Yes,c Krishnamurthi b Cooray,0,0,0,0,0,2,0,0,9,2025-11-24,"Tribhuvan University International Cricket Ground, Kirtipur","Biratnagar Kings (NPL)","Janakpur Bolts (NPL)",Win,"Janakpur Bolts (NPL)",Field
George Munsey,Biratnagar Kings (NPL),Batsman,10,7,2,0,142.85,Yes,b Cooray,0,0,0,0,0,1,0,0,9,2025-11-24,"Tribhuvan University International Cricket Ground, Kirtipur","Biratnagar Kings (NPL)","Janakpur Bolts (NPL)",Win,"Janakpur Bolts (NPL)",Field
Martin Guptill,Biratnagar Kings (NPL),Batsman,13,15,1,0,86.66,Yes,c Mahato b Mahata,0,0,0,0,0,1,0,0,9,2025-11-24,"Tribhuvan University International Cricket Ground, Kirtipur","Biratnagar Kings (NPL)","Janakpur Bolts (NPL)",Win,"Janakpur Bolts (NPL)",Field
Basir Ahamad,Biratnagar Kings (NPL),All-rounder,36,35,0,3,102.85,Yes,b Rupesh Singh,1,13,0,0,13.00,0,0,0,9,2025-11-24,"Tribhuvan University International Cricket Ground, Kirtipur","Biratnagar Kings (NPL)","Janakpur Bolts (NPL)",Win,"Janakpur Bolts (NPL)",Field
Shubham Ranjane,Biratnagar Kings (NPL),All-rounder,37,29,2,2,127.58,Yes,run out (Loftie-Eaton/Rupesh Singh),2,22,1,0,11.00,2,1,0,9,2025-11-24,"Tribhuvan University International Cricket Ground, Kirtipur","Biratnagar Kings (NPL)","Janakpur Bolts (NPL)",Win,"Janakpur Bolts (NPL)",Field
Narayan Joshi,Biratnagar Kings (NPL),Batsman,2,4,0,0,50.00,Yes,c Loftie-Eaton b Rupesh Singh,0,0,0,0,0,2,0,0,9,2025-11-24,"Tribhuvan University International Cricket Ground, Kirtipur","Biratnagar Kings (NPL)","Janakpur Bolts (NPL)",Win,"Janakpur Bolts (NPL)",Field
Marchant de Lange,Biratnagar Kings (NPL),Bowler,0,1,0,0,0.00,Yes,run out (Rupesh Singh),3,19,1,0,6.33,0,1,0,9,2025-11-24,"Tribhuvan University International Cricket Ground, Kirtipur","Biratnagar Kings (NPL)","Janakpur Bolts (NPL)",Win,"Janakpur Bolts (NPL)",Field
Pratis GC,Biratnagar Kings (NPL),Bowler,2,2,0,0,100.00,No,not out,2,18,0,0,9.00,0,0,0,9,2025-11-24,"Tribhuvan University International Cricket Ground, Kirtipur","Biratnagar Kings (NPL)","Janakpur Bolts (NPL)",Win,"Janakpur Bolts (NPL)",Field
Sandeep Lamichhane,Biratnagar Kings (NPL),Bowler,0,1,0,0,0.00,No,not out,4,11,4,0,2.75,0,0,0,9,2025-11-24,"Tribhuvan University International Cricket Ground, Kirtipur","Biratnagar Kings (NPL)","Janakpur Bolts (NPL)",Win,"Janakpur Bolts (NPL)",Field
Naren Bhatta,Biratnagar Kings (NPL),Bowler,0,0,0,0,0,No,did not bat,4,21,0,0,5.25,0,0,0,9,2025-11-24,"Tribhuvan University International Cricket Ground, Kirtipur","Biratnagar Kings (NPL)","Janakpur Bolts (NPL)",Win,"Janakpur Bolts (NPL)",Field
Surya Tamang,Biratnagar Kings (NPL),Bowler,0,0,0,0,0,No,did not bat,4,20,2,0,5.00,2,0,0,9,2025-11-24,"Tribhuvan University International Cricket Ground, Kirtipur","Biratnagar Kings (NPL)","Janakpur Bolts (NPL)",Win,"Janakpur Bolts (NPL)",Field
Lahiru Milantha,Janakpur Bolts (NPL),Wicket-keeper,23,22,2,1,104.54,Yes,b Lamichhane,0,0,0,0,0,1,0,0,9,2025-11-24,"Tribhuvan University International Cricket Ground, Kirtipur","Janakpur Bolts (NPL)","Biratnagar Kings (NPL)",Loss,"Janakpur Bolts (NPL)",Field
Aasif Sheikh,Janakpur Bolts (NPL),Batsman,13,11,2,0,118.18,Yes,b Surya Tamang,0,0,0,0,0,0,0,0,9,2025-11-24,"Tribhuvan University International Cricket Ground, Kirtipur","Janakpur Bolts (NPL)","Biratnagar Kings (NPL)",Loss,"Janakpur Bolts (NPL)",Field
Anil Sah,Janakpur Bolts (NPL),All-rounder,4,14,0,0,28.57,Yes,c Munsey b Lamichhane,4,26,0,0,6.50,0,0,0,9,2025-11-24,"Tribhuvan University International Cricket Ground, Kirtipur","Janakpur Bolts (NPL)","Biratnagar Kings (NPL)",Loss,"Janakpur Bolts (NPL)",Field
Sanjay Krishnamurthi,Janakpur Bolts (NPL),All-rounder,20,12,2,1,166.66,Yes,c Joshi b Surya Tamang,2,11,0,0,5.50,1,0,0,9,2025-11-24,"Tribhuvan University International Cricket Ground, Kirtipur","Janakpur Bolts (NPL)","Biratnagar Kings (NPL)",Loss,"Janakpur Bolts (NPL)",Field
Jan Nicol Loftie-Eaton,Janakpur Bolts (NPL),All-rounder,41,30,4,1,136.66,Yes,run out (†Lokesh Bam),0,0,0,0,0,1,1,0,9,2025-11-24,"Tribhuvan University International Cricket Ground, Kirtipur","Janakpur Bolts (NPL)","Biratnagar Kings (NPL)",Loss,"Janakpur Bolts (NPL)",Field
Mayan Yadav,Janakpur Bolts (NPL),Batsman,4,9,0,0,44.44,Yes,c de Lange b Ranjane,0,0,0,0,0,0,0,0,9,2025-11-24,"Tribhuvan University International Cricket Ground, Kirtipur","Janakpur Bolts (NPL)","Biratnagar Kings (NPL)",Loss,"Janakpur Bolts (NPL)",Field
Rupesh Singh,Janakpur Bolts (NPL),Bowler,8,11,0,0,72.72,Yes,c †Lokesh Bam b Lamichhane,2,12,2,0,6.00,3,1,0,9,2025-11-24,"Tribhuvan University International Cricket Ground, Kirtipur","Janakpur Bolts (NPL)","Biratnagar Kings (NPL)",Loss,"Janakpur Bolts (NPL)",Field
Sangeeth Cooray,Janakpur Bolts (NPL),All-rounder,0,1,0,0,0.00,Yes,c Joshi b Lamichhane,4,26,2,0,6.50,0,0,0,9,2025-11-24,"Tribhuvan University International Cricket Ground, Kirtipur","Janakpur Bolts (NPL)","Biratnagar Kings (NPL)",Loss,"Janakpur Bolts (NPL)",Field
Aaditya Mahata,Janakpur Bolts (NPL),Bowler,1,3,0,0,33.33,Yes,lbw b de Lange,2,16,1,0,8.00,0,0,0,9,2025-11-24,"Tribhuvan University International Cricket Ground, Kirtipur","Janakpur Bolts (NPL)","Biratnagar Kings (NPL)",Loss,"Janakpur Bolts (NPL)",Field
Kishor Mahato,Janakpur Bolts (NPL),Bowler,2,4,0,0,50.00,No,not out,2,19,0,0,9.50,1,0,0,9,2025-11-24,"Tribhuvan University International Cricket Ground, Kirtipur","Janakpur Bolts (NPL)","Biratnagar Kings (NPL)",Loss,"Janakpur Bolts (NPL)",Field
Lalit Rajbanshi,Janakpur Bolts (NPL),Bowler,5,3,1,0,166.66,No,not out,4,21,0,0,5.25,0,0,0,9,2025-11-24,"Tribhuvan University International Cricket Ground, Kirtipur","Janakpur Bolts (NPL)","Biratnagar Kings (NPL)",Loss,"Janakpur Bolts (NPL)",Field

