player_name,team,player_role,runs_scored,balls_faced,fours,sixes,strike_rate,out_status,dismissal_type,overs_bowled,runs_conceded,wickets_taken,maidens,economy_rate,catches,run_outs,stumpings,match_id,match_date,venue,batting_team,opposition,match_result,toss_winner,toss_decision
Deepak Bohara,Chitwan Rhinos (NPL),Batsman,10,12,1,0,83.33,Yes,st †Sameer Ali b Gautam,0,0,0,0,0,0,0,0,5,2025-11-20,"Tribhuvan University International Cricket Ground, Kirtipur","Chitwan Rhinos (NPL)","Lumbini Lions (NPL)",Loss,"Lumbini Lions (NPL)",Field
Dawid Malan,Chitwan Rhinos (NPL),Batsman,0,1,0,0,0.00,Yes,b Trumpelmann,0.3,5,0,0,10.00,0,0,0,5,2025-11-20,"Tribhuvan University International Cricket Ground, Kirtipur","Chitwan Rhinos (NPL)","Lumbini Lions (NPL)",Loss,"Lumbini Lions (NPL)",Field
Dev Khanal,Chitwan Rhinos (NPL),Batsman,14,19,0,1,73.68,Yes,c Jora b Gautam,0,0,0,0,0,1,0,0,5,2025-11-20,"Tribhuvan University International Cricket Ground, Kirtipur","Chitwan Rhinos (NPL)","Lumbini Lions (NPL)",Loss,"Lumbini Lions (NPL)",Field
Ravi Bopara,Chitwan Rhinos (NPL),All-rounder,66,55,4,3,120.00,Yes,c Nath b Gulbadin Naib,0,0,0,0,0,0,0,0,5,2025-11-20,"Tribhuvan University International Cricket Ground, Kirtipur","Chitwan Rhinos (NPL)","Lumbini Lions (NPL)",Loss,"Lumbini Lions (NPL)",Field
Kushal Malla,Chitwan Rhinos (NPL),All-rounder,21,18,0,1,116.66,Yes,c Jora b Trumpelmann,4,16,0,0,4.00,1,1,0,5,2025-11-20,"Tribhuvan University International Cricket Ground, Kirtipur","Chitwan Rhinos (NPL)","Lumbini Lions (NPL)",Loss,"Lumbini Lions (NPL)",Field
Saif Zaib,Chitwan Rhinos (NPL),All-rounder,15,7,2,1,214.28,Yes,c Paudel b Trumpelmann,4,26,0,0,6.50,0,0,0,5,2025-11-20,"Tribhuvan University International Cricket Ground, Kirtipur","Chitwan Rhinos (NPL)","Lumbini Lions (NPL)",Loss,"Lumbini Lions (NPL)",Field
Arjun Saud,Chitwan Rhinos (NPL),Wicket-keeper,8,5,1,0,160.00,No,not out,0,0,0,0,0,0,0,0,5,2025-11-20,"Tribhuvan University International Cricket Ground, Kirtipur","Chitwan Rhinos (NPL)","Lumbini Lions (NPL)",Loss,"Lumbini Lions (NPL)",Field
Sohail Tanvir,Chitwan Rhinos (NPL),Bowler,5,3,1,0,166.66,Yes,c Jora b Gulbadin Naib,4,30,1,0,7.50,0,0,0,5,2025-11-20,"Tribhuvan University International Cricket Ground, Kirtipur","Chitwan Rhinos (NPL)","Lumbini Lions (NPL)",Loss,"Lumbini Lions (NPL)",Field
Rijan Dhakal,Chitwan Rhinos (NPL),Bowler,0,0,0,0,0,No,did not bat,3,17,2,0,5.66,1,0,0,5,2025-11-20,"Tribhuvan University International Cricket Ground, Kirtipur","Chitwan Rhinos (NPL)","Lumbini Lions (NPL)",Loss,"Lumbini Lions (NPL)",Field
Kamal Airee,Chitwan Rhinos (NPL),Bowler,0,0,0,0,0,No,did not bat,3,44,0,0,14.66,0,0,0,5,2025-11-20,"Tribhuvan University International Cricket Ground, Kirtipur","Chitwan Rhinos (NPL)","Lumbini Lions (NPL)",Loss,"Lumbini Lions (NPL)",Field
