player_name,team,player_role,runs_scored,balls_faced,fours,sixes,strike_rate,out_status,dismissal_type,overs_bowled,runs_conceded,wickets_taken,maidens,economy_rate,catches,run_outs,stumpings,match_id,match_date,venue,batting_team,opposition,match_result,toss_winner,toss_decision
Ben Charlesworth,Kathmandu Gorkhas (NPL),Batsman,13,14,2,0,92.85,Yes,c Ravi Bopara b Sohail Tanvir,0,0,0,0,0,0,0,0,15,2025-11-28,"Tribhuvan University International Cricket Ground, Kirtipur","Kathmandu Gorkhas (NPL)","Chitwan Rhinos (NPL)",Win,"Chitwan Rhinos (NPL)",Field
Aakash Tripathi,Kathmandu Gorkhas (NPL),Batsman,4,5,1,0,80.00,Yes,run out (†Arjun Saud),0,0,0,0,0,0,1,0,15,2025-11-28,"Tribhuvan University International Cricket Ground, Kirtipur","Kathmandu Gorkhas (NPL)","Chitwan Rhinos (NPL)",Win,"Chitwan Rhinos (NPL)",Field
Rashid Khan,Kathmandu Gorkhas (NPL),All-rounder,6,6,0,1,100.00,Yes,c Ravi Bopara b Ranjit Kumar,1.2,3,3,0,2.25,2,0,0,15,2025-11-28,"Tribhuvan University International Cricket Ground, Kirtipur","Kathmandu Gorkhas (NPL)","Chitwan Rhinos (NPL)",Win,"Chitwan Rhinos (NPL)",Field
Milind Kumar,Kathmandu Gorkhas (NPL),All-rounder,38,43,5,0,88.37,Yes,b Ravi Bopara,4,18,2,0,4.50,3,0,0,15,2025-11-28,"Tribhuvan University International Cricket Ground, Kirtipur","Kathmandu Gorkhas (NPL)","Chitwan Rhinos (NPL)",Win,"Chitwan Rhinos (NPL)",Field
John Simpson,Kathmandu Gorkhas (NPL),Wicket-keeper,60,29,3,5,206.89,Yes,c Saif Zaib b Kamal Airee,0,0,0,0,0,1,0,2,15,2025-11-28,"Tribhuvan University International Cricket Ground, Kirtipur","Kathmandu Gorkhas (NPL)","Chitwan Rhinos (NPL)",Win,"Chitwan Rhinos (NPL)",Field
Mohammad Aadil Alam,Kathmandu Gorkhas (NPL),Bowler,8,5,1,0,160.00,Yes,b Sohail Tanvir,0,0,0,0,0,1,0,0,15,2025-11-28,"Tribhuvan University International Cricket Ground, Kirtipur","Kathmandu Gorkhas (NPL)","Chitwan Rhinos (NPL)",Win,"Chitwan Rhinos (NPL)",Field
Gerhard Erasmus,Kathmandu Gorkhas (NPL),All-rounder,0,3,0,0,0.00,Yes,st †Kumar b Sohail Tanvir,1,2,0,0,2.00,3,0,0,15,2025-11-28,"Tribhuvan University International Cricket Ground, Kirtipur","Kathmandu Gorkhas (NPL)","Chitwan Rhinos (NPL)",Win,"Chitwan Rhinos (NPL)",Field
Karan KC,Kathmandu Gorkhas (NPL),All-rounder,1,2,0,0,50.00,Yes,c Kamal Airee b Ranjit Kumar,4,23,2,0,5.75,1,0,0,15,2025-11-28,"Tribhuvan University International Cricket Ground, Kirtipur","Kathmandu Gorkhas (NPL)","Chitwan Rhinos (NPL)",Win,"Chitwan Rhinos (NPL)",Field
Santosh Yadav,Kathmandu Gorkhas (NPL),All-rounder,0,2,0,0,0.00,Yes,c & b Sohail Tanvir,2,9,1,0,4.50,0,0,0,15,2025-11-28,"Tribhuvan University International Cricket Ground, Kirtipur","Kathmandu Gorkhas (NPL)","Chitwan Rhinos (NPL)",Win,"Chitwan Rhinos (NPL)",Field
Shahab Alam,Kathmandu Gorkhas (NPL),Bowler,2,4,0,0,50.00,No,not out,4,26,2,0,6.50,2,0,0,15,2025-11-28,"Tribhuvan University International Cricket Ground, Kirtipur","Kathmandu Gorkhas (NPL)","Chitwan Rhinos (NPL)",Win,"Chitwan Rhinos (NPL)",Field
Dipesh Kandel,Kathmandu Gorkhas (NPL),Bowler,6,5,0,0,120.00,Yes,c Kushal Malla b Kamal Airee,1,7,0,0,7.00,0,0,0,15,2025-11-28,"Tribhuvan University International Cricket Ground, Kirtipur","Kathmandu Gorkhas (NPL)","Chitwan Rhinos (NPL)",Win,"Chitwan Rhinos (NPL)",Field
Deepak Bohara,Chitwan Rhinos (NPL),Batsman,0,5,0,0,0.00,Yes,c Shahab Alam b Karan KC,0,0,0,0,0,1,0,0,15,2025-11-28,"Tribhuvan University International Cricket Ground, Kirtipur","Chitwan Rhinos (NPL)","Kathmandu Gorkhas (NPL)",Loss,"Chitwan Rhinos (NPL)",Field
Dawid Malan,Chitwan Rhinos (NPL),Batsman,7,10,1,0,70.00,Yes,c Gerhard Erasmus b Milind Kumar,0,0,0,0,0,0,0,0,15,2025-11-28,"Tribhuvan University International Cricket Ground, Kirtipur","Chitwan Rhinos (NPL)","Kathmandu Gorkhas (NPL)",Loss,"Chitwan Rhinos (NPL)",Field
Dev Khanal,Chitwan Rhinos (NPL),Batsman,21,18,2,1,116.66,Yes,c Gerhard Erasmus b Shahab Alam,1,6,0,0,6.00,0,0,0,15,2025-11-28,"Tribhuvan University International Cricket Ground, Kirtipur","Chitwan Rhinos (NPL)","Kathmandu Gorkhas (NPL)",Loss,"Chitwan Rhinos (NPL)",Field
Saif Zaib,Chitwan Rhinos (NPL),All-rounder,1,3,0,0,33.33,Yes,st †John Simpson b Milind Kumar,3,20,0,0,6.66,0,0,0,15,2025-11-28,"Tribhuvan University International Cricket Ground, Kirtipur","Chitwan Rhinos (NPL)","Kathmandu Gorkhas (NPL)",Loss,"Chitwan Rhinos (NPL)",Field
Kushal Malla,Chitwan Rhinos (NPL),All-rounder,6,13,0,0,46.15,Yes,c Milind Kumar b Shahab Alam,0,0,0,0,0,1,0,0,15,2025-11-28,"Tribhuvan University International Cricket Ground, Kirtipur","Chitwan Rhinos (NPL)","Kathmandu Gorkhas (NPL)",Loss,"Chitwan Rhinos (NPL)",Field
Ravi Bopara,Chitwan Rhinos (NPL),All-rounder,21,23,1,1,91.30,Yes,c Gerhard Erasmus b Rashid Khan,3,29,1,0,9.66,1,0,0,15,2025-11-28,"Tribhuvan University International Cricket Ground, Kirtipur","Chitwan Rhinos (NPL)","Kathmandu Gorkhas (NPL)",Loss,"Chitwan Rhinos (NPL)",Field
Arjun Saud,Chitwan Rhinos (NPL),Wicket-keeper,2,5,0,0,40.00,Yes,c Karan KC b Santosh Yadav,0,0,0,0,0,2,1,0,15,2025-11-28,"Tribhuvan University International Cricket Ground, Kirtipur","Chitwan Rhinos (NPL)","Kathmandu Gorkhas (NPL)",Loss,"Chitwan Rhinos (NPL)",Field
Sohail Tanvir,Chitwan Rhinos (NPL),Bowler,18,17,1,1,105.88,Yes,b Karan KC,4,25,4,0,6.25,2,0,0,15,2025-11-28,"Tribhuvan University International Cricket Ground, Kirtipur","Chitwan Rhinos (NPL)","Kathmandu Gorkhas (NPL)",Loss,"Chitwan Rhinos (NPL)",Field
Kamal Airee,Chitwan Rhinos (NPL),Bowler,9,8,0,1,112.50,Yes,c Gerhard Erasmus b Rashid Khan,2.4,19,2,0,7.12,1,0,0,15,2025-11-28,"Tribhuvan University International Cricket Ground, Kirtipur","Chitwan Rhinos (NPL)","Kathmandu Gorkhas (NPL)",Loss,"Chitwan Rhinos (NPL)",Field
Rijan Dhakal,Chitwan Rhinos (NPL),Bowler,1,1,0,0,100.00,No,not out,2,13,0,0,6.50,0,0,0,15,2025-11-28,"Tribhuvan University International Cricket Ground, Kirtipur","Chitwan Rhinos (NPL)","Kathmandu Gorkhas (NPL)",Loss,"Chitwan Rhinos (NPL)",Field
Ranjit Kumar,Chitwan Rhinos (NPL),Bowler,0,1,0,0,0.00,Yes,st †John Simpson b Rashid Khan,4,28,2,0,7.00,1,0,0,15,2025-11-28,"Tribhuvan University International Cricket Ground, Kirtipur","Chitwan Rhinos (NPL)","Kathmandu Gorkhas (NPL)",Loss,"Chitwan Rhinos (NPL)",Field

