player_name,team,player_role,runs_scored,balls_faced,fours,sixes,strike_rate,out_status,dismissal_type,overs_bowled,runs_conceded,wickets_taken,maidens,economy_rate,catches,run_outs,stumpings,match_id,match_date,venue,batting_team,opposition,match_result,toss_winner,toss_decision
Dawid Malan,Chitwan Rhinos (NPL),Batsman,80,54,4,5,148.14,Yes,lbw b Maaz Sadaqat,0,0,0,0,0,1,0,0,20,2025-12-02,"Tribhuvan University International Cricket Ground, Kirtipur","Chitwan Rhinos (NPL)","Janakpur Bolts (NPL)",Loss,"Chitwan Rhinos (NPL)",Bat
Arjun Saud,Chitwan Rhinos (NPL),Wicket-keeper,52,39,4,3,133.33,Yes,c Sanjay Krishnamurthi b Jan Nicol Loftie-Eaton,0,0,0,0,0,3,0,0,20,2025-12-02,"Tribhuvan University International Cricket Ground, Kirtipur","Chitwan Rhinos (NPL)","Janakpur Bolts (NPL)",Loss,"Chitwan Rhinos (NPL)",Bat
Saif Zaib,Chitwan Rhinos (NPL),All-rounder,7,5,0,1,140.00,Yes,c Sanjay Krishnamurthi b Anil Sah,4,34,0,0,8.50,0,0,0,20,2025-12-02,"Tribhuvan University International Cricket Ground, Kirtipur","Chitwan Rhinos (NPL)","Janakpur Bolts (NPL)",Loss,"Chitwan Rhinos (NPL)",Bat
Ravi Bopara,Chitwan Rhinos (NPL),All-rounder,3,5,0,0,60.00,Yes,c Maaz Sadaqat b Rupesh Singh,2,22,0,0,11.00,0,0,0,20,2025-12-02,"Tribhuvan University International Cricket Ground, Kirtipur","Chitwan Rhinos (NPL)","Janakpur Bolts (NPL)",Loss,"Chitwan Rhinos (NPL)",Bat
Kushal Malla,Chitwan Rhinos (NPL),All-rounder,30,14,2,2,214.28,No,not out,1,9,0,0,9.00,2,0,0,20,2025-12-02,"Tribhuvan University International Cricket Ground, Kirtipur","Chitwan Rhinos (NPL)","Janakpur Bolts (NPL)",Loss,"Chitwan Rhinos (NPL)",Bat
Amar Routela,Chitwan Rhinos (NPL),Bowler,1,3,0,0,33.33,No,not out,2,19,1,0,9.50,0,0,0,20,2025-12-02,"Tribhuvan University International Cricket Ground, Kirtipur","Chitwan Rhinos (NPL)","Janakpur Bolts (NPL)",Loss,"Chitwan Rhinos (NPL)",Bat
Saugat Dhakal,Chitwan Rhinos (NPL),Bowler,0,0,0,0,0,No,did not bat,1,14,0,0,14.00,0,0,0,20,2025-12-02,"Tribhuvan University International Cricket Ground, Kirtipur","Chitwan Rhinos (NPL)","Janakpur Bolts (NPL)",Loss,"Chitwan Rhinos (NPL)",Bat
Sohail Tanvir,Chitwan Rhinos (NPL),Bowler,0,0,0,0,0,No,did not bat,3.3,29,1,0,8.28,0,0,0,20,2025-12-02,"Tribhuvan University International Cricket Ground, Kirtipur","Chitwan Rhinos (NPL)","Janakpur Bolts (NPL)",Loss,"Chitwan Rhinos (NPL)",Bat
Kamal Airee,Chitwan Rhinos (NPL),Bowler,0,0,0,0,0,No,did not bat,2,27,1,0,13.50,0,0,0,20,2025-12-02,"Tribhuvan University International Cricket Ground, Kirtipur","Chitwan Rhinos (NPL)","Janakpur Bolts (NPL)",Loss,"Chitwan Rhinos (NPL)",Bat
Dev Khanal,Chitwan Rhinos (NPL),Batsman,0,0,0,0,0,No,did not bat,0,0,0,0,0,0,0,0,20,2025-12-02,"Tribhuvan University International Cricket Ground, Kirtipur","Chitwan Rhinos (NPL)","Janakpur Bolts (NPL)",Loss,"Chitwan Rhinos (NPL)",Bat
Ranjit Kumar,Chitwan Rhinos (NPL),Bowler,0,0,0,0,0,No,did not bat,4,35,0,0,8.75,1,0,0,20,2025-12-02,"Tribhuvan University International Cricket Ground, Kirtipur","Chitwan Rhinos (NPL)","Janakpur Bolts (NPL)",Loss,"Chitwan Rhinos (NPL)",Bat
Maaz Sadaqat,Janakpur Bolts (NPL),All-rounder,63,30,6,4,210.00,Yes,c Kushal Malla b Amar Routela,4,23,1,1,5.75,1,0,0,20,2025-12-02,"Tribhuvan University International Cricket Ground, Kirtipur","Janakpur Bolts (NPL)","Chitwan Rhinos (NPL)",Win,"Chitwan Rhinos (NPL)",Bat
