player_name,team,player_role,runs_scored,balls_faced,fours,sixes,strike_rate,out_status,dismissal_type,overs_bowled,runs_conceded,wickets_taken,maidens,economy_rate,catches,run_outs,stumpings,match_id,match_date,venue,batting_team,opposition,match_result,toss_winner,toss_decision
Maaz Sadaqat,Janakpur Bolts (NPL),All-rounder,12,9,2,0,133.33,Yes,b Dipendra Singh Airee,4,25,2,0,6.25,1,0,0,18,2025-11-29,"Tribhuvan University International Cricket Ground, Kirtipur","Janakpur Bolts (NPL)","Sudur Paschim Royals (NPL)",Loss,"Janakpur Bolts (NPL)",Bat
Aasif Sheikh,Janakpur Bolts (NPL),Wicket-keeper,0,2,0,0,0.00,Yes,b Scott Kuggeleijn,0,0,0,0,0,1,0,0,18,2025-11-29,"Tribhuvan University International Cricket Ground, Kirtipur","Janakpur Bolts (NPL)","Sudur Paschim Royals (NPL)",Loss,"Janakpur Bolts (NPL)",Bat
Mayan Yadav,Janakpur Bolts (NPL),Batsman,6,10,1,0,60.00,Yes,lbw b Scott Kuggeleijn,1,7,0,0,7.00,0,0,0,18,2025-11-29,"Tribhuvan University International Cricket Ground, Kirtipur","Janakpur Bolts (NPL)","Sudur Paschim Royals (NPL)",Loss,"Janakpur Bolts (NPL)",Bat
Jan Nicol Loftie-Eaton,Janakpur Bolts (NPL),All-rounder,39,33,2,2,118.18,Yes,c Harmeet Singh b Abinash Bohara,0,0,0,0,0,1,0,0,18,2025-11-29,"Tribhuvan University International Cricket Ground, Kirtipur","Janakpur Bolts (NPL)","Sudur Paschim Royals (NPL)",Loss,"Janakpur Bolts (NPL)",Bat
Sanjay Krishnamurthi,Janakpur Bolts (NPL),All-rounder,50,38,4,2,131.57,Yes,b Abinash Bohara,3,17,1,0,5.66,0,0,0,18,2025-11-29,"Tribhuvan University International Cricket Ground, Kirtipur","Janakpur Bolts (NPL)","Sudur Paschim Royals (NPL)",Loss,"Janakpur Bolts (NPL)",Bat
Aaditya Mahata,Janakpur Bolts (NPL),All-rounder,15,13,2,0,115.38,Yes,c †Binod Bhandari b Scott Kuggeleijn,2,23,1,0,11.50,2,0,0,18,2025-11-29,"Tribhuvan University International Cricket Ground, Kirtipur","Janakpur Bolts (NPL)","Sudur Paschim Royals (NPL)",Loss,"Janakpur Bolts (NPL)",Bat
Shubh Kansakar,Janakpur Bolts (NPL),Batsman,0,1,0,0,0.00,Yes,c Aarif Sheikh b Abinash Bohara,0,0,0,0,0,0,0,0,18,2025-11-29,"Tribhuvan University International Cricket Ground, Kirtipur","Janakpur Bolts (NPL)","Sudur Paschim Royals (NPL)",Loss,"Janakpur Bolts (NPL)",Bat
Wayne Parnell,Janakpur Bolts (NPL),All-rounder,14,12,1,1,116.66,Yes,c Dipendra Singh Airee b Abinash Bohara,0,0,0,0,0,1,0,0,18,2025-11-29,"Tribhuvan University International Cricket Ground, Kirtipur","Janakpur Bolts (NPL)","Sudur Paschim Royals (NPL)",Loss,"Janakpur Bolts (NPL)",Bat
Rupesh Singh,Janakpur Bolts (NPL),Bowler,1,2,0,0,50.00,No,not out,3,20,0,0,6.66,0,0,0,18,2025-11-29,"Tribhuvan University International Cricket Ground, Kirtipur","Janakpur Bolts (NPL)","Sudur Paschim Royals (NPL)",Loss,"Janakpur Bolts (NPL)",Bat
Lalit Rajbanshi,Janakpur Bolts (NPL),Bowler,0,0,0,0,0,No,did not bat,3.4,32,0,0,8.72,0,0,0,18,2025-11-29,"Tribhuvan University International Cricket Ground, Kirtipur","Janakpur Bolts (NPL)","Sudur Paschim Royals (NPL)",Loss,"Janakpur Bolts (NPL)",Bat
Kishor Mahato,Janakpur Bolts (NPL),Bowler,0,0,0,0,0,No,did not bat,1,13,0,0,13.00,0,0,0,18,2025-11-29,"Tribhuvan University International Cricket Ground, Kirtipur","Janakpur Bolts (NPL)","Sudur Paschim Royals (NPL)",Loss,"Janakpur Bolts (NPL)",Bat
Josh Brown,Sudur Paschim Royals (NPL),Batsman,0,1,0,0,0.00,Yes,b Maaz Sadaqat,0,0,0,0,0,0,0,0,18,2025-11-29,"Tribhuvan University International Cricket Ground, Kirtipur","Sudur Paschim Royals (NPL)","Janakpur Bolts (NPL)",Win,"Janakpur Bolts (NPL)",Bat
