player_name,team,player_role,runs_scored,balls_faced,fours,sixes,strike_rate,out_status,dismissal_type,overs_bowled,runs_conceded,wickets_taken,maidens,economy_rate,catches,run_outs,stumpings,match_id,match_date,venue,batting_team,opposition,match_result,toss_winner,toss_decision
Binod Bhandari,Sudur Paschim Royals (NPL),Wicket-keeper,21,17,2,1,123.52,Yes,c Amar Routela b Ranjit Kumar,0,0,0,0,0,1,1,0,24,2025-12-04,"Tribhuvan University International Cricket Ground, Kirtipur","Sudur Paschim Royals (NPL)","Chitwan Rhinos (NPL)",Win,"Chitwan Rhinos (NPL)",Bat
Chris Lynn,Sudur Paschim Royals (NPL),Batsman,75,56,5,3,133.92,No,retired hurt,0,0,0,0,0,0,0,0,24,2025-12-04,"Tribhuvan University International Cricket Ground, Kirtipur","Sudur Paschim Royals (NPL)","Chitwan Rhinos (NPL)",Win,"Chitwan Rhinos (NPL)",Bat
Ishan Pandey,Sudur Paschim Royals (NPL),Batsman,1,4,0,0,25.00,Yes,c Dawid Malan b Saif Zaib,1,7,1,0,7.00,1,0,0,24,2025-12-04,"Tribhuvan University International Cricket Ground, Kirtipur","Sudur Paschim Royals (NPL)","Chitwan Rhinos (NPL)",Win,"Chitwan Rhinos (NPL)",Bat
Puneet Mehra,Sudur Paschim Royals (NPL),All-rounder,13,12,2,0,108.33,Yes,c Dawid Malan b Saif Zaib,2.1,14,3,0,6.46,1,1,0,24,2025-12-04,"Tribhuvan University International Cricket Ground, Kirtipur","Sudur Paschim Royals (NPL)","Chitwan Rhinos (NPL)",Win,"Chitwan Rhinos (NPL)",Bat
Harmeet Singh,Sudur Paschim Royals (NPL),All-rounder,1,2,0,0,50.00,Yes,c Ranjit Kumar b George Scrimshaw,4,34,0,0,8.50,0,0,0,24,2025-12-04,"Tribhuvan University International Cricket Ground, Kirtipur","Sudur Paschim Royals (NPL)","Chitwan Rhinos (NPL)",Win,"Chitwan Rhinos (NPL)",Bat
Aarif Sheikh,Sudur Paschim Royals (NPL),Batsman,24,16,2,1,150.00,No,not out,0,0,0,0,0,2,1,0,24,2025-12-04,"Tribhuvan University International Cricket Ground, Kirtipur","Sudur Paschim Royals (NPL)","Chitwan Rhinos (NPL)",Win,"Chitwan Rhinos (NPL)",Bat
Dipendra Singh Airee,Sudur Paschim Royals (NPL),All-rounder,24,14,0,2,171.42,No,not out,3,9,1,0,3.00,1,1,0,24,2025-12-04,"Tribhuvan University International Cricket Ground, Kirtipur","Sudur Paschim Royals (NPL)","Chitwan Rhinos (NPL)",Win,"Chitwan Rhinos (NPL)",Bat
Scott Kuggeleijn,Sudur Paschim Royals (NPL),All-rounder,0,0,0,0,0,No,did not bat,2,16,0,0,8.00,0,0,0,24,2025-12-04,"Tribhuvan University International Cricket Ground, Kirtipur","Sudur Paschim Royals (NPL)","Chitwan Rhinos (NPL)",Win,"Chitwan Rhinos (NPL)",Bat
Dipak Bohara,Sudur Paschim Royals (NPL),Bowler,0,0,0,0,0,No,did not bat,3,26,1,0,8.66,0,0,0,24,2025-12-04,"Tribhuvan University International Cricket Ground, Kirtipur","Sudur Paschim Royals (NPL)","Chitwan Rhinos (NPL)",Win,"Chitwan Rhinos (NPL)",Bat
Hikmat Mahara,Sudur Paschim Royals (NPL),Bowler,0,0,0,0,0,No,did not bat,2,14,1,0,7.00,1,1,0,24,2025-12-04,"Tribhuvan University International Cricket Ground, Kirtipur","Sudur Paschim Royals (NPL)","Chitwan Rhinos (NPL)",Win,"Chitwan Rhinos (NPL)",Bat
Abinash Bohara,Sudur Paschim Royals (NPL),Bowler,0,0,0,0,0,No,did not bat,3,26,1,0,8.66,0,0,0,24,2025-12-04,"Tribhuvan University International Cricket Ground, Kirtipur","Sudur Paschim Royals (NPL)","Chitwan Rhinos (NPL)",Win,"Chitwan Rhinos (NPL)",Bat
Arjun Saud,Chitwan Rhinos (NPL),Wicket-keeper,16,15,3,0,106.66,Yes,c Scott Kuggeleijn b Dipendra Singh Airee,0,0,0,0,0,1,0,1,24,2025-12-04,"Tribhuvan University International Cricket Ground, Kirtipur","Chitwan Rhinos (NPL)","Sudur Paschim Royals (NPL)",Loss,"Chitwan Rhinos (NPL)",Field
