player_name,team,player_role,runs_scored,balls_faced,fours,sixes,strike_rate,out_status,dismissal_type,overs_bowled,runs_conceded,wickets_taken,maidens,economy_rate,catches,run_outs,stumpings,match_id,match_date,venue,batting_team,opposition,match_result,toss_winner,toss_decision
Ben Charlesworth,Kathmandu Gorkhas (NPL),Batsman,64,55,5,2,116.36,Yes,c Dhananjaya Lakshan b Bipin Khatri,0,0,0,0,0,2,0,0,23,2025-12-04,"Tribhuvan University International Cricket Ground, Kirtipur","Kathmandu Gorkhas (NPL)","Pokhara Avengers (NPL)",Win,"Pokhara Avengers (NPL)",Bat
Aakash Tripathi,Kathmandu Gorkhas (NPL),Batsman,0,1,0,0,0.00,Yes,b Dhananjaya Lakshan,0,0,0,0,0,0,0,0,23,2025-12-04,"Tribhuvan University International Cricket Ground, Kirtipur","Kathmandu Gorkhas (NPL)","Pokhara Avengers (NPL)",Win,"Pokhara Avengers (NPL)",Bat
Rashid Khan,Kathmandu Gorkhas (NPL),All-rounder,7,12,0,1,58.33,Yes,c Sandeep Chettri b Dhananjaya Lakshan,3,34,0,0,11.33,0,0,0,23,2025-12-04,"Tribhuvan University International Cricket Ground, Kirtipur","Kathmandu Gorkhas (NPL)","Pokhara Avengers (NPL)",Win,"Pokhara Avengers (NPL)",Bat
Milind Kumar,Kathmandu Gorkhas (NPL),All-rounder,13,14,1,0,92.85,Yes,st †Adam Rossington b Kushal Bhurtel,3,26,0,0,8.66,4,0,0,23,2025-12-04,"Tribhuvan University International Cricket Ground, Kirtipur","Kathmandu Gorkhas (NPL)","Pokhara Avengers (NPL)",Win,"Pokhara Avengers (NPL)",Bat
John Simpson,Kathmandu Gorkhas (NPL),Wicket-keeper,2,4,0,0,50.00,Yes,c & b Kushal Bhurtel,0,0,0,0,0,1,0,1,23,2025-12-04,"Tribhuvan University International Cricket Ground, Kirtipur","Kathmandu Gorkhas (NPL)","Pokhara Avengers (NPL)",Win,"Pokhara Avengers (NPL)",Bat
Mohammad Aadil Alam,Kathmandu Gorkhas (NPL),Bowler,7,7,1,0,100.00,Yes,c Jason Roy b Kiran Thagunna,1,11,0,0,11.00,0,0,0,23,2025-12-04,"Tribhuvan University International Cricket Ground, Kirtipur","Kathmandu Gorkhas (NPL)","Pokhara Avengers (NPL)",Win,"Pokhara Avengers (NPL)",Bat
Bhim Sharki,Kathmandu Gorkhas (NPL),Batsman,55,23,5,4,239.13,Yes,c Jason Roy b Dhananjaya Lakshan,0,0,0,0,0,6,0,0,23,2025-12-04,"Tribhuvan University International Cricket Ground, Kirtipur","Kathmandu Gorkhas (NPL)","Pokhara Avengers (NPL)",Win,"Pokhara Avengers (NPL)",Bat
Sunny Patel,Kathmandu Gorkhas (NPL),All-rounder,2,2,0,0,100.00,No,not out,4,25,2,0,6.25,0,0,0,23,2025-12-04,"Tribhuvan University International Cricket Ground, Kirtipur","Kathmandu Gorkhas (NPL)","Pokhara Avengers (NPL)",Win,"Pokhara Avengers (NPL)",Bat
Karan KC,Kathmandu Gorkhas (NPL),All-rounder,4,2,1,0,200.00,Yes,c Trit Raj Das b Dhananjaya Lakshan,4,25,2,0,6.25,2,0,0,23,2025-12-04,"Tribhuvan University International Cricket Ground, Kirtipur","Kathmandu Gorkhas (NPL)","Pokhara Avengers (NPL)",Win,"Pokhara Avengers (NPL)",Bat
Shahab Alam,Kathmandu Gorkhas (NPL),Bowler,0,0,0,0,0,No,did not bat,4,25,6,0,6.25,2,0,0,23,2025-12-04,"Tribhuvan University International Cricket Ground, Kirtipur","Kathmandu Gorkhas (NPL)","Pokhara Avengers (NPL)",Win,"Pokhara Avengers (NPL)",Bat
Santosh Yadav,Kathmandu Gorkhas (NPL),All-rounder,0,0,0,0,0,No,did not bat,1,6,0,0,6.00,0,0,0,23,2025-12-04,"Tribhuvan University International Cricket Ground, Kirtipur","Kathmandu Gorkhas (NPL)","Pokhara Avengers (NPL)",Win,"Pokhara Avengers (NPL)",Bat
