player_name,team,player_role,runs_scored,balls_faced,fours,sixes,strike_rate,out_status,dismissal_type,overs_bowled,runs_conceded,wickets_taken,maidens,economy_rate,catches,run_outs,stumpings,match_id,match_date,venue,batting_team,opposition,match_result,toss_winner,toss_decision
Ishan Pandey,Sudur Paschim Royals (NPL),Batsman,33,51,1,0,64.70,Yes,c Movin Subasingha b Sher Malla,1,11,0,0,11.00,0,0,0,32,2025-12-13,"Tribhuvan University International Cricket Ground, Kirtipur","Sudur Paschim Royals (NPL)","Lumbini Lions (NPL)",Loss,"Sudur Paschim Royals (NPL)",Bat
Binod Bhandari,Sudur Paschim Royals (NPL),Wicket-keeper,0,2,0,0,0.00,Yes,c Dinesh Adhikari b Ruben Trumpelmann,0,0,0,0,0,1,0,0,32,2025-12-13,"Tribhuvan University International Cricket Ground, Kirtipur","Sudur Paschim Royals (NPL)","Lumbini Lions (NPL)",Loss,"Sudur Paschim Royals (NPL)",Bat
Sheldon Jackson,Sudur Paschim Royals (NPL),Batsman,1,3,0,0,33.33,Yes,lbw b Ruben Trumpelmann,0,0,0,0,0,0,0,0,32,2025-12-13,"Tribhuvan University International Cricket Ground, Kirtipur","Sudur Paschim Royals (NPL)","Lumbini Lions (NPL)",Loss,"Sudur Paschim Royals (NPL)",Bat
Aarif Sheikh,Sudur Paschim Royals (NPL),Batsman,6,6,1,0,100.00,Yes,lbw b Sher Malla,0,0,0,0,0,0,0,0,32,2025-12-13,"Tribhuvan University International Cricket Ground, Kirtipur","Sudur Paschim Royals (NPL)","Lumbini Lions (NPL)",Loss,"Sudur Paschim Royals (NPL)",Bat
Dipendra Singh Airee,Sudur Paschim Royals (NPL),All-rounder,13,20,0,1,65.00,Yes,c Ruben Trumpelmann b Rohit Paudel,2,29,1,0,14.50,0,0,0,32,2025-12-13,"Tribhuvan University International Cricket Ground, Kirtipur","Sudur Paschim Royals (NPL)","Lumbini Lions (NPL)",Loss,"Sudur Paschim Royals (NPL)",Bat
Dipak Bohara,Sudur Paschim Royals (NPL),Bowler,0,1,0,0,0.00,Yes,c Sundeep Jora b Rohit Paudel,0,0,0,0,0,0,0,0,32,2025-12-13,"Tribhuvan University International Cricket Ground, Kirtipur","Sudur Paschim Royals (NPL)","Lumbini Lions (NPL)",Loss,"Sudur Paschim Royals (NPL)",Bat
Puneet Mehra,Sudur Paschim Royals (NPL),All-rounder,0,1,0,0,0.00,Yes,lbw b Rohit Paudel,0,0,0,0,0,0,0,0,32,2025-12-13,"Tribhuvan University International Cricket Ground, Kirtipur","Sudur Paschim Royals (NPL)","Lumbini Lions (NPL)",Loss,"Sudur Paschim Royals (NPL)",Bat
Harmeet Singh,Sudur Paschim Royals (NPL),All-rounder,10,11,0,1,90.90,Yes,c D'Arcy Short b Sher Malla,2,13,0,0,6.50,0,0,0,32,2025-12-13,"Tribhuvan University International Cricket Ground, Kirtipur","Sudur Paschim Royals (NPL)","Lumbini Lions (NPL)",Loss,"Sudur Paschim Royals (NPL)",Bat
Scott Kuggeleijn,Sudur Paschim Royals (NPL),All-rounder,10,8,0,1,125.00,Yes,c Sundeep Jora b Tilak Bhandari,2,22,0,0,11.00,0,0,0,32,2025-12-13,"Tribhuvan University International Cricket Ground, Kirtipur","Sudur Paschim Royals (NPL)","Lumbini Lions (NPL)",Loss,"Sudur Paschim Royals (NPL)",Bat
Hemant Dhami,Sudur Paschim Royals (NPL),All-rounder,7,9,0,1,77.77,No,not out,1,9,2,0,9.00,1,0,0,32,2025-12-13,"Tribhuvan University International Cricket Ground, Kirtipur","Sudur Paschim Royals (NPL)","Lumbini Lions (NPL)",Loss,"Sudur Paschim Royals (NPL)",Bat
