player_name,team,player_role,runs_scored,balls_faced,fours,sixes,strike_rate,out_status,dismissal_type,overs_bowled,runs_conceded,wickets_taken,maidens,economy_rate,catches,run_outs,stumpings,match_id,match_date,venue,batting_team,opposition,match_result,toss_winner,toss_decision
Lokesh Bam,Biratnagar Kings (NPL),Batsman,8,9,1,0,88.88,Yes,lbw b Douthwaite,0,0,0,0,0,1,0,0,26,2024-12-15,"Tribhuvan University International Cricket Ground, Kirtipur","Biratnagar Kings (NPL)","Kathmandu Gurkhas (NPL)",Loss,"Kathmandu Gurkhas (NPL)",Field
Dipak Bohara,Biratnagar Kings (NPL),Batsman,20,24,2,0,83.33,Yes,lbw b Kandel,0,0,0,0,0,4,0,0,26,2024-12-15,"Tribhuvan University International Cricket Ground, Kirtipur","Biratnagar Kings (NPL)","Kathmandu Gurkhas (NPL)",Loss,"Kathmandu Gurkhas (NPL)",Field
Nicholas Kirton,Biratnagar Kings (NPL),All-rounder,12,10,2,0,120.00,Yes,run out (Shrestha/Rashid Khan),0,0,0,0,0,0,1,0,26,2024-12-15,"Tribhuvan University International Cricket Ground, Kirtipur","Biratnagar Kings (NPL)","Kathmandu Gurkhas (NPL)",Loss,"Kathmandu Gurkhas (NPL)",Field
Scott Edwards,Biratnagar Kings (NPL),Wicket-keeper,15,14,1,0,107.14,Yes,b Erasmus,0,0,0,0,0,1,0,0,26,2024-12-15,"Tribhuvan University International Cricket Ground, Kirtipur","Biratnagar Kings (NPL)","Kathmandu Gurkhas (NPL)",Loss,"Kathmandu Gurkhas (NPL)",Field
Basir Ahamad,Biratnagar Kings (NPL),All-rounder,13,13,0,1,100.00,Yes,c Sharki b Shahab Alam,4,27,2,0,6.75,2,0,0,26,2024-12-15,"Tribhuvan University International Cricket Ground, Kirtipur","Biratnagar Kings (NPL)","Kathmandu Gurkhas (NPL)",Loss,"Kathmandu Gurkhas (NPL)",Field
Ismat Alam,Biratnagar Kings (NPL),All-rounder,5,13,0,0,38.46,Yes,b Kandel,2,16,0,0,8.00,1,0,0,26,2024-12-15,"Tribhuvan University International Cricket Ground, Kirtipur","Biratnagar Kings (NPL)","Kathmandu Gurkhas (NPL)",Loss,"Kathmandu Gurkhas (NPL)",Field
Rajesh Pulami,Biratnagar Kings (NPL),Batsman,25,21,1,1,119.04,Yes,c Sharki b Karan KC,0,0,0,0,0,0,0,0,26,2024-12-15,"Tribhuvan University International Cricket Ground, Kirtipur","Biratnagar Kings (NPL)","Kathmandu Gurkhas (NPL)",Loss,"Kathmandu Gurkhas (NPL)",Field
Chris Sole,Biratnagar Kings (NPL),Bowler,1,3,0,0,33.33,Yes,c Douthwaite b Erasmus,4,21,2,0,5.25,0,0,0,26,2024-12-15,"Tribhuvan University International Cricket Ground, Kirtipur","Biratnagar Kings (NPL)","Kathmandu Gurkhas (NPL)",Loss,"Kathmandu Gurkhas (NPL)",Field
Sandeep Lamichhane,Biratnagar Kings (NPL),Bowler,0,2,0,0,0.00,Yes,c Douthwaite b Erasmus,4,19,3,0,4.75,1,0,0,26,2024-12-15,"Tribhuvan University International Cricket Ground, Kirtipur","Biratnagar Kings (NPL)","Kathmandu Gurkhas (NPL)",Loss,"Kathmandu Gurkhas (NPL)",Field
Subash Bhandari,Biratnagar Kings (NPL),Bowler,6,10,0,0,60.00,Yes,run out (Erasmus/Karan KC),0.1,4,0,0,24.00,0,0,0,26,2024-12-15,"Tribhuvan University International Cricket Ground, Kirtipur","Biratnagar Kings (NPL)","Kathmandu Gurkhas (NPL)",Loss,"Kathmandu Gurkhas (NPL)",Field
Anil Kharel,Biratnagar Kings (NPL),Bowler,0,1,0,0,0.00,No,not out,4,28,2,0,7.00,0,0,0,26,2024-12-15,"Tribhuvan University International Cricket Ground, Kirtipur","Biratnagar Kings (NPL)","Kathmandu Gurkhas (NPL)",Loss,"Kathmandu Gurkhas (NPL)",Field
Stephen Eskinazi,Kathmandu Gurkhas (NPL),Wicket-keeper,1,3,0,0,33.33,Yes,c Bohara b Basir Ahamad,0,0,0,0,0,0,0,0,26,2024-12-15,"Tribhuvan University International Cricket Ground, Kirtipur","Kathmandu Gurkhas (NPL)","Biratnagar Kings (NPL)",Win,"Kathmandu Gurkhas (NPL)",Field
Michael Levitt,Kathmandu Gurkhas (NPL),All-rounder,10,6,2,0,166.66,Yes,c †Edwards b Lamichhane,0,0,0,0,0,0,0,0,26,2024-12-15,"Tribhuvan University International Cricket Ground, Kirtipur","Kathmandu Gurkhas (NPL)","Biratnagar Kings (NPL)",Win,"Kathmandu Gurkhas (NPL)",Field
Gerhard Erasmus,Kathmandu Gurkhas (NPL),All-rounder,12,7,3,0,171.42,Yes,c Bohara b Lamichhane,4,17,3,0,4.25,2,1,0,26,2024-12-15,"Tribhuvan University International Cricket Ground, Kirtipur","Kathmandu Gurkhas (NPL)","Biratnagar Kings (NPL)",Win,"Kathmandu Gurkhas (NPL)",Field
Bhim Sharki,Kathmandu Gurkhas (NPL),All-rounder,1,5,0,0,20.00,Yes,c Lokesh Bam b Sole,4,23,1,0,5.75,2,0,0,26,2024-12-15,"Tribhuvan University International Cricket Ground, Kirtipur","Kathmandu Gurkhas (NPL)","Biratnagar Kings (NPL)",Win,"Kathmandu Gurkhas (NPL)",Field
Pratik Shrestha,Kathmandu Gurkhas (NPL),Batsman,39,34,2,2,114.70,Yes,c Bohara b Kharel,0,0,0,0,0,1,1,0,26,2024-12-15,"Tribhuvan University International Cricket Ground, Kirtipur","Kathmandu Gurkhas (NPL)","Biratnagar Kings (NPL)",Win,"Kathmandu Gurkhas (NPL)",Field
Dan Douthwaite,Kathmandu Gurkhas (NPL),All-rounder,1,5,0,0,20.00,Yes,c Basir Ahamad b Sole,2,14,1,0,7.00,3,0,0,26,2024-12-15,"Tribhuvan University International Cricket Ground, Kirtipur","Kathmandu Gurkhas (NPL)","Biratnagar Kings (NPL)",Win,"Kathmandu Gurkhas (NPL)",Field
Rashid Khan,Kathmandu Gurkhas (NPL),All-rounder,14,15,1,1,93.33,Yes,b Lamichhane,2,20,0,0,10.00,0,1,0,26,2024-12-15,"Tribhuvan University International Cricket Ground, Kirtipur","Kathmandu Gurkhas (NPL)","Biratnagar Kings (NPL)",Win,"Kathmandu Gurkhas (NPL)",Field
Shankar Rana,Kathmandu Gurkhas (NPL),Batsman,16,20,1,0,80.00,No,not out,0,0,0,0,0,1,0,0,26,2024-12-15,"Tribhuvan University International Cricket Ground, Kirtipur","Kathmandu Gurkhas (NPL)","Biratnagar Kings (NPL)",Win,"Kathmandu Gurkhas (NPL)",Field
Karan KC,Kathmandu Gurkhas (NPL),All-rounder,0,1,0,0,0.00,Yes,b Kharel,3.5,25,1,0,6.52,0,0,0,26,2024-12-15,"Tribhuvan University International Cricket Ground, Kirtipur","Kathmandu Gurkhas (NPL)","Biratnagar Kings (NPL)",Win,"Kathmandu Gurkhas (NPL)",Field
Shahab Alam,Kathmandu Gurkhas (NPL),Bowler,2,8,0,0,25.00,Yes,c Lamichhane b Basir Ahamad,4,23,1,0,5.75,0,0,0,26,2024-12-15,"Tribhuvan University International Cricket Ground, Kirtipur","Kathmandu Gurkhas (NPL)","Biratnagar Kings (NPL)",Win,"Kathmandu Gurkhas (NPL)",Field
Dipesh Kandel,Kathmandu Gurkhas (NPL),Bowler,11,5,1,1,220.00,No,not out,4,16,2,0,4.00,0,0,0,26,2024-12-15,"Tribhuvan University International Cricket Ground, Kirtipur","Kathmandu Gurkhas (NPL)","Biratnagar Kings (NPL)",Win,"Kathmandu Gurkhas (NPL)",Field

