player_name,team,player_role,runs_scored,balls_faced,fours,sixes,strike_rate,out_status,dismissal_type,overs_bowled,runs_conceded,wickets_taken,maidens,economy_rate,catches,run_outs,stumpings,match_id,match_date,venue,batting_team,opposition,match_result,toss_winner,toss_decision
Dev Khanal,Karnali Yaks (NPL),Batsman,0,3,0,0,0.00,Yes,lbw b Karan KC,0,0,0,0,0,0,0,0,6,2024-12-04,"Tribhuvan University International Cricket Ground, Kirtipur","Karnali Yaks (NPL)","Kathmandu Gurkhas (NPL)",Loss,"Kathmandu Gurkhas (NPL)",Bowl
Shikhar Dhawan,Karnali Yaks (NPL),Batsman,72,51,4,5,141.17,No,not out,0,0,0,0,0,1,0,0,6,2024-12-04,"Tribhuvan University International Cricket Ground, Kirtipur","Karnali Yaks (NPL)","Kathmandu Gurkhas (NPL)",Loss,"Kathmandu Gurkhas (NPL)",Bowl
Chadwick Walton,Karnali Yaks (NPL),Wicket-keeper,21,15,5,0,140.00,Yes,c Karan KC b Erasmus,0,0,0,0,0,0,0,0,6,2024-12-04,"Tribhuvan University International Cricket Ground, Kirtipur","Karnali Yaks (NPL)","Kathmandu Gurkhas (NPL)",Loss,"Kathmandu Gurkhas (NPL)",Bowl
Babar Hayat,Karnali Yaks (NPL),Batsman,13,18,0,1,72.22,Yes,b Kandel,0,0,0,0,0,0,0,0,6,2024-12-04,"Tribhuvan University International Cricket Ground, Kirtipur","Karnali Yaks (NPL)","Kathmandu Gurkhas (NPL)",Loss,"Kathmandu Gurkhas (NPL)",Bowl
Gulsan Jha,Karnali Yaks (NPL),All-rounder,12,19,1,0,63.15,Yes,st †Eskinazi b Erasmus,3,31,1,0,10.33,0,0,0,6,2024-12-04,"Tribhuvan University International Cricket Ground, Kirtipur","Karnali Yaks (NPL)","Kathmandu Gurkhas (NPL)",Loss,"Kathmandu Gurkhas (NPL)",Bowl
Arjun Gharti,Karnali Yaks (NPL),Batsman,4,3,1,0,133.33,Yes,b Sowter,0,0,0,0,0,0,0,0,6,2024-12-04,"Tribhuvan University International Cricket Ground, Kirtipur","Karnali Yaks (NPL)","Kathmandu Gurkhas (NPL)",Loss,"Kathmandu Gurkhas (NPL)",Bowl
Zeeshan Maqsood,Karnali Yaks (NPL),All-rounder,14,11,1,0,127.27,No,not out,4,24,1,0,6.00,1,0,0,6,2024-12-04,"Tribhuvan University International Cricket Ground, Kirtipur","Karnali Yaks (NPL)","Kathmandu Gurkhas (NPL)",Loss,"Kathmandu Gurkhas (NPL)",Bowl
Sompal Kami,Karnali Yaks (NPL),Bowler,0,0,0,0,0,No,did not bat,4,34,1,0,8.50,1,0,0,6,2024-12-04,"Tribhuvan University International Cricket Ground, Kirtipur","Karnali Yaks (NPL)","Kathmandu Gurkhas (NPL)",Loss,"Kathmandu Gurkhas (NPL)",Bowl
Nandan Yadav,Karnali Yaks (NPL),Bowler,0,0,0,0,0,No,did not bat,3.3,32,1,0,9.14,1,1,0,6,2024-12-04,"Tribhuvan University International Cricket Ground, Kirtipur","Karnali Yaks (NPL)","Kathmandu Gurkhas (NPL)",Loss,"Kathmandu Gurkhas (NPL)",Bowl
Bipin Sharma,Karnali Yaks (NPL),Bowler,0,0,0,0,0,No,did not bat,4,18,1,0,4.50,0,0,0,6,2024-12-04,"Tribhuvan University International Cricket Ground, Kirtipur","Karnali Yaks (NPL)","Kathmandu Gurkhas (NPL)",Loss,"Kathmandu Gurkhas (NPL)",Bowl
