player_name,team,player_role,runs_scored,balls_faced,fours,sixes,strike_rate,out_status,dismissal_type,overs_bowled,runs_conceded,wickets_taken,maidens,economy_rate,catches,run_outs,stumpings,match_id,match_date,venue,batting_team,opposition,match_result,toss_winner,toss_decision,season,match_id_unique
Lokesh Bam,Biratnagar Kings (NPL),Batsman,5,6,1,0,83.33,Yes,b Rajbanshi,0,0,0,0,0,0,0,0,1,2024-11-30,"Tribhuvan University International Cricket Ground, Kirtipur",Biratnagar Kings (NPL),Janakpur Bolts (NPL),Loss,Janakpur Bolts (NPL),Bowl,1,S1_M1
Martin Guptill,Biratnagar Kings (NPL),Batsman,55,43,7,1,127.9,Yes,c Sah b Thaker,0,0,0,0,0,0,0,0,1,2024-11-30,"Tribhuvan University International Cricket Ground, Kirtipur",Biratnagar Kings (NPL),Janakpur Bolts (NPL),Loss,Janakpur Bolts (NPL),Bowl,1,S1_M1
Aqib Ilyas,Biratnagar Kings (NPL),All-rounder,15,18,1,0,83.33,Yes,lbw b Mohammad Mohsin,3,19,0,0,6.33,0,0,0,1,2024-11-30,"Tribhuvan University International Cricket Ground, Kirtipur",Biratnagar Kings (NPL),Janakpur Bolts (NPL),Loss,Janakpur Bolts (NPL),Bowl,1,S1_M1
Nicholas Kirton,Biratnagar Kings (NPL),Batsman,9,13,1,0,69.23,Yes,b Thaker,0.3,6,0,0,12,0,0,0,1,2024-11-30,"Tribhuvan University International Cricket Ground, Kirtipur",Biratnagar Kings (NPL),Janakpur Bolts (NPL),Loss,Janakpur Bolts (NPL),Bowl,1,S1_M1
Basir Ahamad,Biratnagar Kings (NPL),All-rounder,7,9,0,0,77.77,Yes,c Sah b Rajbanshi,0,0,0,0,0,0,0,0,1,2024-11-30,"Tribhuvan University International Cricket Ground, Kirtipur",Biratnagar Kings (NPL),Janakpur Bolts (NPL),Loss,Janakpur Bolts (NPL),Bowl,1,S1_M1
Rajesh Pulami,Biratnagar Kings (NPL),Batsman,1,6,0,0,16.66,Yes,run out (Milantha),0,0,0,0,0,0,0,0,1,2024-11-30,"Tribhuvan University International Cricket Ground, Kirtipur",Biratnagar Kings (NPL),Janakpur Bolts (NPL),Loss,Janakpur Bolts (NPL),Bowl,1,S1_M1
Pratis GC,Biratnagar Kings (NPL),Bowler,2,3,0,0,66.66,Yes,b Rajbanshi,2,14,1,0,7,0,0,0,1,2024-11-30,"Tribhuvan University International Cricket Ground, Kirtipur",Biratnagar Kings (NPL),Janakpur Bolts (NPL),Loss,Janakpur Bolts (NPL),Bowl,1,S1_M1
Sandeep Lamichhane,Biratnagar Kings (NPL),Bowler,7,4,0,1,175,Yes,c Yadav b Mahato,4,30,0,0,7.5,0,0,0,1,2024-11-30,"Tribhuvan University International Cricket Ground, Kirtipur",Biratnagar Kings (NPL),Janakpur Bolts (NPL),Loss,Janakpur Bolts (NPL),Bowl,1,S1_M1
Chris Sole,Biratnagar Kings (NPL),Bowler,4,5,0,0,80,Yes,c Mohammad Mohsin b Mike,3,31,1,0,10.33,0,0,0,1,2024-11-30,"Tribhuvan University International Cricket Ground, Kirtipur",Biratnagar Kings (NPL),Janakpur Bolts (NPL),Loss,Janakpur Bolts (NPL),Bowl,1,S1_M1
Jitendra Mukhiya,Biratnagar Kings (NPL),Bowler,0,1,0,0,0,Yes,b Mahato,2,12,0,0,6,0,0,0,1,2024-11-30,"Tribhuvan University International Cricket Ground, Kirtipur",Biratnagar Kings (NPL),Janakpur Bolts (NPL),Loss,Janakpur Bolts (NPL),Bowl,1,S1_M1
Anil Kharel,Biratnagar Kings (NPL),Bowler,7,7,1,0,100,No,not out,1,11,0,0,11,0,0,0,1,2024-11-30,"Tribhuvan University International Cricket Ground, Kirtipur",Biratnagar Kings (NPL),Janakpur Bolts (NPL),Loss,Janakpur Bolts (NPL),Bowl,1,S1_M1
Anil Sah,Janakpur Bolts (NPL),Batsman,5,4,0,0,125,Yes,b Pratis GC,0,0,0,0,0,2,0,0,1,2024-11-30,"Tribhuvan University International Cricket Ground, Kirtipur",Janakpur Bolts (NPL),Biratnagar Kings (NPL),Win,Janakpur Bolts (NPL),Bowl,1,S1_M1
Aasif Sheikh,Janakpur Bolts (NPL),Wicket-keeper,0,3,0,0,0,Yes,b Sole,0,0,0,0,0,0,0,0,1,2024-11-30,"Tribhuvan University International Cricket Ground, Kirtipur",Janakpur Bolts (NPL),Biratnagar Kings (NPL),Win,Janakpur Bolts (NPL),Bowl,1,S1_M1
Lahiru Milantha,Janakpur Bolts (NPL),Wicket-keeper,75,53,9,3,141.5,No,not out,0,0,0,0,0,0,1,0,1,2024-11-30,"Tribhuvan University International Cricket Ground, Kirtipur",Janakpur Bolts (NPL),Biratnagar Kings (NPL),Win,Janakpur Bolts (NPL),Bowl,1,S1_M1
Harsh Thaker,Janakpur Bolts (NPL),All-rounder,29,33,2,0,87.87,No,not out,4,22,2,0,5.5,1,0,0,1,2024-11-30,"Tribhuvan University International Cricket Ground, Kirtipur",Janakpur Bolts (NPL),Biratnagar Kings (NPL),Win,Janakpur Bolts (NPL),Bowl,1,S1_M1
Kishor Mahato,Janakpur Bolts (NPL),Bowler,0,0,0,0,0,No,did not bat,3,18,2,0,6,0,0,0,1,2024-11-30,"Tribhuvan University International Cricket Ground, Kirtipur",Janakpur Bolts (NPL),Biratnagar Kings (NPL),Win,Janakpur Bolts (NPL),Bowl,1,S1_M1
Lalit Rajbanshi,Janakpur Bolts (NPL),Bowler,0,0,0,0,0,No,did not bat,4,28,3,0,7,0,0,0,1,2024-11-30,"Tribhuvan University International Cricket Ground, Kirtipur",Janakpur Bolts (NPL),Biratnagar Kings (NPL),Win,Janakpur Bolts (NPL),Bowl,1,S1_M1
Ben Mike,Janakpur Bolts (NPL),All-rounder,0,0,0,0,0,No,did not bat,3,29,1,0,9.66,0,0,0,1,2024-11-30,"Tribhuvan University International Cricket Ground, Kirtipur",Janakpur Bolts (NPL),Biratnagar Kings (NPL),Win,Janakpur Bolts (NPL),Bowl,1,S1_M1
Mohammad Mohsin,Janakpur Bolts (NPL),All-rounder,0,0,0,0,0,No,did not bat,4,20,1,0,5,1,0,0,1,2024-11-30,"Tribhuvan University International Cricket Ground, Kirtipur",Janakpur Bolts (NPL),Biratnagar Kings (NPL),Win,Janakpur Bolts (NPL),Bowl,1,S1_M1
Tul Thapa,Janakpur Bolts (NPL),Bowler,0,0,0,0,0,No,did not bat,1,7,0,0,7,0,0,0,1,2024-11-30,"Tribhuvan University International Cricket Ground, Kirtipur",Janakpur Bolts (NPL),Biratnagar Kings (NPL),Win,Janakpur Bolts (NPL),Bowl,1,S1_M1
Shubh Kansakar,Janakpur Bolts (NPL),Batsman,0,0,0,0,0,No,did not bat,0,0,0,0,0,0,0,0,1,2024-11-30,"Tribhuvan University International Cricket Ground, Kirtipur",Janakpur Bolts (NPL),Biratnagar Kings (NPL),Win,Janakpur Bolts (NPL),Bowl,1,S1_M1
Arniko Yadav,Janakpur Bolts (NPL),All-rounder,0,0,0,0,0,No,did not bat,0,0,0,0,0,1,0,0,1,2024-11-30,"Tribhuvan University International Cricket Ground, Kirtipur",Janakpur Bolts (NPL),Biratnagar Kings (NPL),Win,Janakpur Bolts (NPL),Bowl,1,S1_M1
Stephen Eskinazi,Kathmandu Gurkhas (NPL),Wicket-keeper,2,4,0,0,50,Yes,c Routela b Sohail Tanvir,0,0,0,0,0,1,0,1,2,2024-12-02,"Tribhuvan University International Cricket Ground, Kirtipur",Kathmandu Gurkhas (NPL),Chitwan Rhinos (NPL),Loss,Chitwan Rhinos (NPL),Bowl,1,S1_M2
Michael Levitt,Kathmandu Gurkhas (NPL),Batsman,25,16,4,1,156.25,Yes,c Deepak Bohara b Sohail Tanvir,0,0,0,0,0,0,0,0,2,2024-12-02,"Tribhuvan University International Cricket Ground, Kirtipur",Kathmandu Gurkhas (NPL),Chitwan Rhinos (NPL),Loss,Chitwan Rhinos (NPL),Bowl,1,S1_M2
Sumit Maharjan,Kathmandu Gurkhas (NPL),Batsman,29,41,1,0,70.73,Yes,c Hassan Eisakhil b Dhakal,0,0,0,0,0,0,0,0,2,2024-12-02,"Tribhuvan University International Cricket Ground, Kirtipur",Kathmandu Gurkhas (NPL),Chitwan Rhinos (NPL),Loss,Chitwan Rhinos (NPL),Bowl,1,S1_M2
Gerhard Erasmus,Kathmandu Gurkhas (NPL),All-rounder,4,4,1,0,100,Yes,b Kushal Malla,3.1,22,1,0,6.94,0,0,0,2,2024-12-02,"Tribhuvan University International Cricket Ground, Kirtipur",Kathmandu Gurkhas (NPL),Chitwan Rhinos (NPL),Loss,Chitwan Rhinos (NPL),Bowl,1,S1_M2
Bhim Sharki,Kathmandu Gurkhas (NPL),Batsman,1,4,0,0,25,Yes,lbw b Sohail Tanvir,0,0,0,0,0,0,0,0,2,2024-12-02,"Tribhuvan University International Cricket Ground, Kirtipur",Kathmandu Gurkhas (NPL),Chitwan Rhinos (NPL),Loss,Chitwan Rhinos (NPL),Bowl,1,S1_M2
Shankar Rana,Kathmandu Gurkhas (NPL),Batsman,16,17,1,1,94.11,Yes,c †Rawal b Routela,0,0,0,0,0,1,0,0,2,2024-12-02,"Tribhuvan University International Cricket Ground, Kirtipur",Kathmandu Gurkhas (NPL),Chitwan Rhinos (NPL),Loss,Chitwan Rhinos (NPL),Bowl,1,S1_M2
Rashid Khan,Kathmandu Gurkhas (NPL),All-rounder,4,9,0,0,44.44,Yes,c Vesawkar b Benkenstein,1,3,0,0,3,0,0,0,2,2024-12-02,"Tribhuvan University International Cricket Ground, Kirtipur",Kathmandu Gurkhas (NPL),Chitwan Rhinos (NPL),Loss,Chitwan Rhinos (NPL),Bowl,1,S1_M2
Dan Douthwaite,Kathmandu Gurkhas (NPL),All-rounder,19,18,2,0,105.55,No,not out,3,15,1,0,5,0,0,0,2,2024-12-02,"Tribhuvan University International Cricket Ground, Kirtipur",Kathmandu Gurkhas (NPL),Chitwan Rhinos (NPL),Loss,Chitwan Rhinos (NPL),Bowl,1,S1_M2
Karan KC,Kathmandu Gurkhas (NPL),Bowler,1,2,0,0,50,Yes,c Karki b Sohail Tanvir,2,18,0,0,9,0,0,0,2,2024-12-02,"Tribhuvan University International Cricket Ground, Kirtipur",Kathmandu Gurkhas (NPL),Chitwan Rhinos (NPL),Loss,Chitwan Rhinos (NPL),Bowl,1,S1_M2
Shahab Alam,Kathmandu Gurkhas (NPL),Bowler,1,3,0,0,33.33,Yes,c Kushal Malla b Sohail Tanvir,4,20,3,0,5,0,0,0,2,2024-12-02,"Tribhuvan University International Cricket Ground, Kirtipur",Kathmandu Gurkhas (NPL),Chitwan Rhinos (NPL),Loss,Chitwan Rhinos (NPL),Bowl,1,S1_M2
Dipesh Kandel,Kathmandu Gurkhas (NPL),Bowler,1,2,0,0,50,No,not out,4,29,0,0,7.25,0,0,0,2,2024-12-02,"Tribhuvan University International Cricket Ground, Kirtipur",Kathmandu Gurkhas (NPL),Chitwan Rhinos (NPL),Loss,Chitwan Rhinos (NPL),Bowl,1,S1_M2
Hassan Eisakhil,Chitwan Rhinos (NPL),Batsman,12,7,1,1,171.42,Yes,st †Eskinazi b Shahab Alam,0,0,0,0,0,1,0,0,2,2024-12-02,"Tribhuvan University International Cricket Ground, Kirtipur",Chitwan Rhinos (NPL),Kathmandu Gurkhas (NPL),Win,Chitwan Rhinos (NPL),Bowl,1,S1_M2
Deepak Bohara,Chitwan Rhinos (NPL),Batsman,7,7,0,1,100,Yes,lbw b Shahab Alam,0,0,0,0,0,1,0,0,2,2024-12-02,"Tribhuvan University International Cricket Ground, Kirtipur",Chitwan Rhinos (NPL),Kathmandu Gurkhas (NPL),Win,Chitwan Rhinos (NPL),Bowl,1,S1_M2
Luc Benkenstein,Chitwan Rhinos (NPL),All-rounder,22,17,1,2,129.41,Yes,lbw b Erasmus,3,14,1,0,4.66,0,0,0,2,2024-12-02,"Tribhuvan University International Cricket Ground, Kirtipur",Chitwan Rhinos (NPL),Kathmandu Gurkhas (NPL),Win,Chitwan Rhinos (NPL),Bowl,1,S1_M2
Kushal Malla,Chitwan Rhinos (NPL),All-rounder,11,11,1,0,100,Yes,c Rana b Douthwaite,3,17,1,0,5.66,1,0,0,2,2024-12-02,"Tribhuvan University International Cricket Ground, Kirtipur",Chitwan Rhinos (NPL),Kathmandu Gurkhas (NPL),Win,Chitwan Rhinos (NPL),Bowl,1,S1_M2
Ravi Bopara,Chitwan Rhinos (NPL),All-rounder,11,9,2,0,122.22,Yes,c †Eskinazi b Shahab Alam,4,23,0,0,5.75,0,0,0,2,2024-12-02,"Tribhuvan University International Cricket Ground, Kirtipur",Chitwan Rhinos (NPL),Kathmandu Gurkhas (NPL),Win,Chitwan Rhinos (NPL),Bowl,1,S1_M2
Santosh Karki,Chitwan Rhinos (NPL),Batsman,28,31,2,1,90.32,No,not out,0,0,0,0,0,1,0,0,2,2024-12-02,"Tribhuvan University International Cricket Ground, Kirtipur",Chitwan Rhinos (NPL),Kathmandu Gurkhas (NPL),Win,Chitwan Rhinos (NPL),Bowl,1,S1_M2
Sharad Vesawkar,Chitwan Rhinos (NPL),Batsman,11,21,0,0,52.38,No,not out,0,0,0,0,0,1,0,0,2,2024-12-02,"Tribhuvan University International Cricket Ground, Kirtipur",Chitwan Rhinos (NPL),Kathmandu Gurkhas (NPL),Win,Chitwan Rhinos (NPL),Bowl,1,S1_M2
Amar Routela,Chitwan Rhinos (NPL),Bowler,0,0,0,0,0,No,did not bat,2,9,1,0,4.5,1,0,0,2,2024-12-02,"Tribhuvan University International Cricket Ground, Kirtipur",Chitwan Rhinos (NPL),Kathmandu Gurkhas (NPL),Win,Chitwan Rhinos (NPL),Bowl,1,S1_M2
Rijan Dhakal,Chitwan Rhinos (NPL),Bowler,0,0,0,0,0,No,did not bat,4,22,1,0,5.5,0,0,0,2,2024-12-02,"Tribhuvan University International Cricket Ground, Kirtipur",Chitwan Rhinos (NPL),Kathmandu Gurkhas (NPL),Win,Chitwan Rhinos (NPL),Bowl,1,S1_M2
Bipin Rawal,Chitwan Rhinos (NPL),Wicket-keeper,0,0,0,0,0,No,did not bat,0,0,0,0,0,1,0,0,2,2024-12-02,"Tribhuvan University International Cricket Ground, Kirtipur",Chitwan Rhinos (NPL),Kathmandu Gurkhas (NPL),Win,Chitwan Rhinos (NPL),Bowl,1,S1_M2
Sohail Tanvir,Chitwan Rhinos (NPL),Bowler,0,0,0,0,0,No,did not bat,4,21,5,0,5.25,0,0,0,2,2024-12-02,"Tribhuvan University International Cricket Ground, Kirtipur",Chitwan Rhinos (NPL),Kathmandu Gurkhas (NPL),Win,Chitwan Rhinos (NPL),Bowl,1,S1_M2
Dev Khanal,Karnali Yaks (NPL),Batsman,1,5,0,0,20,Yes,b Rajbanshi,0,0,0,0,0,1,0,0,3,2024-12-02,"Tribhuvan University International Cricket Ground, Kirtipur",Karnali Yaks (NPL),Janakpur Bolts (NPL),Loss,Karnali Yaks (NPL),Bat,1,S1_M3
Shikhar Dhawan,Karnali Yaks (NPL),Batsman,14,14,3,0,100,Yes,b Thaker,0,0,0,0,0,0,0,0,3,2024-12-02,"Tribhuvan University International Cricket Ground, Kirtipur",Karnali Yaks (NPL),Janakpur Bolts (NPL),Loss,Karnali Yaks (NPL),Bat,1,S1_M3
Chadwick Walton,Karnali Yaks (NPL),Wicket-keeper,8,12,1,0,66.66,Yes,lbw b Mohammad Mohsin,0,0,0,0,0,0,0,0,3,2024-12-02,"Tribhuvan University International Cricket Ground, Kirtipur",Karnali Yaks (NPL),Janakpur Bolts (NPL),Loss,Karnali Yaks (NPL),Bat,1,S1_M3
Babar Hayat,Karnali Yaks (NPL),Batsman,12,25,0,0,48,Yes,c Neesham b Mohammad Mohsin,0,0,0,0,0,0,0,0,3,2024-12-02,"Tribhuvan University International Cricket Ground, Kirtipur",Karnali Yaks (NPL),Janakpur Bolts (NPL),Loss,Karnali Yaks (NPL),Bat,1,S1_M3
Zeeshan Maqsood,Karnali Yaks (NPL),All-rounder,0,2,0,0,0,Yes,lbw b Neesham,4,33,1,0,8.25,0,0,0,3,2024-12-02,"Tribhuvan University International Cricket Ground, Kirtipur",Karnali Yaks (NPL),Janakpur Bolts (NPL),Loss,Karnali Yaks (NPL),Bat,1,S1_M3
Gulsan Jha,Karnali Yaks (NPL),All-rounder,36,27,1,3,133.33,Yes,b Mahato,1,9,0,0,9,0,0,0,3,2024-12-02,"Tribhuvan University International Cricket Ground, Kirtipur",Karnali Yaks (NPL),Janakpur Bolts (NPL),Loss,Karnali Yaks (NPL),Bat,1,S1_M3
Arjun Gharti,Karnali Yaks (NPL),Batsman,33,22,2,2,150,Yes,run out (Milantha/Neesham),0,0,0,0,0,0,0,0,3,2024-12-02,"Tribhuvan University International Cricket Ground, Kirtipur",Karnali Yaks (NPL),Janakpur Bolts (NPL),Loss,Karnali Yaks (NPL),Bat,1,S1_M3
Sompal Kami,Karnali Yaks (NPL),Bowler,29,13,3,1,223.07,No,not out,3,33,0,0,11,0,0,0,3,2024-12-02,"Tribhuvan University International Cricket Ground, Kirtipur",Karnali Yaks (NPL),Janakpur Bolts (NPL),Loss,Karnali Yaks (NPL),Bat,1,S1_M3
Nandan Yadav,Karnali Yaks (NPL),Bowler,0,0,0,0,0,No,not out,1,16,0,0,16,0,0,0,3,2024-12-02,"Tribhuvan University International Cricket Ground, Kirtipur",Karnali Yaks (NPL),Janakpur Bolts (NPL),Loss,Karnali Yaks (NPL),Bat,1,S1_M3
Mousom Dhakal,Karnali Yaks (NPL),Bowler,0,0,0,0,0,No,did not bat,2.1,25,1,0,11.53,0,0,0,3,2024-12-02,"Tribhuvan University International Cricket Ground, Kirtipur",Karnali Yaks (NPL),Janakpur Bolts (NPL),Loss,Karnali Yaks (NPL),Bat,1,S1_M3
Bhuvan Karki,Karnali Yaks (NPL),Bowler,0,0,0,0,0,No,did not bat,4,26,0,0,6.5,0,0,0,3,2024-12-02,"Tribhuvan University International Cricket Ground, Kirtipur",Karnali Yaks (NPL),Janakpur Bolts (NPL),Loss,Karnali Yaks (NPL),Bat,1,S1_M3
Anil Sah,Janakpur Bolts (NPL),Batsman,62,42,6,3,147.61,No,not out,0,0,0,0,0,0,0,0,3,2024-12-02,"Tribhuvan University International Cricket Ground, Kirtipur",Janakpur Bolts (NPL),Karnali Yaks (NPL),Win,Karnali Yaks (NPL),Bat,1,S1_M3
Aasif Sheikh,Janakpur Bolts (NPL),Wicket-keeper,36,29,2,2,124.13,Yes,c Khanal b Dhakal,0,0,0,0,0,0,0,0,3,2024-12-02,"Tribhuvan University International Cricket Ground, Kirtipur",Janakpur Bolts (NPL),Karnali Yaks (NPL),Win,Karnali Yaks (NPL),Bat,1,S1_M3
Lahiru Milantha,Janakpur Bolts (NPL),Wicket-keeper,24,13,2,2,184.61,Yes,lbw b Zeeshan Maqsood,0,0,0,0,0,0,1,0,3,2024-12-02,"Tribhuvan University International Cricket Ground, Kirtipur",Janakpur Bolts (NPL),Karnali Yaks (NPL),Win,Karnali Yaks (NPL),Bat,1,S1_M3
James Neesham,Janakpur Bolts (NPL),All-rounder,16,8,2,1,200,No,not out,4,37,1,0,9.25,1,1,0,3,2024-12-02,"Tribhuvan University International Cricket Ground, Kirtipur",Janakpur Bolts (NPL),Karnali Yaks (NPL),Win,Karnali Yaks (NPL),Bat,1,S1_M3
Kishor Mahato,Janakpur Bolts (NPL),Bowler,0,0,0,0,0,No,did not bat,4,28,1,0,7,0,0,0,3,2024-12-02,"Tribhuvan University International Cricket Ground, Kirtipur",Janakpur Bolts (NPL),Karnali Yaks (NPL),Win,Karnali Yaks (NPL),Bat,1,S1_M3
Lalit Rajbanshi,Janakpur Bolts (NPL),Bowler,0,0,0,0,0,No,did not bat,4,16,1,0,4,0,0,0,3,2024-12-02,"Tribhuvan University International Cricket Ground, Kirtipur",Janakpur Bolts (NPL),Karnali Yaks (NPL),Win,Karnali Yaks (NPL),Bat,1,S1_M3
Harsh Thaker,Janakpur Bolts (NPL),All-rounder,0,0,0,0,0,No,did not bat,4,45,1,0,11.25,0,0,0,3,2024-12-02,"Tribhuvan University International Cricket Ground, Kirtipur",Janakpur Bolts (NPL),Karnali Yaks (NPL),Win,Karnali Yaks (NPL),Bat,1,S1_M3
Mohammad Mohsin,Janakpur Bolts (NPL),All-rounder,0,0,0,0,0,No,did not bat,4,14,2,0,3.5,0,0,0,3,2024-12-02,"Tribhuvan University International Cricket Ground, Kirtipur",Janakpur Bolts (NPL),Karnali Yaks (NPL),Win,Karnali Yaks (NPL),Bat,1,S1_M3
Shubh Kansakar,Janakpur Bolts (NPL),Batsman,0,0,0,0,0,No,did not bat,0,0,0,0,0,0,0,0,3,2024-12-02,"Tribhuvan University International Cricket Ground, Kirtipur",Janakpur Bolts (NPL),Karnali Yaks (NPL),Win,Karnali Yaks (NPL),Bat,1,S1_M3
Tul Thapa,Janakpur Bolts (NPL),Bowler,0,0,0,0,0,No,did not bat,0,0,0,0,0,0,0,0,3,2024-12-02,"Tribhuvan University International Cricket Ground, Kirtipur",Janakpur Bolts (NPL),Karnali Yaks (NPL),Win,Karnali Yaks (NPL),Bat,1,S1_M3
Harsh Thaker,Janakpur Bolts (NPL),All-rounder,0,0,0,0,0,No,did not bat,0,0,0,0,0,0,0,0,3,2024-12-02,"Tribhuvan University International Cricket Ground, Kirtipur",Janakpur Bolts (NPL),Karnali Yaks (NPL),Win,Karnali Yaks (NPL),Bat,1,S1_M3
Sher Malla,Janakpur Bolts (NPL),Bowler,0,0,0,0,0,No,did not bat,0,0,0,0,0,0,0,0,3,2024-12-02,"Tribhuvan University International Cricket Ground, Kirtipur",Janakpur Bolts (NPL),Karnali Yaks (NPL),Win,Karnali Yaks (NPL),Bat,1,S1_M3
Amit Shrestha,Sudur Paschim Royals (NPL),Batsman,1,5,0,0,20,Yes,c Guptill b Ismat Alam,0,0,0,0,0,0,0,0,4,2024-12-03,"Tribhuvan University International Cricket Ground, Kirtipur",Sudur Paschim Royals (NPL),Biratnagar Kings (NPL),Win,Biratnagar Kings (NPL),Bowl,1,S1_M4
Binod Bhandari,Sudur Paschim Royals (NPL),Wicket-keeper,23,20,4,0,115,Yes,c Pratis GC b Kharel,0,0,0,0,0,1,0,1,4,2024-12-03,"Tribhuvan University International Cricket Ground, Kirtipur",Sudur Paschim Royals (NPL),Biratnagar Kings (NPL),Win,Biratnagar Kings (NPL),Bowl,1,S1_M4
Brandon McMullen,Sudur Paschim Royals (NPL),All-rounder,36,26,2,2,138.46,Yes,c Pratis GC b Kharel,3,8,1,1,2.66,1,0,0,4,2024-12-03,"Tribhuvan University International Cricket Ground, Kirtipur",Sudur Paschim Royals (NPL),Biratnagar Kings (NPL),Win,Biratnagar Kings (NPL),Bowl,1,S1_M4
Aarif Sheikh,Sudur Paschim Royals (NPL),All-rounder,9,5,2,0,180,Yes,c Kirton b Basir Ahamad,0,0,0,0,0,0,0,0,4,2024-12-03,"Tribhuvan University International Cricket Ground, Kirtipur",Sudur Paschim Royals (NPL),Biratnagar Kings (NPL),Win,Biratnagar Kings (NPL),Bowl,1,S1_M4
Saif Zaib,Sudur Paschim Royals (NPL),All-rounder,14,15,0,1,93.33,Yes,b Kharel,3.1,24,1,0,7.57,0,0,0,4,2024-12-03,"Tribhuvan University International Cricket Ground, Kirtipur",Sudur Paschim Royals (NPL),Biratnagar Kings (NPL),Win,Biratnagar Kings (NPL),Bowl,1,S1_M4
Ishan Pandey,Sudur Paschim Royals (NPL),Batsman,21,16,2,1,131.25,Yes,run out (Kharel/Lokesh Bam),1,4,1,0,4,0,1,0,4,2024-12-03,"Tribhuvan University International Cricket Ground, Kirtipur",Sudur Paschim Royals (NPL),Biratnagar Kings (NPL),Win,Biratnagar Kings (NPL),Bowl,1,S1_M4
Dipendra Singh Airee,Sudur Paschim Royals (NPL),All-rounder,57,24,3,5,237.5,No,not out,2,9,0,0,4.5,1,0,0,4,2024-12-03,"Tribhuvan University International Cricket Ground, Kirtipur",Sudur Paschim Royals (NPL),Biratnagar Kings (NPL),Win,Biratnagar Kings (NPL),Bowl,1,S1_M4
Scott Kuggeleijn,Sudur Paschim Royals (NPL),Bowler,10,6,2,0,166.66,Yes,c Kirton b Sole,4,30,3,0,7.5,0,0,0,4,2024-12-03,"Tribhuvan University International Cricket Ground, Kirtipur",Sudur Paschim Royals (NPL),Biratnagar Kings (NPL),Win,Biratnagar Kings (NPL),Bowl,1,S1_M4
Basant Khatri,Sudur Paschim Royals (NPL),Bowler,4,3,0,0,133.33,No,not out,0,0,0,0,0,0,0,0,4,2024-12-03,"Tribhuvan University International Cricket Ground, Kirtipur",Sudur Paschim Royals (NPL),Biratnagar Kings (NPL),Win,Biratnagar Kings (NPL),Bowl,1,S1_M4
Abinash Bohara,Sudur Paschim Royals (NPL),Bowler,0,0,0,0,0,No,did not bat,3,17,3,0,5.66,1,0,0,4,2024-12-03,"Tribhuvan University International Cricket Ground, Kirtipur",Sudur Paschim Royals (NPL),Biratnagar Kings (NPL),Win,Biratnagar Kings (NPL),Bowl,1,S1_M4
Naresh Budayair,Sudur Paschim Royals (NPL),Batsman,0,0,0,0,0,No,did not bat,0,0,0,0,0,2,0,0,4,2024-12-03,"Tribhuvan University International Cricket Ground, Kirtipur",Sudur Paschim Royals (NPL),Biratnagar Kings (NPL),Win,Biratnagar Kings (NPL),Bowl,1,S1_M4
Lokesh Bam,Biratnagar Kings (NPL),Wicket-keeper,2,7,0,0,28.57,Yes,st †Bhandari b McMullen,0,0,0,0,0,0,1,0,4,2024-12-03,"Tribhuvan University International Cricket Ground, Kirtipur",Biratnagar Kings (NPL),Sudur Paschim Royals (NPL),Loss,Biratnagar Kings (NPL),Bowl,1,S1_M4
Martin Guptill,Biratnagar Kings (NPL),Batsman,0,1,0,0,0,Yes,b Kuggeleijn,0,0,0,0,0,1,0,0,4,2024-12-03,"Tribhuvan University International Cricket Ground, Kirtipur",Biratnagar Kings (NPL),Sudur Paschim Royals (NPL),Loss,Biratnagar Kings (NPL),Bowl,1,S1_M4
Nicholas Kirton,Biratnagar Kings (NPL),Batsman,5,9,1,0,55.55,Yes,c Budayair b Kuggeleijn,0,0,0,0,0,2,0,0,4,2024-12-03,"Tribhuvan University International Cricket Ground, Kirtipur",Biratnagar Kings (NPL),Sudur Paschim Royals (NPL),Loss,Biratnagar Kings (NPL),Bowl,1,S1_M4
Rajesh Pulami,Biratnagar Kings (NPL),Batsman,15,15,0,1,100,Yes,run out (Pandey/Bhandari),0,0,0,0,0,0,0,0,4,2024-12-03,"Tribhuvan University International Cricket Ground, Kirtipur",Biratnagar Kings (NPL),Sudur Paschim Royals (NPL),Loss,Biratnagar Kings (NPL),Bowl,1,S1_M4
Basir Ahamad,Biratnagar Kings (NPL),All-rounder,24,28,2,0,85.71,Yes,c Airee b Bohara,1,9,1,0,9,0,0,0,4,2024-12-03,"Tribhuvan University International Cricket Ground, Kirtipur",Biratnagar Kings (NPL),Sudur Paschim Royals (NPL),Loss,Biratnagar Kings (NPL),Bowl,1,S1_M4
Ismat Alam,Biratnagar Kings (NPL),Bowler,6,4,1,0,150,Yes,b Bohara,3,35,1,0,11.66,0,0,0,4,2024-12-03,"Tribhuvan University International Cricket Ground, Kirtipur",Biratnagar Kings (NPL),Sudur Paschim Royals (NPL),Loss,Biratnagar Kings (NPL),Bowl,1,S1_M4
Dipak Bohara,Biratnagar Kings (NPL),Batsman,5,6,0,0,83.33,Yes,lbw b Bohara,0,0,0,0,0,0,0,0,4,2024-12-03,"Tribhuvan University International Cricket Ground, Kirtipur",Biratnagar Kings (NPL),Sudur Paschim Royals (NPL),Loss,Biratnagar Kings (NPL),Bowl,1,S1_M4
