match_id_unique,team,opposition,match_result,match_date,venue,season,toss_winner,toss_decision,won,lost,tied,toss_won
S1_M21,Kathmandu Gurkhas (NPL),Janakpur Bolts (NPL),Loss,2024-12-12,"Tribhuvan University International Cricket Ground, Kirtipur",1,Kathmandu Gurkhas (NPL),Bat,0,1,0,1
S1_M22,Karnali Yaks (NPL),Lumbini Lions (NPL),Win,2024-12-13,"Tribhuvan University International Cricket Ground, Kirtipur",1,Lumbini Lions (NPL),Field,1,0,0,0
S1_M22,Lumbini Lions (NPL),Karnali Yaks (NPL),Loss,2024-12-13,"Tribhuvan University International Cricket Ground, Kirtipur",1,Lumbini Lions (NPL),Field,0,1,0,1
S1_M23,Biratnagar Kings (NPL),Chitwan Rhinos (NPL),Win,2024-12-13,"Tribhuvan University International Cricket Ground, Kirtipur",1,Biratnagar Kings (NPL),Bat,1,0,0,1
S1_M23,Chitwan Rhinos (NPL),Biratnagar Kings (NPL),Loss,2024-12-13,"Tribhuvan University International Cricket Ground, Kirtipur",1,Biratnagar Kings (NPL),Bat,0,1,0,0
S1_M24,Kathmandu Gurkhas (NPL),Pokhara Avengers (NPL),Win,2024-12-14,"Tribhuvan University International Cricket Ground, Kirtipur",1,Kathmandu Gurkhas (NPL),Field,1,0,0,1
S1_M24,Pokhara Avengers (NPL),Kathmandu Gurkhas (NPL),Loss,2024-12-14,"Tribhuvan University International Cricket Ground, Kirtipur",1,Kathmandu Gurkhas (NPL),Field,0,1,0,0
S1_M25,Chitwan Rhinos (NPL),Janakpur Bolts (NPL),Win,2024-12-14,"Tribhuvan University International Cricket Ground, Kirtipur",1,Chitwan Rhinos (NPL),Bat,1,0,0,1
S1_M25,Janakpur Bolts (NPL),Chitwan Rhinos (NPL),Loss,2024-12-14,"Tribhuvan University International Cricket Ground, Kirtipur",1,Chitwan Rhinos (NPL),Bat,0,1,0,0
S1_M26,Biratnagar Kings (NPL),Kathmandu Gurkhas (NPL),Loss,2024-12-15,"Tribhuvan University International Cricket Ground, Kirtipur",1,Kathmandu Gurkhas (NPL),Field,0,1,0,0
S1_M26,Kathmandu Gurkhas (NPL),Biratnagar Kings (NPL),Win,2024-12-15,"Tribhuvan University International Cricket Ground, Kirtipur",1,Kathmandu Gurkhas (NPL),Field,1,0,0,1
S1_M27,Pokhara Avengers (NPL),Sudur Paschim Royals (NPL),Loss,2024-12-15,"Tribhuvan University International Cricket Ground, Kirtipur",1,Pokhara Avengers (NPL),Field,0,1,0,1
S1_M27,Sudur Paschim Royals (NPL),Pokhara Avengers (NPL),Win,2024-12-15,"Tribhuvan University International Cricket Ground, Kirtipur",1,Pokhara Avengers (NPL),Field,1,0,0,0
S1_M28,Karnali Yaks (NPL),Sudur Paschim Royals (NPL),Loss,2024-12-16,"Tribhuvan University International Cricket Ground, Kirtipur",1,Sudur Paschim Royals (NPL),Field,0,1,0,0
S1_M28,Sudur Paschim Royals (NPL),Karnali Yaks (NPL),Win,2024-12-16,"Tribhuvan University International Cricket Ground, Kirtipur",1,Sudur Paschim Royals (NPL),Field,1,0,0,1
S1_M29,Chitwan Rhinos (NPL),Karnali Yaks (NPL),Loss,2024-12-18,"Tribhuvan University International Cricket Ground, Kirtipur",1,Chitwan Rhinos (NPL),Field,0,1,0,1
S1_M29,Karnali Yaks (NPL),Chitwan Rhinos (NPL),Win,2024-12-18,"Tribhuvan University International Cricket Ground, Kirtipur",1,Chitwan Rhinos (NPL),Field,1,0,0,0
S1_M3,Janakpur Bolts (NPL),Karnali Yaks (NPL),Win,2024-12-02,"Tribhuvan University International Cricket Ground, Kirtipur",1,Karnali Yaks (NPL),Bat,1,0,0,0
S1_M3,Karnali Yaks (NPL),Janakpur Bolts (NPL),Loss,2024-12-02,"Tribhuvan University International Cricket Ground, Kirtipur",1,Karnali Yaks (NPL),Bat,0,1,0,1
S1_M30,Janakpur Bolts (NPL),Sudur Paschim Royals (NPL),Loss,2024-12-18,"Tribhuvan University International Cricket Ground, Kirtipur",1,Janakpur Bolts (NPL),Bat,0,1,0,1
S1_M30,Sudur Paschim Royals (NPL),Janakpur Bolts (NPL),Win,2024-12-18,"Tribhuvan University International Cricket Ground, Kirtipur",1,Janakpur Bolts (NPL),Bat,1,0,0,0
S1_M31,Janakpur Bolts (NPL),Karnali Yaks (NPL),Win,2024-12-19,"Tribhuvan University International Cricket Ground, Kirtipur",1,Janakpur Bolts (NPL),Field,1,0,0,1
S1_M31,Karnali Yaks (NPL),Janakpur Bolts (NPL),Loss,2024-12-19,"Tribhuvan University International Cricket Ground, Kirtipur",1,Janakpur Bolts (NPL),Field,0,1,0,0
S1_M32,Janakpur Bolts (NPL),Sudur Paschim Royals (NPL),Win,2024-12-21,"Tribhuvan University International Cricket Ground, Kirtipur",1,Sudur Paschim Royals (NPL),Bat,1,0,0,0
