player_name,team,player_role,runs_scored,balls_faced,fours,sixes,strike_rate,out_status,dismissal_type,overs_bowled,runs_conceded,wickets_taken,maidens,economy_rate,catches,run_outs,stumpings,match_id,match_date,venue,batting_team,opposition,match_result,toss_winner,toss_decision
Saif Zaib,Sudur Paschim Royals (NPL),All-rounder,69,43,8,2,160.46,Yes,c Rajbanshi b Mahato,3,14,1,0,4.66,0,0,0,32,2024-12-21,"Tribhuvan University International Cricket Ground, Kirtipur","Sudur Paschim Royals (NPL)","Janakpur Bolts (NPL)",Loss,"Sudur Paschim Royals (NPL)",Bat
Binod Bhandari,Sudur Paschim Royals (NPL),Wicket-keeper,41,31,1,3,132.25,Yes,b Rajbanshi,0,0,0,0,0,0,0,0,32,2024-12-21,"Tribhuvan University International Cricket Ground, Kirtipur","Sudur Paschim Royals (NPL)","Janakpur Bolts (NPL)",Loss,"Sudur Paschim Royals (NPL)",Bat
Brandon McMullen,Sudur Paschim Royals (NPL),All-rounder,14,12,0,1,116.66,Yes,b Neesham,1,13,0,0,13.00,1,0,0,32,2024-12-21,"Tribhuvan University International Cricket Ground, Kirtipur","Sudur Paschim Royals (NPL)","Janakpur Bolts (NPL)",Loss,"Sudur Paschim Royals (NPL)",Bat
Harmeet Singh,Sudur Paschim Royals (NPL),All-rounder,14,8,0,1,175.00,Yes,c sub (H Dhami) b Mohammad Mohsin,4,32,0,0,8.00,0,0,0,32,2024-12-21,"Tribhuvan University International Cricket Ground, Kirtipur","Sudur Paschim Royals (NPL)","Janakpur Bolts (NPL)",Loss,"Sudur Paschim Royals (NPL)",Bat
Dipendra Singh Airee,Sudur Paschim Royals (NPL),All-rounder,9,7,0,0,128.57,Yes,c sub (H Dhami) b Mohammad Mohsin,4,40,1,0,10.00,0,1,0,32,2024-12-21,"Tribhuvan University International Cricket Ground, Kirtipur","Sudur Paschim Royals (NPL)","Janakpur Bolts (NPL)",Loss,"Sudur Paschim Royals (NPL)",Bat
Scott Kuggeleijn,Sudur Paschim Royals (NPL),All-rounder,13,10,2,0,130.00,Yes,b Mahato,3,43,1,0,14.33,1,0,0,32,2024-12-21,"Tribhuvan University International Cricket Ground, Kirtipur","Sudur Paschim Royals (NPL)","Janakpur Bolts (NPL)",Loss,"Sudur Paschim Royals (NPL)",Bat
Aarif Sheikh,Sudur Paschim Royals (NPL),Batsman,1,3,0,0,33.33,Yes,c Rajbanshi b Mohammad Mohsin,0,0,0,0,0,0,0,0,32,2024-12-21,"Tribhuvan University International Cricket Ground, Kirtipur","Sudur Paschim Royals (NPL)","Janakpur Bolts (NPL)",Loss,"Sudur Paschim Royals (NPL)",Bat
Ishan Pandey,Sudur Paschim Royals (NPL),Batsman,6,2,1,0,300.00,Yes,run out (Mohammad Mohsin/†Milantha/Mahato),2,19,1,0,9.50,0,1,0,32,2024-12-21,"Tribhuvan University International Cricket Ground, Kirtipur","Sudur Paschim Royals (NPL)","Janakpur Bolts (NPL)",Loss,"Sudur Paschim Royals (NPL)",Bat
Naresh Budayair,Sudur Paschim Royals (NPL),Batsman,8,3,0,1,266.66,Yes,c Malla b Mahato,0,0,0,0,0,0,0,0,32,2024-12-21,"Tribhuvan University International Cricket Ground, Kirtipur","Sudur Paschim Royals (NPL)","Janakpur Bolts (NPL)",Loss,"Sudur Paschim Royals (NPL)",Bat
Naren Saud,Sudur Paschim Royals (NPL),All-rounder,1,1,0,0,100.00,No,not out,0.2,3,0,0,9.00,0,0,0,32,2024-12-21,"Tribhuvan University International Cricket Ground, Kirtipur","Sudur Paschim Royals (NPL)","Janakpur Bolts (NPL)",Loss,"Sudur Paschim Royals (NPL)",Bat
