player_name,team,player_role,runs_scored,balls_faced,fours,sixes,strike_rate,out_status,dismissal_type,overs_bowled,runs_conceded,wickets_taken,maidens,economy_rate,catches,run_outs,stumpings,match_id,match_date,venue,batting_team,opposition,match_result,toss_winner,toss_decision
Saif Zaib,Sudur Paschim Royals (NPL),All-rounder,90,61,6,5,147.54,Yes,c Chand b Simmonds,4,33,3,0,8.25,0,0,0,12,2024-12-07,"Tribhuvan University International Cricket Ground, Kirtipur","Sudur Paschim Royals (NPL)","Lumbini Lions (NPL)",Win,"Lumbini Lions (NPL)",Bowl
Binod Bhandari,Sudur Paschim Royals (NPL),Wicket-keeper,17,13,2,0,130.76,Yes,c Jora b Paudel,0,0,0,0,0,0,0,0,12,2024-12-07,"Tribhuvan University International Cricket Ground, Kirtipur","Sudur Paschim Royals (NPL)","Lumbini Lions (NPL)",Win,"Lumbini Lions (NPL)",Bowl
Brandon McMullen,Sudur Paschim Royals (NPL),All-rounder,23,20,1,1,115.00,Yes,c Saad Bin Zafar b Yadav,4,21,3,0,5.25,0,0,0,12,2024-12-07,"Tribhuvan University International Cricket Ground, Kirtipur","Sudur Paschim Royals (NPL)","Lumbini Lions (NPL)",Win,"Lumbini Lions (NPL)",Bowl
Dipendra Singh Airee,Sudur Paschim Royals (NPL),All-rounder,39,19,4,2,205.26,No,not out,4,22,1,0,5.50,1,0,0,12,2024-12-07,"Tribhuvan University International Cricket Ground, Kirtipur","Sudur Paschim Royals (NPL)","Lumbini Lions (NPL)",Win,"Lumbini Lions (NPL)",Bowl
Aarif Sheikh,Sudur Paschim Royals (NPL),Batsman,0,1,0,0,0.00,Yes,c Saad Bin Zafar b Simmonds,0,0,0,0,0,0,0,0,12,2024-12-07,"Tribhuvan University International Cricket Ground, Kirtipur","Sudur Paschim Royals (NPL)","Lumbini Lions (NPL)",Win,"Lumbini Lions (NPL)",Bowl
Scott Kuggeleijn,Sudur Paschim Royals (NPL),Bowler,11,6,0,1,183.33,No,not out,4,19,2,0,4.75,1,0,0,12,2024-12-07,"Tribhuvan University International Cricket Ground, Kirtipur","Sudur Paschim Royals (NPL)","Lumbini Lions (NPL)",Win,"Lumbini Lions (NPL)",Bowl
Basant Khatri,Sudur Paschim Royals (NPL),Bowler,0,0,0,0,0,No,did not bat,1,12,0,0,12.00,1,0,0,12,2024-12-07,"Tribhuvan University International Cricket Ground, Kirtipur","Sudur Paschim Royals (NPL)","Lumbini Lions (NPL)",Win,"Lumbini Lions (NPL)",Bowl
Ishan Pandey,Sudur Paschim Royals (NPL),Batsman,0,0,0,0,0,No,did not bat,0,0,0,0,0,2,0,0,12,2024-12-07,"Tribhuvan University International Cricket Ground, Kirtipur","Sudur Paschim Royals (NPL)","Lumbini Lions (NPL)",Win,"Lumbini Lions (NPL)",Bowl
Naren Saud,Sudur Paschim Royals (NPL),Bowler,0,0,0,0,0,No,did not bat,3,29,0,0,9.66,0,0,0,12,2024-12-07,"Tribhuvan University International Cricket Ground, Kirtipur","Sudur Paschim Royals (NPL)","Lumbini Lions (NPL)",Win,"Lumbini Lions (NPL)",Bowl
Abinash Bohara,Sudur Paschim Royals (NPL),Bowler,0,0,0,0,0,No,did not bat,4,28,1,0,7.00,0,0,0,12,2024-12-07,"Tribhuvan University International Cricket Ground, Kirtipur","Sudur Paschim Royals (NPL)","Lumbini Lions (NPL)",Win,"Lumbini Lions (NPL)",Bowl
