player_name,team,player_role,runs_scored,balls_faced,fours,sixes,strike_rate,out_status,dismissal_type,overs_bowled,runs_conceded,wickets_taken,maidens,economy_rate,catches,run_outs,stumpings,match_id,match_date,venue,batting_team,opposition,match_result,toss_winner,toss_decision
Santosh Karki,Chitwan Rhinos (NPL),Batsman,9,7,1,0,128.57,Yes,c Budayair b McMullen,0,0,0,0,0,0,0,0,15,2024-12-08,"Tribhuvan University International Cricket Ground, Kirtipur","Chitwan Rhinos (NPL)","Sudur Paschim Royals (NPL)",Win,"Chitwan Rhinos (NPL)",Bat
Hassan Eisakhil,Chitwan Rhinos (NPL),Batsman,65,52,6,3,125.00,Yes,c Budayair b Kuggeleijn,0,0,0,0,0,0,0,0,15,2024-12-08,"Tribhuvan University International Cricket Ground, Kirtipur","Chitwan Rhinos (NPL)","Sudur Paschim Royals (NPL)",Win,"Chitwan Rhinos (NPL)",Bat
Bipin Rawal,Chitwan Rhinos (NPL),Wicket-keeper,17,20,2,0,85.00,Yes,c Kuggeleijn b Zaib,0,0,0,0,0,1,0,0,15,2024-12-08,"Tribhuvan University International Cricket Ground, Kirtipur","Chitwan Rhinos (NPL)","Sudur Paschim Royals (NPL)",Win,"Chitwan Rhinos (NPL)",Bat
Kushal Malla,Chitwan Rhinos (NPL),All-rounder,13,16,1,0,81.25,Yes,b Kuggeleijn,4,18,2,0,4.50,0,0,0,15,2024-12-08,"Tribhuvan University International Cricket Ground, Kirtipur","Chitwan Rhinos (NPL)","Sudur Paschim Royals (NPL)",Win,"Chitwan Rhinos (NPL)",Bat
Ravi Bopara,Chitwan Rhinos (NPL),All-rounder,36,18,2,2,200.00,Yes,c Budayair b Airee,0,0,0,0,0,0,0,0,15,2024-12-08,"Tribhuvan University International Cricket Ground, Kirtipur","Chitwan Rhinos (NPL)","Sudur Paschim Royals (NPL)",Win,"Chitwan Rhinos (NPL)",Bat
Jan Nicol Loftie-Eaton,Chitwan Rhinos (NPL),All-rounder,2,4,0,0,50.00,No,not out,3,18,2,0,6.00,1,0,0,15,2024-12-08,"Tribhuvan University International Cricket Ground, Kirtipur","Chitwan Rhinos (NPL)","Sudur Paschim Royals (NPL)",Win,"Chitwan Rhinos (NPL)",Bat
Amar Routela,Chitwan Rhinos (NPL),Bowler,6,3,1,0,200.00,No,not out,1,9,2,0,9.00,0,0,0,15,2024-12-08,"Tribhuvan University International Cricket Ground, Kirtipur","Chitwan Rhinos (NPL)","Sudur Paschim Royals (NPL)",Win,"Chitwan Rhinos (NPL)",Bat
Sohail Tanvir,Chitwan Rhinos (NPL),Bowler,0,0,0,0,0,No,did not bat,3.2,22,1,0,6.60,0,0,0,15,2024-12-08,"Tribhuvan University International Cricket Ground, Kirtipur","Chitwan Rhinos (NPL)","Sudur Paschim Royals (NPL)",Win,"Chitwan Rhinos (NPL)",Bat
Deepak Bohara,Chitwan Rhinos (NPL),All-rounder,0,0,0,0,0,No,did not bat,0,0,0,0,0,1,0,0,15,2024-12-08,"Tribhuvan University International Cricket Ground, Kirtipur","Chitwan Rhinos (NPL)","Sudur Paschim Royals (NPL)",Win,"Chitwan Rhinos (NPL)",Bat
Ranjit Kumar,Chitwan Rhinos (NPL),Bowler,0,0,0,0,0,No,did not bat,4,30,1,0,7.50,1,0,0,15,2024-12-08,"Tribhuvan University International Cricket Ground, Kirtipur","Chitwan Rhinos (NPL)","Sudur Paschim Royals (NPL)",Win,"Chitwan Rhinos (NPL)",Bat
Rijan Dhakal,Chitwan Rhinos (NPL),Bowler,0,0,0,0,0,No,did not bat,3,33,2,0,11.00,0,0,0,15,2024-12-08,"Tribhuvan University International Cricket Ground, Kirtipur","Chitwan Rhinos (NPL)","Sudur Paschim Royals (NPL)",Win,"Chitwan Rhinos (NPL)",Bat
Saif Zaib,Sudur Paschim Royals (NPL),All-rounder,18,11,3,0,163.63,Yes,c Kumar b Dhakal,3,22,1,0,7.33,0,0,0,15,2024-12-08,"Tribhuvan University International Cricket Ground, Kirtipur","Sudur Paschim Royals (NPL)","Chitwan Rhinos (NPL)",Loss,"Chitwan Rhinos (NPL)",Bat
Binod Bhandari,Sudur Paschim Royals (NPL),Wicket-keeper,10,8,2,0,125.00,Yes,c Loftie-Eaton b Kushal Malla,0,0,0,0,0,0,0,0,15,2024-12-08,"Tribhuvan University International Cricket Ground, Kirtipur","Sudur Paschim Royals (NPL)","Chitwan Rhinos (NPL)",Loss,"Chitwan Rhinos (NPL)",Bat
Brandon McMullen,Sudur Paschim Royals (NPL),All-rounder,13,9,2,0,144.44,Yes,b Kushal Malla,3,22,1,0,7.33,0,0,0,15,2024-12-08,"Tribhuvan University International Cricket Ground, Kirtipur","Sudur Paschim Royals (NPL)","Chitwan Rhinos (NPL)",Loss,"Chitwan Rhinos (NPL)",Bat
Dilpreet Bajwa,Sudur Paschim Royals (NPL),Batsman,12,16,1,0,75.00,Yes,lbw b Loftie-Eaton,0,0,0,0,0,0,0,0,15,2024-12-08,"Tribhuvan University International Cricket Ground, Kirtipur","Sudur Paschim Royals (NPL)","Chitwan Rhinos (NPL)",Loss,"Chitwan Rhinos (NPL)",Bat
Aarif Sheikh,Sudur Paschim Royals (NPL),Batsman,4,9,0,0,44.44,Yes,lbw b Kumar,0,0,0,0,0,0,0,0,15,2024-12-08,"Tribhuvan University International Cricket Ground, Kirtipur","Sudur Paschim Royals (NPL)","Chitwan Rhinos (NPL)",Loss,"Chitwan Rhinos (NPL)",Bat
Ishan Pandey,Sudur Paschim Royals (NPL),Batsman,35,28,4,1,125.00,Yes,c Deepak Bohara b Routela,1,8,0,0,8.00,0,0,0,15,2024-12-08,"Tribhuvan University International Cricket Ground, Kirtipur","Sudur Paschim Royals (NPL)","Chitwan Rhinos (NPL)",Loss,"Chitwan Rhinos (NPL)",Bat
Dipendra Singh Airee,Sudur Paschim Royals (NPL),All-rounder,1,2,0,0,50.00,Yes,c †Rawal b Loftie-Eaton,4,32,1,0,8.00,1,0,0,15,2024-12-08,"Tribhuvan University International Cricket Ground, Kirtipur","Sudur Paschim Royals (NPL)","Chitwan Rhinos (NPL)",Loss,"Chitwan Rhinos (NPL)",Bat
Naresh Budayair,Sudur Paschim Royals (NPL),Batsman,5,10,0,0,50.00,Yes,c sub (NB Sarki) b Routela,0,0,0,0,0,3,0,0,15,2024-12-08,"Tribhuvan University International Cricket Ground, Kirtipur","Sudur Paschim Royals (NPL)","Chitwan Rhinos (NPL)",Loss,"Chitwan Rhinos (NPL)",Bat
Scott Kuggeleijn,Sudur Paschim Royals (NPL),Bowler,16,10,3,0,160.00,Yes,lbw b Sohail Tanvir,4,29,2,0,7.25,1,0,0,15,2024-12-08,"Tribhuvan University International Cricket Ground, Kirtipur","Sudur Paschim Royals (NPL)","Chitwan Rhinos (NPL)",Loss,"Chitwan Rhinos (NPL)",Bat
Naren Saud,Sudur Paschim Royals (NPL),Bowler,10,8,0,1,125.00,Yes,c & b Dhakal,1,10,0,0,10.00,0,0,0,15,2024-12-08,"Tribhuvan University International Cricket Ground, Kirtipur","Sudur Paschim Royals (NPL)","Chitwan Rhinos (NPL)",Loss,"Chitwan Rhinos (NPL)",Bat
Abinash Bohara,Sudur Paschim Royals (NPL),Bowler,0,0,0,0,0,No,not out,4,38,0,0,9.50,0,0,0,15,2024-12-08,"Tribhuvan University International Cricket Ground, Kirtipur","Sudur Paschim Royals (NPL)","Chitwan Rhinos (NPL)",Loss,"Chitwan Rhinos (NPL)",Bat

