player_name,team,player_role,runs_scored,balls_faced,fours,sixes,strike_rate,out_status,dismissal_type,overs_bowled,runs_conceded,wickets_taken,maidens,economy_rate,catches,run_outs,stumpings,match_id,match_date,venue,batting_team,opposition,match_result,toss_winner,toss_decision
Saif Zaib,Sudur Paschim Royals (NPL),All-rounder,21,21,0,2,100.00,Yes,c Yadav b Thaker,1,2,1,0,2.00,0,0,0,18,2024-12-11,"Tribhuvan University International Cricket Ground, Kirtipur","Sudur Paschim Royals (NPL)","Janakpur Bolts (NPL)",Win,"Janakpur Bolts (NPL)",Bowl
Binod Bhandari,Sudur Paschim Royals (NPL),Wicket-keeper,33,37,3,1,89.18,Yes,c Tromp b Malla,0,0,0,0,0,0,0,0,18,2024-12-11,"Tribhuvan University International Cricket Ground, Kirtipur","Sudur Paschim Royals (NPL)","Janakpur Bolts (NPL)",Win,"Janakpur Bolts (NPL)",Bowl
Harmeet Singh,Sudur Paschim Royals (NPL),All-rounder,1,3,0,0,33.33,Yes,b Malla,4,2,2,2,0.50,1,1,0,18,2024-12-11,"Tribhuvan University International Cricket Ground, Kirtipur","Sudur Paschim Royals (NPL)","Janakpur Bolts (NPL)",Win,"Janakpur Bolts (NPL)",Bowl
Brandon McMullen,Sudur Paschim Royals (NPL),All-rounder,11,17,0,0,64.70,Yes,c Tromp b Yadav,0,0,0,0,0,1,0,0,18,2024-12-11,"Tribhuvan University International Cricket Ground, Kirtipur","Sudur Paschim Royals (NPL)","Janakpur Bolts (NPL)",Win,"Janakpur Bolts (NPL)",Bowl
Dipendra Singh Airee,Sudur Paschim Royals (NPL),All-rounder,0,3,0,0,0.00,Yes,c Tromp b Yadav,3,27,2,0,9.00,1,0,0,18,2024-12-11,"Tribhuvan University International Cricket Ground, Kirtipur","Sudur Paschim Royals (NPL)","Janakpur Bolts (NPL)",Win,"Janakpur Bolts (NPL)",Bowl
Ishan Pandey,Sudur Paschim Royals (NPL),All-rounder,17,14,1,1,121.42,Yes,c Neesham b Mahato,2,11,2,0,5.50,1,0,0,18,2024-12-11,"Tribhuvan University International Cricket Ground, Kirtipur","Sudur Paschim Royals (NPL)","Janakpur Bolts (NPL)",Win,"Janakpur Bolts (NPL)",Bowl
Aarif Sheikh,Sudur Paschim Royals (NPL),Batsman,6,9,0,0,66.66,Yes,c Yadav b Mahato,0,0,0,0,0,1,0,0,18,2024-12-11,"Tribhuvan University International Cricket Ground, Kirtipur","Sudur Paschim Royals (NPL)","Janakpur Bolts (NPL)",Win,"Janakpur Bolts (NPL)",Bowl
Scott Kuggeleijn,Sudur Paschim Royals (NPL),Bowler,7,3,0,1,233.33,Yes,b Mahato,0.1,0,1,0,0.00,1,0,0,18,2024-12-11,"Tribhuvan University International Cricket Ground, Kirtipur","Sudur Paschim Royals (NPL)","Janakpur Bolts (NPL)",Win,"Janakpur Bolts (NPL)",Bowl
Naresh Budayair,Sudur Paschim Royals (NPL),Batsman,9,6,1,0,150.00,No,not out,0,0,0,0,0,1,0,0,18,2024-12-11,"Tribhuvan University International Cricket Ground, Kirtipur","Sudur Paschim Royals (NPL)","Janakpur Bolts (NPL)",Win,"Janakpur Bolts (NPL)",Bowl
Naren Saud,Sudur Paschim Royals (NPL),Bowler,3,4,0,0,75.00,Yes,c Yadav b Mahato,2,5,1,0,2.50,0,0,0,18,2024-12-11,"Tribhuvan University International Cricket Ground, Kirtipur","Sudur Paschim Royals (NPL)","Janakpur Bolts (NPL)",Win,"Janakpur Bolts (NPL)",Bowl
Abinash Bohara,Sudur Paschim Royals (NPL),Bowler,2,3,0,0,66.66,No,not out,0,0,0,0,0,1,0,0,18,2024-12-11,"Tribhuvan University International Cricket Ground, Kirtipur","Sudur Paschim Royals (NPL)","Janakpur Bolts (NPL)",Win,"Janakpur Bolts (NPL)",Bowl
Anil Sah,Janakpur Bolts (NPL),Batsman,0,7,0,0,0.00,Yes,b Zaib,0,0,0,0,0,0,0,0,18,2024-12-11,"Tribhuvan University International Cricket Ground, Kirtipur","Janakpur Bolts (NPL)","Sudur Paschim Royals (NPL)",Loss,"Janakpur Bolts (NPL)",Bowl
Aasif Sheikh,Janakpur Bolts (NPL),Wicket-keeper,4,5,0,0,80.00,Yes,c Kuggeleijn b Airee,0,0,0,0,0,0,0,0,18,2024-12-11,"Tribhuvan University International Cricket Ground, Kirtipur","Janakpur Bolts (NPL)","Sudur Paschim Royals (NPL)",Loss,"Janakpur Bolts (NPL)",Bowl
Lahiru Milantha,Janakpur Bolts (NPL),Batsman,7,7,1,0,100.00,Yes,c Aarif Sheikh b Pandey,0,0,0,0,0,0,0,0,18,2024-12-11,"Tribhuvan University International Cricket Ground, Kirtipur","Janakpur Bolts (NPL)","Sudur Paschim Royals (NPL)",Loss,"Janakpur Bolts (NPL)",Bowl
