player_name,team,player_role,runs_scored,balls_faced,fours,sixes,strike_rate,out_status,dismissal_type,overs_bowled,runs_conceded,wickets_taken,maidens,economy_rate,catches,run_outs,stumpings,match_id,match_date,venue,batting_team,opposition,match_result,toss_winner,toss_decision
D'Arcy Short,Lumbini Lions (NPL),All-rounder,18,11,4,0,163.63,Yes,b Hemant Dhami,3,22,0,0,7.33,0,0,0,13,2025-11-27,"Tribhuvan University International Cricket Ground, Kirtipur","Lumbini Lions (NPL)","Sudur Paschim Royals (NPL)",Loss,"Sudur Paschim Royals (NPL)",Field
Sumit Maharjan,Lumbini Lions (NPL),Batsman,18,14,3,0,128.57,Yes,lbw b Harmeet Singh,0,0,0,0,0,0,0,0,13,2025-11-27,"Tribhuvan University International Cricket Ground, Kirtipur","Lumbini Lions (NPL)","Sudur Paschim Royals (NPL)",Loss,"Sudur Paschim Royals (NPL)",Field
Rohit Paudel,Lumbini Lions (NPL),All-rounder,35,36,3,0,97.22,Yes,c †Binod Bhandari b Hemant Dhami,4,30,0,0,7.50,1,0,0,13,2025-11-27,"Tribhuvan University International Cricket Ground, Kirtipur","Lumbini Lions (NPL)","Sudur Paschim Royals (NPL)",Loss,"Sudur Paschim Royals (NPL)",Field
Dilip Nath,Lumbini Lions (NPL),Wicket-keeper,31,29,2,1,106.89,Yes,c †Binod Bhandari b Abinash Bohara,0,0,0,0,0,2,0,0,13,2025-11-27,"Tribhuvan University International Cricket Ground, Kirtipur","Lumbini Lions (NPL)","Sudur Paschim Royals (NPL)",Loss,"Sudur Paschim Royals (NPL)",Field
Gulbadin Naib,Lumbini Lions (NPL),All-rounder,11,9,2,0,122.22,Yes,c †Binod Bhandari b Abinash Bohara,3,27,0,0,9.00,1,0,0,13,2025-11-27,"Tribhuvan University International Cricket Ground, Kirtipur","Lumbini Lions (NPL)","Sudur Paschim Royals (NPL)",Loss,"Sudur Paschim Royals (NPL)",Field
Ruben Trumpelmann,Lumbini Lions (NPL),Bowler,0,3,0,0,0.00,Yes,run out (Dipendra Singh Airee),3,27,1,0,9.00,0,1,0,13,2025-11-27,"Tribhuvan University International Cricket Ground, Kirtipur","Lumbini Lions (NPL)","Sudur Paschim Royals (NPL)",Loss,"Sudur Paschim Royals (NPL)",Field
Sundeep Jora,Lumbini Lions (NPL),Batsman,7,7,0,0,100.00,Yes,c Scott Kuggeleijn b Abinash Bohara,0,0,0,0,0,1,0,0,13,2025-11-27,"Tribhuvan University International Cricket Ground, Kirtipur","Lumbini Lions (NPL)","Sudur Paschim Royals (NPL)",Loss,"Sudur Paschim Royals (NPL)",Field
Sher Malla,Lumbini Lions (NPL),Bowler,4,2,1,0,200.00,Yes,b Scott Kuggeleijn,0,0,0,0,0,2,0,0,13,2025-11-27,"Tribhuvan University International Cricket Ground, Kirtipur","Lumbini Lions (NPL)","Sudur Paschim Royals (NPL)",Loss,"Sudur Paschim Royals (NPL)",Field
Thomas Draca,Lumbini Lions (NPL),All-rounder,6,4,1,0,150.00,Yes,c Dipendra Singh Airee b Harmeet Singh,3.2,26,0,0,7.80,0,0,0,13,2025-11-27,"Tribhuvan University International Cricket Ground, Kirtipur","Lumbini Lions (NPL)","Sudur Paschim Royals (NPL)",Loss,"Sudur Paschim Royals (NPL)",Field
Tilak Bhandari,Lumbini Lions (NPL),Bowler,0,0,0,0,0,No,not out,1,8,1,0,8.00,1,0,0,13,2025-11-27,"Tribhuvan University International Cricket Ground, Kirtipur","Lumbini Lions (NPL)","Sudur Paschim Royals (NPL)",Loss,"Sudur Paschim Royals (NPL)",Field
Abhishesh Gautam,Lumbini Lions (NPL),Bowler,6,3,1,0,200.00,Yes,c Dipendra Singh Airee b Harmeet Singh,4,20,1,0,5.00,0,0,0,13,2025-11-27,"Tribhuvan University International Cricket Ground, Kirtipur","Lumbini Lions (NPL)","Sudur Paschim Royals (NPL)",Loss,"Sudur Paschim Royals (NPL)",Field
Josh Brown,Sudur Paschim Royals (NPL),Batsman,9,7,2,0,128.57,Yes,c Sher Malla b Abhishesh Gautam,0,0,0,0,0,0,0,0,13,2025-11-27,"Tribhuvan University International Cricket Ground, Kirtipur","Sudur Paschim Royals (NPL)","Lumbini Lions (NPL)",Win,"Sudur Paschim Royals (NPL)",Field
Binod Bhandari,Sudur Paschim Royals (NPL),Wicket-keeper,69,49,5,4,140.81,No,not out,0,0,0,0,0,3,0,0,13,2025-11-27,"Tribhuvan University International Cricket Ground, Kirtipur","Sudur Paschim Royals (NPL)","Lumbini Lions (NPL)",Win,"Sudur Paschim Royals (NPL)",Field
Chris Lynn,Sudur Paschim Royals (NPL),Batsman,16,14,1,2,114.28,Yes,c Gulbadin Naib b Ruben Trumpelmann,0,0,0,0,0,0,0,0,13,2025-11-27,"Tribhuvan University International Cricket Ground, Kirtipur","Sudur Paschim Royals (NPL)","Lumbini Lions (NPL)",Win,"Sudur Paschim Royals (NPL)",Field
Aarif Sheikh,Sudur Paschim Royals (NPL),Batsman,39,37,4,1,105.40,Yes,c Rohit Paudel b Tilak Bhandari,4,30,0,0,7.50,1,0,0,13,2025-11-27,"Tribhuvan University International Cricket Ground, Kirtipur","Sudur Paschim Royals (NPL)","Lumbini Lions (NPL)",Win,"Sudur Paschim Royals (NPL)",Field
Harmeet Singh,Sudur Paschim Royals (NPL),All-rounder,7,3,0,1,233.33,No,not out,3.4,22,3,0,6.00,0,0,0,13,2025-11-27,"Tribhuvan University International Cricket Ground, Kirtipur","Sudur Paschim Royals (NPL)","Lumbini Lions (NPL)",Win,"Sudur Paschim Royals (NPL)",Field
Dipendra Singh Airee,Sudur Paschim Royals (NPL),All-rounder,0,0,0,0,0,No,did not bat,4,30,0,0,7.50,2,1,0,13,2025-11-27,"Tribhuvan University International Cricket Ground, Kirtipur","Sudur Paschim Royals (NPL)","Lumbini Lions (NPL)",Win,"Sudur Paschim Royals (NPL)",Field
Ishan Pandey,Sudur Paschim Royals (NPL),Batsman,0,0,0,0,0,No,did not bat,0,0,0,0,0,0,0,0,13,2025-11-27,"Tribhuvan University International Cricket Ground, Kirtipur","Sudur Paschim Royals (NPL)","Lumbini Lions (NPL)",Win,"Sudur Paschim Royals (NPL)",Field
Scott Kuggeleijn,Sudur Paschim Royals (NPL),All-rounder,0,0,0,0,0,No,did not bat,4,28,1,0,7.00,1,0,0,13,2025-11-27,"Tribhuvan University International Cricket Ground, Kirtipur","Sudur Paschim Royals (NPL)","Lumbini Lions (NPL)",Win,"Sudur Paschim Royals (NPL)",Field
Naren Saud,Sudur Paschim Royals (NPL),All-rounder,0,0,0,0,0,No,did not bat,1,6,0,0,6.00,0,0,0,13,2025-11-27,"Tribhuvan University International Cricket Ground, Kirtipur","Sudur Paschim Royals (NPL)","Lumbini Lions (NPL)",Win,"Sudur Paschim Royals (NPL)",Field
