player_name,team,player_role,runs_scored,balls_faced,fours,sixes,strike_rate,out_status,dismissal_type,overs_bowled,runs_conceded,wickets_taken,maidens,economy_rate,catches,run_outs,stumpings,match_id,match_date,venue,batting_team,opposition,match_result,toss_winner,toss_decision
Kushal Bhurtel,Pokhara Avengers (NPL),All-rounder,18,17,3,1,105.88,Yes,c Nandan Yadav b Mark Watt,4,33,1,0,8.25,2,0,0,21,2025-12-02,"Tribhuvan University International Cricket Ground, Kirtipur","Pokhara Avengers (NPL)","Karnali Yaks (NPL)",Win,"Karnali Yaks (NPL)",Bat
Adam Rossington,Pokhara Avengers (NPL),Wicket-keeper,108,58,11,7,186.20,No,not out,0,0,0,0,0,2,0,2,21,2025-12-02,"Tribhuvan University International Cricket Ground, Kirtipur","Pokhara Avengers (NPL)","Karnali Yaks (NPL)",Win,"Karnali Yaks (NPL)",Bat
Jason Roy,Pokhara Avengers (NPL),Batsman,46,34,2,3,135.29,Yes,c Priyank Panchal b Nandan Yadav,0,0,0,0,0,1,0,0,21,2025-12-02,"Tribhuvan University International Cricket Ground, Kirtipur","Pokhara Avengers (NPL)","Karnali Yaks (NPL)",Win,"Karnali Yaks (NPL)",Bat
Dhananjaya Lakshan,Pokhara Avengers (NPL),All-rounder,23,11,3,1,209.09,No,not out,4,31,3,0,7.75,1,1,0,21,2025-12-02,"Tribhuvan University International Cricket Ground, Kirtipur","Pokhara Avengers (NPL)","Karnali Yaks (NPL)",Win,"Karnali Yaks (NPL)",Bat
Trit Raj Das,Pokhara Avengers (NPL),Batsman,0,0,0,0,0,No,did not bat,0,0,0,0,0,1,1,0,21,2025-12-02,"Tribhuvan University International Cricket Ground, Kirtipur","Pokhara Avengers (NPL)","Karnali Yaks (NPL)",Win,"Karnali Yaks (NPL)",Bat
Aakash Chand,Pokhara Avengers (NPL),Bowler,0,0,0,0,0,No,did not bat,1,11,0,0,11.00,0,0,0,21,2025-12-02,"Tribhuvan University International Cricket Ground, Kirtipur","Pokhara Avengers (NPL)","Karnali Yaks (NPL)",Win,"Karnali Yaks (NPL)",Bat
Kiran Thagunna,Pokhara Avengers (NPL),All-rounder,0,0,0,0,0,No,did not bat,3,23,1,0,7.66,2,1,0,21,2025-12-02,"Tribhuvan University International Cricket Ground, Kirtipur","Pokhara Avengers (NPL)","Karnali Yaks (NPL)",Win,"Karnali Yaks (NPL)",Bat
Rishi Dhawan,Pokhara Avengers (NPL),All-rounder,0,0,0,0,0,No,did not bat,4,37,3,0,9.25,1,1,0,21,2025-12-02,"Tribhuvan University International Cricket Ground, Kirtipur","Pokhara Avengers (NPL)","Karnali Yaks (NPL)",Win,"Karnali Yaks (NPL)",Bat
Bipin Khatri,Pokhara Avengers (NPL),Bowler,0,0,0,0,0,No,did not bat,1,17,0,0,17.00,1,0,0,21,2025-12-02,"Tribhuvan University International Cricket Ground, Kirtipur","Pokhara Avengers (NPL)","Karnali Yaks (NPL)",Win,"Karnali Yaks (NPL)",Bat
Sagar Dhakal,Pokhara Avengers (NPL),Bowler,0,0,0,0,0,No,did not bat,1,10,0,0,10.00,0,0,0,21,2025-12-02,"Tribhuvan University International Cricket Ground, Kirtipur","Pokhara Avengers (NPL)","Karnali Yaks (NPL)",Win,"Karnali Yaks (NPL)",Bat
Sandeep Chettri,Pokhara Avengers (NPL),Bowler,0,0,0,0,0,No,did not bat,1,5,1,0,5.00,0,0,1,21,2025-12-02,"Tribhuvan University International Cricket Ground, Kirtipur","Pokhara Avengers (NPL)","Karnali Yaks (NPL)",Win,"Karnali Yaks (NPL)",Bat
Mark Watt,Karnali Yaks (NPL),All-rounder,59,34,4,5,173.52,Yes,c Trit Raj Das b Kiran Thagunna,3,24,1,0,8.00,1,0,0,21,2025-12-02,"Tribhuvan University International Cricket Ground, Kirtipur","Karnali Yaks (NPL)","Pokhara Avengers (NPL)",Loss,"Karnali Yaks (NPL)",Bat
Priyank Panchal,Karnali Yaks (NPL),Batsman,16,11,0,2,145.45,Yes,c Kushal Bhurtel b Dhananjaya Lakshan,0,0,0,0,0,1,0,0,21,2025-12-02,"Tribhuvan University International Cricket Ground, Kirtipur","Karnali Yaks (NPL)","Pokhara Avengers (NPL)",Loss,"Karnali Yaks (NPL)",Bat
Jaykishan Kolsawala,Karnali Yaks (NPL),Wicket-keeper,6,10,0,0,60.00,Yes,st †Adam Rossington b Sandeep Chettri,0,0,0,0,0,1,0,1,21,2025-12-02,"Tribhuvan University International Cricket Ground, Kirtipur","Karnali Yaks (NPL)","Pokhara Avengers (NPL)",Loss,"Karnali Yaks (NPL)",Bat
