player_name,team,player_role,runs_scored,balls_faced,fours,sixes,strike_rate,out_status,dismissal_type,overs_bowled,runs_conceded,wickets_taken,maidens,economy_rate,catches,run_outs,stumpings,match_id,match_date,venue,batting_team,opposition,match_result,toss_winner,toss_decision
Dawid Malan,Chitwan Rhinos (NPL),Batsman,5,9,0,0,55.55,Yes,b Dhananjaya Lakshan,0,0,0,0,0,0,0,0,27,2025-12-06,"Tribhuvan University International Cricket Ground, Kirtipur","Chitwan Rhinos (NPL)","Pokhara Avengers (NPL)",Loss,"Chitwan Rhinos (NPL)",Bat
Arjun Saud,Chitwan Rhinos (NPL),Wicket-keeper,1,2,0,0,50.00,Yes,b Dhananjaya Lakshan,0,0,0,0,0,0,0,1,27,2025-12-06,"Tribhuvan University International Cricket Ground, Kirtipur","Chitwan Rhinos (NPL)","Pokhara Avengers (NPL)",Loss,"Chitwan Rhinos (NPL)",Bat
Ravi Bopara,Chitwan Rhinos (NPL),All-rounder,1,2,0,0,50.00,Yes,c Kushal Bhurtel b Bipin Khatri,0,0,0,0,0,1,0,0,27,2025-12-06,"Tribhuvan University International Cricket Ground, Kirtipur","Chitwan Rhinos (NPL)","Pokhara Avengers (NPL)",Loss,"Chitwan Rhinos (NPL)",Bat
Saif Zaib,Chitwan Rhinos (NPL),All-rounder,17,18,0,1,94.44,Yes,c Jason Roy b Rohit Chand,4,22,1,0,5.50,1,0,0,27,2025-12-06,"Tribhuvan University International Cricket Ground, Kirtipur","Chitwan Rhinos (NPL)","Pokhara Avengers (NPL)",Loss,"Chitwan Rhinos (NPL)",Bat
Dev Khanal,Chitwan Rhinos (NPL),Batsman,34,41,1,1,82.92,Yes,c Jason Roy b Kiran Thagunna,0,0,0,0,0,0,0,0,27,2025-12-06,"Tribhuvan University International Cricket Ground, Kirtipur","Chitwan Rhinos (NPL)","Pokhara Avengers (NPL)",Loss,"Chitwan Rhinos (NPL)",Bat
Kushal Malla,Chitwan Rhinos (NPL),All-rounder,23,23,0,0,100.00,Yes,c sub (Abhisekh Tiwari) b Dhananjaya Lakshan,0,0,0,0,0,0,0,0,27,2025-12-06,"Tribhuvan University International Cricket Ground, Kirtipur","Chitwan Rhinos (NPL)","Pokhara Avengers (NPL)",Loss,"Chitwan Rhinos (NPL)",Bat
Alpesh Ramjani,Chitwan Rhinos (NPL),All-rounder,33,22,1,2,150.00,No,not out,4,21,0,0,5.25,1,0,0,27,2025-12-06,"Tribhuvan University International Cricket Ground, Kirtipur","Chitwan Rhinos (NPL)","Pokhara Avengers (NPL)",Loss,"Chitwan Rhinos (NPL)",Bat
Kamal Airee,Chitwan Rhinos (NPL),Bowler,2,3,0,0,66.66,No,not out,2,15,0,0,7.50,0,0,0,27,2025-12-06,"Tribhuvan University International Cricket Ground, Kirtipur","Chitwan Rhinos (NPL)","Pokhara Avengers (NPL)",Loss,"Chitwan Rhinos (NPL)",Bat
Gautam KC,Chitwan Rhinos (NPL),Bowler,0,0,0,0,0,No,did not bat,2,28,0,0,14.00,0,0,0,27,2025-12-06,"Tribhuvan University International Cricket Ground, Kirtipur","Chitwan Rhinos (NPL)","Pokhara Avengers (NPL)",Loss,"Chitwan Rhinos (NPL)",Bat
Rijan Dhakal,Chitwan Rhinos (NPL),Bowler,0,0,0,0,0,No,did not bat,3.4,17,1,0,4.63,1,1,0,27,2025-12-06,"Tribhuvan University International Cricket Ground, Kirtipur","Chitwan Rhinos (NPL)","Pokhara Avengers (NPL)",Loss,"Chitwan Rhinos (NPL)",Bat
