player_name,team,player_role,runs_scored,balls_faced,fours,sixes,strike_rate,out_status,dismissal_type,overs_bowled,runs_conceded,wickets_taken,maidens,economy_rate,catches,run_outs,stumpings,match_id,match_date,venue,batting_team,opposition,match_result,toss_winner,toss_decision
Binod Bhandari,Sudur Paschim Royals (NPL),Wicket-keeper,15,13,3,0,115.38,Yes,b Basir Ahamad,0,0,0,0,0,1,1,0,26,2025-12-06,"Tribhuvan University International Cricket Ground, Kirtipur","Sudur Paschim Royals (NPL)","Biratnagar Kings (NPL)",Loss,"Biratnagar Kings (NPL)",Bat
Josh Brown,Sudur Paschim Royals (NPL),Batsman,24,25,1,2,96.00,Yes,c Sam Heazlett b Sandeep Lamichhane,0,0,0,0,0,1,0,0,26,2025-12-06,"Tribhuvan University International Cricket Ground, Kirtipur","Sudur Paschim Royals (NPL)","Biratnagar Kings (NPL)",Loss,"Biratnagar Kings (NPL)",Bat
Ishan Pandey,Sudur Paschim Royals (NPL),Batsman,38,35,2,2,108.57,Yes,c Marchant de Lange b Sandeep Lamichhane,0,0,0,0,0,1,0,0,26,2025-12-06,"Tribhuvan University International Cricket Ground, Kirtipur","Sudur Paschim Royals (NPL)","Biratnagar Kings (NPL)",Loss,"Biratnagar Kings (NPL)",Bat
Aarif Sheikh,Sudur Paschim Royals (NPL),Batsman,45,32,1,3,140.62,No,not out,0,0,0,0,0,1,0,0,26,2025-12-06,"Tribhuvan University International Cricket Ground, Kirtipur","Sudur Paschim Royals (NPL)","Biratnagar Kings (NPL)",Loss,"Biratnagar Kings (NPL)",Bat
Harmeet Singh,Sudur Paschim Royals (NPL),All-rounder,0,1,0,0,0.00,Yes,c Faf du Plessis b Sandeep Lamichhane,3,27,1,0,9.00,1,0,0,26,2025-12-06,"Tribhuvan University International Cricket Ground, Kirtipur","Sudur Paschim Royals (NPL)","Biratnagar Kings (NPL)",Loss,"Biratnagar Kings (NPL)",Bat
Dipendra Singh Airee,Sudur Paschim Royals (NPL),All-rounder,19,11,0,2,172.72,Yes,c Sam Heazlett b Pratis GC,2,38,0,0,19.00,0,1,0,26,2025-12-06,"Tribhuvan University International Cricket Ground, Kirtipur","Sudur Paschim Royals (NPL)","Biratnagar Kings (NPL)",Loss,"Biratnagar Kings (NPL)",Bat
Dipak Bohara,Sudur Paschim Royals (NPL),Bowler,3,3,0,0,100.00,Yes,b Pratis GC,0,0,0,0,0,0,0,0,26,2025-12-06,"Tribhuvan University International Cricket Ground, Kirtipur","Sudur Paschim Royals (NPL)","Biratnagar Kings (NPL)",Loss,"Biratnagar Kings (NPL)",Bat
Dhruv Parashar,Sudur Paschim Royals (NPL),All-rounder,0,0,0,0,0,No,did not bat,2,17,0,0,8.50,0,0,0,26,2025-12-06,"Tribhuvan University International Cricket Ground, Kirtipur","Sudur Paschim Royals (NPL)","Biratnagar Kings (NPL)",Loss,"Biratnagar Kings (NPL)",Bat
Puneet Mehra,Sudur Paschim Royals (NPL),All-rounder,0,0,0,0,0,No,did not bat,1,9,0,0,9.00,0,1,0,26,2025-12-06,"Tribhuvan University International Cricket Ground, Kirtipur","Sudur Paschim Royals (NPL)","Biratnagar Kings (NPL)",Loss,"Biratnagar Kings (NPL)",Bat
Hikmat Mahara,Sudur Paschim Royals (NPL),Bowler,0,0,0,0,0,No,did not bat,1,20,0,0,20.00,0,0,0,26,2025-12-06,"Tribhuvan University International Cricket Ground, Kirtipur","Sudur Paschim Royals (NPL)","Biratnagar Kings (NPL)",Loss,"Biratnagar Kings (NPL)",Bat
