player_name,team,player_role,runs_scored,balls_faced,fours,sixes,strike_rate,out_status,dismissal_type,overs_bowled,runs_conceded,wickets_taken,maidens,economy_rate,catches,run_outs,stumpings,match_id,match_date,venue,batting_team,opposition,match_result,toss_winner,toss_decision
Lahiru Milantha,Janakpur Bolts (NPL),Wicket-keeper,12,14,2,0,85.71,Yes,lbw b Airee,0,0,0,0,0,0,0,0,30,2024-12-18,"Tribhuvan University International Cricket Ground, Kirtipur","Janakpur Bolts (NPL)","Sudur Paschim Royals (NPL)",Loss,"Janakpur Bolts (NPL)",Bat
Aasif Sheikh,Janakpur Bolts (NPL),Batsman,11,10,2,0,110.00,Yes,b Zaib,0,0,0,0,0,0,0,0,30,2024-12-18,"Tribhuvan University International Cricket Ground, Kirtipur","Janakpur Bolts (NPL)","Sudur Paschim Royals (NPL)",Loss,"Janakpur Bolts (NPL)",Bat
Shubh Kansakar,Janakpur Bolts (NPL),Batsman,26,24,4,0,108.33,Yes,run out (Airee),0,0,0,0,0,0,1,0,30,2024-12-18,"Tribhuvan University International Cricket Ground, Kirtipur","Janakpur Bolts (NPL)","Sudur Paschim Royals (NPL)",Loss,"Janakpur Bolts (NPL)",Bat
Harsh Thaker,Janakpur Bolts (NPL),All-rounder,12,14,1,0,85.71,Yes,c McMullen b Zaib,2,11,0,0,5.50,0,0,0,30,2024-12-18,"Tribhuvan University International Cricket Ground, Kirtipur","Janakpur Bolts (NPL)","Sudur Paschim Royals (NPL)",Loss,"Janakpur Bolts (NPL)",Bat
Arniko Yadav,Janakpur Bolts (NPL),All-rounder,11,20,0,0,55.00,Yes,lbw b Airee,0,0,0,0,0,0,0,0,30,2024-12-18,"Tribhuvan University International Cricket Ground, Kirtipur","Janakpur Bolts (NPL)","Sudur Paschim Royals (NPL)",Loss,"Janakpur Bolts (NPL)",Bat
James Neesham,Janakpur Bolts (NPL),All-rounder,45,23,3,3,195.65,Yes,b Kuggeleijn,3,25,0,0,8.33,2,0,0,30,2024-12-18,"Tribhuvan University International Cricket Ground, Kirtipur","Janakpur Bolts (NPL)","Sudur Paschim Royals (NPL)",Loss,"Janakpur Bolts (NPL)",Bat
Mohammad Mohsin,Janakpur Bolts (NPL),All-rounder,3,6,0,0,50.00,Yes,b Airee,3.3,33,0,0,9.42,0,0,0,30,2024-12-18,"Tribhuvan University International Cricket Ground, Kirtipur","Janakpur Bolts (NPL)","Sudur Paschim Royals (NPL)",Loss,"Janakpur Bolts (NPL)",Bat
Aakash Tripathi,Janakpur Bolts (NPL),Batsman,4,4,0,0,100.00,No,not out,0,0,0,0,0,0,0,0,30,2024-12-18,"Tribhuvan University International Cricket Ground, Kirtipur","Janakpur Bolts (NPL)","Sudur Paschim Royals (NPL)",Loss,"Janakpur Bolts (NPL)",Bat
Sher Malla,Janakpur Bolts (NPL),Bowler,3,3,0,0,100.00,Yes,c McMullen b Bohara,3,20,0,0,6.66,0,0,0,30,2024-12-18,"Tribhuvan University International Cricket Ground, Kirtipur","Janakpur Bolts (NPL)","Sudur Paschim Royals (NPL)",Loss,"Janakpur Bolts (NPL)",Bat
Kishor Mahato,Janakpur Bolts (NPL),Bowler,2,2,0,0,100.00,Yes,run out (Bohara/†Bhandari),3,14,1,0,4.66,0,0,0,30,2024-12-18,"Tribhuvan University International Cricket Ground, Kirtipur","Janakpur Bolts (NPL)","Sudur Paschim Royals (NPL)",Loss,"Janakpur Bolts (NPL)",Bat
Lalit Rajbanshi,Janakpur Bolts (NPL),Bowler,0,0,0,0,0,No,did not bat,4,37,1,0,9.25,0,0,0,30,2024-12-18,"Tribhuvan University International Cricket Ground, Kirtipur","Janakpur Bolts (NPL)","Sudur Paschim Royals (NPL)",Loss,"Janakpur Bolts (NPL)",Bat
Saif Zaib,Sudur Paschim Royals (NPL),All-rounder,32,21,3,2,152.38,Yes,c Neesham b Mahato,3,20,2,0,6.66,0,0,0,30,2024-12-18,"Tribhuvan University International Cricket Ground, Kirtipur","Sudur Paschim Royals (NPL)","Janakpur Bolts (NPL)",Win,"Janakpur Bolts (NPL)",Bat
Binod Bhandari,Sudur Paschim Royals (NPL),Wicket-keeper,58,55,3,3,105.45,No,not out,0,0,0,0,0,1,1,0,30,2024-12-18,"Tribhuvan University International Cricket Ground, Kirtipur","Sudur Paschim Royals (NPL)","Janakpur Bolts (NPL)",Win,"Janakpur Bolts (NPL)",Bat
Brandon McMullen,Sudur Paschim Royals (NPL),All-rounder,25,19,1,1,131.57,Yes,c Neesham b Rajbanshi,1,9,0,0,9.00,2,0,0,30,2024-12-18,"Tribhuvan University International Cricket Ground, Kirtipur","Sudur Paschim Royals (NPL)","Janakpur Bolts (NPL)",Win,"Janakpur Bolts (NPL)",Bat
Dipendra Singh Airee,Sudur Paschim Royals (NPL),All-rounder,20,16,1,1,125.00,No,not out,4,29,3,0,7.25,1,1,0,30,2024-12-18,"Tribhuvan University International Cricket Ground, Kirtipur","Sudur Paschim Royals (NPL)","Janakpur Bolts (NPL)",Win,"Janakpur Bolts (NPL)",Bat
Ishan Pandey,Sudur Paschim Royals (NPL),Batsman,0,0,0,0,0,No,did not bat,1,10,0,0,10.00,0,0,0,30,2024-12-18,"Tribhuvan University International Cricket Ground, Kirtipur","Sudur Paschim Royals (NPL)","Janakpur Bolts (NPL)",Win,"Janakpur Bolts (NPL)",Bat
Aarif Sheikh,Sudur Paschim Royals (NPL),Batsman,0,0,0,0,0,No,did not bat,0,0,0,0,0,0,0,0,30,2024-12-18,"Tribhuvan University International Cricket Ground, Kirtipur","Sudur Paschim Royals (NPL)","Janakpur Bolts (NPL)",Win,"Janakpur Bolts (NPL)",Bat
Harmeet Singh,Sudur Paschim Royals (NPL),All-rounder,0,0,0,0,0,No,did not bat,4,13,0,0,3.25,0,0,0,30,2024-12-18,"Tribhuvan University International Cricket Ground, Kirtipur","Sudur Paschim Royals (NPL)","Janakpur Bolts (NPL)",Win,"Janakpur Bolts (NPL)",Bat
Scott Kuggeleijn,Sudur Paschim Royals (NPL),All-rounder,0,0,0,0,0,No,did not bat,4,32,1,0,8.00,0,0,0,30,2024-12-18,"Tribhuvan University International Cricket Ground, Kirtipur","Sudur Paschim Royals (NPL)","Janakpur Bolts (NPL)",Win,"Janakpur Bolts (NPL)",Bat
