player_name,team,player_role,runs_scored,balls_faced,fours,sixes,strike_rate,out_status,dismissal_type,overs_bowled,runs_conceded,wickets_taken,maidens,economy_rate,catches,run_outs,stumpings,match_id,match_date,venue,batting_team,opposition,match_result,toss_winner,toss_decision
Stephen Eskinazi,Kathmandu Gurkhas (NPL),Wicket-keeper,13,16,2,0,81.25,Yes,b Gautam,0,0,0,0,0,0,0,0,19,2024-12-11,"Tribhuvan University International Cricket Ground, Kirtipur","Kathmandu Gurkhas (NPL)","Lumbini Lions (NPL)",Win,"Kathmandu Gurkhas (NPL)",Bat
Michael Levitt,Kathmandu Gurkhas (NPL),Batsman,0,2,0,0,0.00,Yes,b Simmonds,0,0,0,0,0,1,0,0,19,2024-12-11,"Tribhuvan University International Cricket Ground, Kirtipur","Kathmandu Gurkhas (NPL)","Lumbini Lions (NPL)",Win,"Kathmandu Gurkhas (NPL)",Bat
Bhim Sharki,Kathmandu Gurkhas (NPL),All-rounder,31,40,1,0,77.50,Yes,st †Saud b Gautam,1,8,0,0,8.00,1,0,0,19,2024-12-11,"Tribhuvan University International Cricket Ground, Kirtipur","Kathmandu Gurkhas (NPL)","Lumbini Lions (NPL)",Win,"Kathmandu Gurkhas (NPL)",Bat
Gerhard Erasmus,Kathmandu Gurkhas (NPL),All-rounder,1,4,0,0,25.00,Yes,c Jora b Saad Bin Zafar,4,19,2,0,4.75,0,0,0,19,2024-12-11,"Tribhuvan University International Cricket Ground, Kirtipur","Kathmandu Gurkhas (NPL)","Lumbini Lions (NPL)",Win,"Kathmandu Gurkhas (NPL)",Bat
Sumit Maharjan,Kathmandu Gurkhas (NPL),Batsman,4,4,1,0,100.00,Yes,lbw b Saad Bin Zafar,0,0,0,0,0,0,0,0,19,2024-12-11,"Tribhuvan University International Cricket Ground, Kirtipur","Kathmandu Gurkhas (NPL)","Lumbini Lions (NPL)",Win,"Kathmandu Gurkhas (NPL)",Bat
Dan Douthwaite,Kathmandu Gurkhas (NPL),All-rounder,21,24,0,2,87.50,Yes,c Paudel b Yadav,0,0,0,0,0,0,0,0,19,2024-12-11,"Tribhuvan University International Cricket Ground, Kirtipur","Kathmandu Gurkhas (NPL)","Lumbini Lions (NPL)",Win,"Kathmandu Gurkhas (NPL)",Bat
Rashid Khan,Kathmandu Gurkhas (NPL),All-rounder,1,2,0,0,50.00,Yes,run out (Paudel/†Saud),2.2,22,1,0,9.42,0,1,0,19,2024-12-11,"Tribhuvan University International Cricket Ground, Kirtipur","Kathmandu Gurkhas (NPL)","Lumbini Lions (NPL)",Win,"Kathmandu Gurkhas (NPL)",Bat
Karan KC,Kathmandu Gurkhas (NPL),All-rounder,1,5,0,0,20.00,Yes,c Jora b Surya Tamang,4,16,4,0,4.00,0,0,0,19,2024-12-11,"Tribhuvan University International Cricket Ground, Kirtipur","Kathmandu Gurkhas (NPL)","Lumbini Lions (NPL)",Win,"Kathmandu Gurkhas (NPL)",Bat
Pratik Shrestha,Kathmandu Gurkhas (NPL),Batsman,20,14,0,2,142.85,Yes,b Simmonds,0,0,0,0,0,0,0,0,19,2024-12-11,"Tribhuvan University International Cricket Ground, Kirtipur","Kathmandu Gurkhas (NPL)","Lumbini Lions (NPL)",Win,"Kathmandu Gurkhas (NPL)",Bat
Shahab Alam,Kathmandu Gurkhas (NPL),Bowler,8,5,0,1,160.00,Yes,c Jora b Saad Bin Zafar,4,10,0,0,2.50,2,0,0,19,2024-12-11,"Tribhuvan University International Cricket Ground, Kirtipur","Kathmandu Gurkhas (NPL)","Lumbini Lions (NPL)",Win,"Kathmandu Gurkhas (NPL)",Bat
