player_name,team,player_role,runs_scored,balls_faced,fours,sixes,strike_rate,out_status,dismissal_type,overs_bowled,runs_conceded,wickets_taken,maidens,economy_rate,catches,run_outs,stumpings,match_id,match_date,venue,batting_team,opposition,match_result,toss_winner,toss_decision
Saif Zaib,Sudur Paschim Royals (NPL),All-rounder,9,8,1,0,112.50,Yes,b Reifer,1,7,1,0,7.00,0,0,0,27,2024-12-15,"Tribhuvan University International Cricket Ground, Kirtipur","Sudur Paschim Royals (NPL)","Pokhara Avengers (NPL)",Win,"Pokhara Avengers (NPL)",Field
Binod Bhandari,Sudur Paschim Royals (NPL),Wicket-keeper,14,16,1,1,87.50,Yes,c Bipin Khatri b Bhurtel,0,0,0,0,0,0,1,1,27,2024-12-15,"Tribhuvan University International Cricket Ground, Kirtipur","Sudur Paschim Royals (NPL)","Pokhara Avengers (NPL)",Win,"Pokhara Avengers (NPL)",Field
Brandon McMullen,Sudur Paschim Royals (NPL),All-rounder,23,16,1,2,143.75,Yes,c Dhakal b Bhurtel,1,21,0,0,21.00,2,0,0,27,2024-12-15,"Tribhuvan University International Cricket Ground, Kirtipur","Sudur Paschim Royals (NPL)","Pokhara Avengers (NPL)",Win,"Pokhara Avengers (NPL)",Field
Harmeet Singh,Sudur Paschim Royals (NPL),All-rounder,13,10,0,1,130.00,Yes,c Aryal b Leask,4,26,3,0,6.50,0,0,0,27,2024-12-15,"Tribhuvan University International Cricket Ground, Kirtipur","Sudur Paschim Royals (NPL)","Pokhara Avengers (NPL)",Win,"Pokhara Avengers (NPL)",Field
Aarif Sheikh,Sudur Paschim Royals (NPL),Batsman,42,38,2,1,110.52,No,not out,0,0,0,0,0,1,0,0,27,2024-12-15,"Tribhuvan University International Cricket Ground, Kirtipur","Sudur Paschim Royals (NPL)","Pokhara Avengers (NPL)",Win,"Pokhara Avengers (NPL)",Field
Dipendra Singh Airee,Sudur Paschim Royals (NPL),All-rounder,20,16,0,1,125.00,Yes,lbw b Dhakal,4,18,0,0,4.50,0,0,0,27,2024-12-15,"Tribhuvan University International Cricket Ground, Kirtipur","Sudur Paschim Royals (NPL)","Pokhara Avengers (NPL)",Win,"Pokhara Avengers (NPL)",Field
Ishan Pandey,Sudur Paschim Royals (NPL),Batsman,10,11,1,0,90.90,Yes,retired out,0,0,0,0,0,0,0,0,27,2024-12-15,"Tribhuvan University International Cricket Ground, Kirtipur","Sudur Paschim Royals (NPL)","Pokhara Avengers (NPL)",Win,"Pokhara Avengers (NPL)",Field
Scott Kuggeleijn,Sudur Paschim Royals (NPL),All-rounder,2,3,0,0,66.66,Yes,run out (†Gous),3.4,18,5,1,4.90,0,0,0,27,2024-12-15,"Tribhuvan University International Cricket Ground, Kirtipur","Sudur Paschim Royals (NPL)","Pokhara Avengers (NPL)",Win,"Pokhara Avengers (NPL)",Field
Naresh Budayair,Sudur Paschim Royals (NPL),Batsman,6,3,1,0,200.00,No,not out,0,0,0,0,0,2,0,0,27,2024-12-15,"Tribhuvan University International Cricket Ground, Kirtipur","Sudur Paschim Royals (NPL)","Pokhara Avengers (NPL)",Win,"Pokhara Avengers (NPL)",Field
Naren Saud,Sudur Paschim Royals (NPL),All-rounder,0,0,0,0,0,No,did not bat,3,20,0,0,6.66,2,1,0,27,2024-12-15,"Tribhuvan University International Cricket Ground, Kirtipur","Sudur Paschim Royals (NPL)","Pokhara Avengers (NPL)",Win,"Pokhara Avengers (NPL)",Field
