player_name,team,player_role,runs_scored,balls_faced,fours,sixes,strike_rate,out_status,dismissal_type,overs_bowled,runs_conceded,wickets_taken,maidens,economy_rate,catches,run_outs,stumpings,match_id,match_date,venue,batting_team,opposition,match_result,toss_winner,toss_decision
Babar Hayat,Karnali Yaks (NPL),Batsman,20,22,1,1,90.90,Yes,c Saad Bin Zafar b Bhandari,0,0,0,0,0,1,0,0,22,2024-12-13,"Tribhuvan University International Cricket Ground, Kirtipur","Karnali Yaks (NPL)","Lumbini Lions (NPL)",Win,"Lumbini Lions (NPL)",Field
Dev Khanal,Karnali Yaks (NPL),Batsman,3,12,0,0,25.00,Yes,c Simmonds b Saad Bin Zafar,0,0,0,0,0,0,0,0,22,2024-12-13,"Tribhuvan University International Cricket Ground, Kirtipur","Karnali Yaks (NPL)","Lumbini Lions (NPL)",Win,"Lumbini Lions (NPL)",Field
Chadwick Walton,Karnali Yaks (NPL),Wicket-keeper,13,15,0,1,86.66,Yes,c Gautam b Bhandari,0,0,0,0,0,0,0,0,22,2024-12-13,"Tribhuvan University International Cricket Ground, Kirtipur","Karnali Yaks (NPL)","Lumbini Lions (NPL)",Win,"Lumbini Lions (NPL)",Field
Gulsan Jha,Karnali Yaks (NPL),All-rounder,8,11,1,0,72.72,Yes,c †Saud b Paudel,0,0,0,0,0,1,0,0,22,2024-12-13,"Tribhuvan University International Cricket Ground, Kirtipur","Karnali Yaks (NPL)","Lumbini Lions (NPL)",Win,"Lumbini Lions (NPL)",Field
William Bosisto,Karnali Yaks (NPL),All-rounder,44,30,3,3,146.66,Yes,lbw b Aagri,4,23,1,0,5.75,1,0,0,22,2024-12-13,"Tribhuvan University International Cricket Ground, Kirtipur","Karnali Yaks (NPL)","Lumbini Lions (NPL)",Win,"Lumbini Lions (NPL)",Field
Arjun Gharti,Karnali Yaks (NPL),All-rounder,25,25,2,1,100.00,Yes,c & b Simmonds,0,0,0,0,0,0,0,0,22,2024-12-13,"Tribhuvan University International Cricket Ground, Kirtipur","Karnali Yaks (NPL)","Lumbini Lions (NPL)",Win,"Lumbini Lions (NPL)",Field
Sompal Kami,Karnali Yaks (NPL),All-rounder,7,3,0,1,233.33,Yes,c Saad Bin Zafar b Aagri,4,24,1,1,6.00,0,0,0,22,2024-12-13,"Tribhuvan University International Cricket Ground, Kirtipur","Karnali Yaks (NPL)","Lumbini Lions (NPL)",Win,"Lumbini Lions (NPL)",Field
Zeeshan Maqsood,Karnali Yaks (NPL),All-rounder,1,1,0,0,100.00,No,not out,3,12,2,0,4.00,0,0,0,22,2024-12-13,"Tribhuvan University International Cricket Ground, Kirtipur","Karnali Yaks (NPL)","Lumbini Lions (NPL)",Win,"Lumbini Lions (NPL)",Field
Nandan Yadav,Karnali Yaks (NPL),Bowler,0,1,0,0,0.00,Yes,lbw b Aagri,4,26,1,0,6.50,1,1,0,22,2024-12-13,"Tribhuvan University International Cricket Ground, Kirtipur","Karnali Yaks (NPL)","Lumbini Lions (NPL)",Win,"Lumbini Lions (NPL)",Field
Unish Thakuri,Karnali Yaks (NPL),Bowler,0,0,0,0,0,No,did not bat,1,13,0,0,13.00,0,0,0,22,2024-12-13,"Tribhuvan University International Cricket Ground, Kirtipur","Karnali Yaks (NPL)","Lumbini Lions (NPL)",Win,"Lumbini Lions (NPL)",Field
Bipin Sharma,Karnali Yaks (NPL),Bowler,0,0,0,0,0,No,did not bat,4,25,1,1,6.25,1,0,0,22,2024-12-13,"Tribhuvan University International Cricket Ground, Kirtipur","Karnali Yaks (NPL)","Lumbini Lions (NPL)",Win,"Lumbini Lions (NPL)",Field
Ashutosh Ghiraiya,Lumbini Lions (NPL),Batsman,16,21,2,0,76.19,Yes,c Bosisto b Zeeshan Maqsood,0,0,0,0,0,0,0,0,22,2024-12-13,"Tribhuvan University International Cricket Ground, Kirtipur","Lumbini Lions (NPL)","Karnali Yaks (NPL)",Loss,"Lumbini Lions (NPL)",Field
Arjun Saud,Lumbini Lions (NPL),Wicket-keeper,13,6,3,0,216.66,Yes,c Gulsan Jha b Sompal Kami,0,0,0,0,0,1,0,0,22,2024-12-13,"Tribhuvan University International Cricket Ground, Kirtipur","Lumbini Lions (NPL)","Karnali Yaks (NPL)",Loss,"Lumbini Lions (NPL)",Field
Rohit Paudel,Lumbini Lions (NPL),All-rounder,10,8,2,0,125.00,Yes,lbw b Zeeshan Maqsood,2,6,1,0,3.00,0,0,0,22,2024-12-13,"Tribhuvan University International Cricket Ground, Kirtipur","Lumbini Lions (NPL)","Karnali Yaks (NPL)",Loss,"Lumbini Lions (NPL)",Field
Tom Moores,Lumbini Lions (NPL),Batsman,36,35,4,1,102.85,Yes,b Yadav,0,0,0,0,0,0,0,0,22,2024-12-13,"Tribhuvan University International Cricket Ground, Kirtipur","Lumbini Lions (NPL)","Karnali Yaks (NPL)",Loss,"Lumbini Lions (NPL)",Field
Sundeep Jora,Lumbini Lions (NPL),All-rounder,24,21,0,2,114.28,Yes,c sub (D Dumre) b Bosisto,0,0,0,0,0,0,0,0,22,2024-12-13,"Tribhuvan University International Cricket Ground, Kirtipur","Lumbini Lions (NPL)","Karnali Yaks (NPL)",Loss,"Lumbini Lions (NPL)",Field
Ben Cutting,Lumbini Lions (NPL),All-rounder,1,6,0,0,16.66,Yes,c Babar Hayat b Sharma,0,0,0,0,0,0,0,0,22,2024-12-13,"Tribhuvan University International Cricket Ground, Kirtipur","Lumbini Lions (NPL)","Karnali Yaks (NPL)",Loss,"Lumbini Lions (NPL)",Field
Saad Bin Zafar,Lumbini Lions (NPL),All-rounder,16,11,1,0,145.45,Yes,run out (Yadav/Sompal Kami),4,29,1,0,7.25,2,0,0,22,2024-12-13,"Tribhuvan University International Cricket Ground, Kirtipur","Lumbini Lions (NPL)","Karnali Yaks (NPL)",Loss,"Lumbini Lions (NPL)",Field
Tilak Bhandari,Lumbini Lions (NPL),Bowler,3,5,0,0,60.00,No,not out,4,23,2,0,5.75,2,0,0,22,2024-12-13,"Tribhuvan University International Cricket Ground, Kirtipur","Lumbini Lions (NPL)","Karnali Yaks (NPL)",Loss,"Lumbini Lions (NPL)",Field
Ramon Simmonds,Lumbini Lions (NPL),Bowler,4,7,0,0,57.14,No,not out,4,40,1,0,10.00,1,0,0,22,2024-12-13,"Tribhuvan University International Cricket Ground, Kirtipur","Lumbini Lions (NPL)","Karnali Yaks (NPL)",Loss,"Lumbini Lions (NPL)",Field
