player_name,team,player_role,runs_scored,balls_faced,fours,sixes,strike_rate,out_status,dismissal_type,overs_bowled,runs_conceded,wickets_taken,maidens,economy_rate,catches,run_outs,stumpings,match_id,match_date,venue,batting_team,opposition,match_result,toss_winner,toss_decision
Ashutosh Ghiraiya,Lumbini Lions (NPL),Batsman,0,3,0,0,0.00,Yes,lbw b Bipin Khatri,0,0,0,0,0,0,0,0,11,2024-12-06,"Tribhuvan University International Cricket Ground, Kirtipur","Lumbini Lions (NPL)","Pokhara Avengers (NPL)",Loss,"Lumbini Lions (NPL)",Bat
Unmukt Chand,Lumbini Lions (NPL),Wicket-keeper,0,4,0,0,0.00,Yes,c Reifer b Bipin Khatri,0,0,0,0,0,0,0,0,11,2024-12-06,"Tribhuvan University International Cricket Ground, Kirtipur","Lumbini Lions (NPL)","Pokhara Avengers (NPL)",Loss,"Lumbini Lions (NPL)",Bat
Rohit Paudel,Lumbini Lions (NPL),All-rounder,95,59,10,4,161.01,Yes,run out (†Gous/Leask),3,23,0,0,7.66,0,1,0,11,2024-12-06,"Tribhuvan University International Cricket Ground, Kirtipur","Lumbini Lions (NPL)","Pokhara Avengers (NPL)",Loss,"Lumbini Lions (NPL)",Bat
Sundeep Jora,Lumbini Lions (NPL),Batsman,18,15,2,1,120.00,Yes,lbw b Critchley,0,0,0,0,0,0,0,0,11,2024-12-06,"Tribhuvan University International Cricket Ground, Kirtipur","Lumbini Lions (NPL)","Pokhara Avengers (NPL)",Loss,"Lumbini Lions (NPL)",Bat
Tom Moores,Lumbini Lions (NPL),Batsman,45,38,2,2,118.42,Yes,run out (†Gous),0,0,0,0,0,0,1,0,11,2024-12-06,"Tribhuvan University International Cricket Ground, Kirtipur","Lumbini Lions (NPL)","Pokhara Avengers (NPL)",Loss,"Lumbini Lions (NPL)",Bat
Bibek Yadav,Lumbini Lions (NPL),All-rounder,2,1,0,0,200.00,No,not out,1,13,0,0,13.00,0,0,0,11,2024-12-06,"Tribhuvan University International Cricket Ground, Kirtipur","Lumbini Lions (NPL)","Pokhara Avengers (NPL)",Loss,"Lumbini Lions (NPL)",Bat
Dinesh Adhikari,Lumbini Lions (NPL),Bowler,0,0,0,0,0,No,did not bat,1,20,0,0,20.00,0,0,0,11,2024-12-06,"Tribhuvan University International Cricket Ground, Kirtipur","Lumbini Lions (NPL)","Pokhara Avengers (NPL)",Loss,"Lumbini Lions (NPL)",Bat
Saad Bin Zafar,Lumbini Lions (NPL),All-rounder,0,0,0,0,0,No,did not bat,3,26,0,0,8.66,0,0,0,11,2024-12-06,"Tribhuvan University International Cricket Ground, Kirtipur","Lumbini Lions (NPL)","Pokhara Avengers (NPL)",Loss,"Lumbini Lions (NPL)",Bat
Ramon Simmonds,Lumbini Lions (NPL),Bowler,0,0,0,0,0,No,did not bat,2,20,0,0,10.00,0,0,0,11,2024-12-06,"Tribhuvan University International Cricket Ground, Kirtipur","Lumbini Lions (NPL)","Pokhara Avengers (NPL)",Loss,"Lumbini Lions (NPL)",Bat
Durgesh Gupta,Lumbini Lions (NPL),Bowler,0,0,0,0,0,No,did not bat,3,41,0,0,13.66,0,0,0,11,2024-12-06,"Tribhuvan University International Cricket Ground, Kirtipur","Lumbini Lions (NPL)","Pokhara Avengers (NPL)",Loss,"Lumbini Lions (NPL)",Bat
Surya Tamang,Lumbini Lions (NPL),Bowler,0,0,0,0,0,No,did not bat,3.5,30,0,0,7.82,0,0,0,11,2024-12-06,"Tribhuvan University International Cricket Ground, Kirtipur","Lumbini Lions (NPL)","Pokhara Avengers (NPL)",Loss,"Lumbini Lions (NPL)",Bat
Dinesh Kharel,Pokhara Avengers (NPL),Batsman,61,46,4,4,132.60,No,not out,0,0,0,0,0,0,0,0,11,2024-12-06,"Tribhuvan University International Cricket Ground, Kirtipur","Pokhara Avengers (NPL)","Lumbini Lions (NPL)",Win,"Lumbini Lions (NPL)",Bat
Andries Gous,Pokhara Avengers (NPL),Wicket-keeper,104,55,12,5,189.09,No,not out,0,0,0,0,0,0,2,0,11,2024-12-06,"Tribhuvan University International Cricket Ground, Kirtipur","Pokhara Avengers (NPL)","Lumbini Lions (NPL)",Win,"Lumbini Lions (NPL)",Bat
Kushal Bhurtel,Pokhara Avengers (NPL),All-rounder,0,0,0,0,0,No,did not bat,0,0,0,0,0,0,0,0,11,2024-12-06,"Tribhuvan University International Cricket Ground, Kirtipur","Pokhara Avengers (NPL)","Lumbini Lions (NPL)",Win,"Lumbini Lions (NPL)",Bat
Dilip Nath,Pokhara Avengers (NPL),Wicket-keeper,0,0,0,0,0,No,did not bat,0,0,0,0,0,0,0,0,11,2024-12-06,"Tribhuvan University International Cricket Ground, Kirtipur","Pokhara Avengers (NPL)","Lumbini Lions (NPL)",Win,"Lumbini Lions (NPL)",Bat
Matt Critchley,Pokhara Avengers (NPL),All-rounder,0,0,0,0,0,No,did not bat,3,29,1,0,9.66,0,0,0,11,2024-12-06,"Tribhuvan University International Cricket Ground, Kirtipur","Pokhara Avengers (NPL)","Lumbini Lions (NPL)",Win,"Lumbini Lions (NPL)",Bat
Raymon Reifer,Pokhara Avengers (NPL),All-rounder,0,0,0,0,0,No,did not bat,4,30,0,0,7.50,1,0,0,11,2024-12-06,"Tribhuvan University International Cricket Ground, Kirtipur","Pokhara Avengers (NPL)","Lumbini Lions (NPL)",Win,"Lumbini Lions (NPL)",Bat
Michael Leask,Pokhara Avengers (NPL),All-rounder,0,0,0,0,0,No,did not bat,4,33,0,0,8.25,0,1,0,11,2024-12-06,"Tribhuvan University International Cricket Ground, Kirtipur","Pokhara Avengers (NPL)","Lumbini Lions (NPL)",Win,"Lumbini Lions (NPL)",Bat
