player_name,team,player_role,runs_scored,balls_faced,fours,sixes,strike_rate,out_status,dismissal_type,overs_bowled,runs_conceded,wickets_taken,maidens,economy_rate,catches,run_outs,stumpings,match_id,match_date,venue,batting_team,opposition,match_result,toss_winner,toss_decision
Saif Zaib,Sudur Paschim Royals (NPL),All-rounder,11,9,1,0,122.22,Yes,b Rashid Khan,2,15,1,0,7.50,0,0,0,9,2024-12-05,"Tribhuvan University International Cricket Ground, Kirtipur","Sudur Paschim Royals (NPL)","Kathmandu Gurkhas (NPL)",Win,"Kathmandu Gurkhas (NPL)",Bowl
Binod Bhandari,Sudur Paschim Royals (NPL),Wicket-keeper,35,28,2,2,125.00,Yes,lbw b Shahab Alam,0,0,0,0,0,0,0,0,9,2024-12-05,"Tribhuvan University International Cricket Ground, Kirtipur","Sudur Paschim Royals (NPL)","Kathmandu Gurkhas (NPL)",Win,"Kathmandu Gurkhas (NPL)",Bowl
Brandon McMullen,Sudur Paschim Royals (NPL),All-rounder,53,36,3,4,147.22,Yes,c Shahab Alam b Erasmus,4,29,1,0,7.25,1,0,0,9,2024-12-05,"Tribhuvan University International Cricket Ground, Kirtipur","Sudur Paschim Royals (NPL)","Kathmandu Gurkhas (NPL)",Win,"Kathmandu Gurkhas (NPL)",Bowl
Dipendra Singh Airee,Sudur Paschim Royals (NPL),All-rounder,43,25,3,2,172.00,Yes,c Levitt b Karan KC,0,0,0,0,0,1,1,0,9,2024-12-05,"Tribhuvan University International Cricket Ground, Kirtipur","Sudur Paschim Royals (NPL)","Kathmandu Gurkhas (NPL)",Win,"Kathmandu Gurkhas (NPL)",Bowl
Rohan Mustafa,Sudur Paschim Royals (NPL),All-rounder,4,7,0,0,57.14,Yes,b Rashid Khan,1,8,0,0,8.00,1,0,0,9,2024-12-05,"Tribhuvan University International Cricket Ground, Kirtipur","Sudur Paschim Royals (NPL)","Kathmandu Gurkhas (NPL)",Win,"Kathmandu Gurkhas (NPL)",Bowl
Aarif Sheikh,Sudur Paschim Royals (NPL),Batsman,3,3,0,0,100.00,Yes,run out (Sharki/Eskinazi),0,0,0,0,0,0,1,0,9,2024-12-05,"Tribhuvan University International Cricket Ground, Kirtipur","Sudur Paschim Royals (NPL)","Kathmandu Gurkhas (NPL)",Win,"Kathmandu Gurkhas (NPL)",Bowl
Scott Kuggeleijn,Sudur Paschim Royals (NPL),Bowler,7,7,0,0,100.00,No,not out,2,10,0,0,5.00,0,0,0,9,2024-12-05,"Tribhuvan University International Cricket Ground, Kirtipur","Sudur Paschim Royals (NPL)","Kathmandu Gurkhas (NPL)",Win,"Kathmandu Gurkhas (NPL)",Bowl
Ishan Pandey,Sudur Paschim Royals (NPL),Batsman,1,5,0,0,20.00,No,not out,0,0,0,0,0,2,0,0,9,2024-12-05,"Tribhuvan University International Cricket Ground, Kirtipur","Sudur Paschim Royals (NPL)","Kathmandu Gurkhas (NPL)",Win,"Kathmandu Gurkhas (NPL)",Bowl
Naren Saud,Sudur Paschim Royals (NPL),Bowler,0,0,0,0,0,No,did not bat,3.5,19,5,0,4.95,1,0,0,9,2024-12-05,"Tribhuvan University International Cricket Ground, Kirtipur","Sudur Paschim Royals (NPL)","Kathmandu Gurkhas (NPL)",Win,"Kathmandu Gurkhas (NPL)",Bowl
Abinash Bohara,Sudur Paschim Royals (NPL),Bowler,0,0,0,0,0,No,did not bat,3,12,2,1,4.00,0,0,0,9,2024-12-05,"Tribhuvan University International Cricket Ground, Kirtipur","Sudur Paschim Royals (NPL)","Kathmandu Gurkhas (NPL)",Win,"Kathmandu Gurkhas (NPL)",Bowl
Naresh Budayair,Sudur Paschim Royals (NPL),Batsman,0,0,0,0,0,No,did not bat,0,0,0,0,0,1,0,0,9,2024-12-05,"Tribhuvan University International Cricket Ground, Kirtipur","Sudur Paschim Royals (NPL)","Kathmandu Gurkhas (NPL)",Win,"Kathmandu Gurkhas (NPL)",Bowl
Michael Levitt,Kathmandu Gurkhas (NPL),Batsman,5,7,1,0,71.42,Yes,c Budayair b McMullen,3,32,0,0,10.66,1,0,0,9,2024-12-05,"Tribhuvan University International Cricket Ground, Kirtipur","Kathmandu Gurkhas (NPL)","Sudur Paschim Royals (NPL)",Loss,"Kathmandu Gurkhas (NPL)",Bowl
