player_name,team,player_role,runs_scored,balls_faced,fours,sixes,strike_rate,out_status,dismissal_type,overs_bowled,runs_conceded,wickets_taken,maidens,economy_rate,catches,run_outs,stumpings,match_id,match_date,venue,batting_team,opposition,match_result,toss_winner,toss_decision
Lokesh Bam,Biratnagar Kings (NPL),Batsman,0,2,0,0,0.00,Yes,b Dhakal,1,8,1,0,8.00,0,0,0,23,2024-12-13,"Tribhuvan University International Cricket Ground, Kirtipur","Biratnagar Kings (NPL)","Chitwan Rhinos (NPL)",Win,"Biratnagar Kings (NPL)",Bat
Martin Guptill,Biratnagar Kings (NPL),Batsman,45,35,1,4,128.57,Yes,b Kushal Malla,0,0,0,0,0,0,0,0,23,2024-12-13,"Tribhuvan University International Cricket Ground, Kirtipur","Biratnagar Kings (NPL)","Chitwan Rhinos (NPL)",Win,"Biratnagar Kings (NPL)",Bat
Dipak Bohara,Biratnagar Kings (NPL),Batsman,4,3,1,0,133.33,Yes,b Dhakal,0,0,0,0,0,0,0,0,23,2024-12-13,"Tribhuvan University International Cricket Ground, Kirtipur","Biratnagar Kings (NPL)","Chitwan Rhinos (NPL)",Win,"Biratnagar Kings (NPL)",Bat
Scott Edwards,Biratnagar Kings (NPL),Wicket-keeper,0,4,0,0,0.00,Yes,c Bopara b Sohail Tanvir,0,0,0,0,0,0,0,0,23,2024-12-13,"Tribhuvan University International Cricket Ground, Kirtipur","Biratnagar Kings (NPL)","Chitwan Rhinos (NPL)",Win,"Biratnagar Kings (NPL)",Bat
Nicholas Kirton,Biratnagar Kings (NPL),All-rounder,8,15,1,0,53.33,Yes,lbw b Basil Hameed,1,6,0,0,6.00,0,0,0,23,2024-12-13,"Tribhuvan University International Cricket Ground, Kirtipur","Biratnagar Kings (NPL)","Chitwan Rhinos (NPL)",Win,"Biratnagar Kings (NPL)",Bat
Basir Ahamad,Biratnagar Kings (NPL),All-rounder,68,44,4,4,154.54,No,not out,4,19,1,1,4.75,1,0,0,23,2024-12-13,"Tribhuvan University International Cricket Ground, Kirtipur","Biratnagar Kings (NPL)","Chitwan Rhinos (NPL)",Win,"Biratnagar Kings (NPL)",Bat
Rajesh Pulami,Biratnagar Kings (NPL),Batsman,33,20,1,3,165.00,No,not out,0,0,0,0,0,1,0,0,23,2024-12-13,"Tribhuvan University International Cricket Ground, Kirtipur","Biratnagar Kings (NPL)","Chitwan Rhinos (NPL)",Win,"Biratnagar Kings (NPL)",Bat
Chris Sole,Biratnagar Kings (NPL),Bowler,0,0,0,0,0,No,did not bat,4,22,1,0,5.50,2,0,0,23,2024-12-13,"Tribhuvan University International Cricket Ground, Kirtipur","Biratnagar Kings (NPL)","Chitwan Rhinos (NPL)",Win,"Biratnagar Kings (NPL)",Bat
Pratis GC,Biratnagar Kings (NPL),All-rounder,0,0,0,0,0,No,did not bat,2,19,0,0,9.50,1,0,0,23,2024-12-13,"Tribhuvan University International Cricket Ground, Kirtipur","Biratnagar Kings (NPL)","Chitwan Rhinos (NPL)",Win,"Biratnagar Kings (NPL)",Bat
Sandeep Lamichhane,Biratnagar Kings (NPL),Bowler,0,0,0,0,0,No,did not bat,4,28,2,0,7.00,0,0,0,23,2024-12-13,"Tribhuvan University International Cricket Ground, Kirtipur","Biratnagar Kings (NPL)","Chitwan Rhinos (NPL)",Win,"Biratnagar Kings (NPL)",Bat
Subash Bhandari,Biratnagar Kings (NPL),Bowler,0,0,0,0,0,No,did not bat,4,27,1,0,6.75,0,0,0,23,2024-12-13,"Tribhuvan University International Cricket Ground, Kirtipur","Biratnagar Kings (NPL)","Chitwan Rhinos (NPL)",Win,"Biratnagar Kings (NPL)",Bat
Santosh Karki,Chitwan Rhinos (NPL),Batsman,28,25,3,1,112.00,Yes,c Basir Ahamad b Lamichhane,0,0,0,0,0,0,0,0,23,2024-12-13,"Tribhuvan University International Cricket Ground, Kirtipur","Chitwan Rhinos (NPL)","Biratnagar Kings (NPL)",Loss,"Biratnagar Kings (NPL)",Bat
Hassan Eisakhil,Chitwan Rhinos (NPL),Batsman,5,6,1,0,83.33,Yes,lbw b Basir Ahamad,0,0,0,0,0,0,0,0,23,2024-12-13,"Tribhuvan University International Cricket Ground, Kirtipur","Chitwan Rhinos (NPL)","Biratnagar Kings (NPL)",Loss,"Biratnagar Kings (NPL)",Bat
Ravi Bopara,Chitwan Rhinos (NPL),All-rounder,20,24,2,0,83.33,Yes,b Subash Bhandari,0,0,0,0,0,1,0,0,23,2024-12-13,"Tribhuvan University International Cricket Ground, Kirtipur","Chitwan Rhinos (NPL)","Biratnagar Kings (NPL)",Loss,"Biratnagar Kings (NPL)",Bat
Kushal Malla,Chitwan Rhinos (NPL),All-rounder,25,25,2,1,100.00,Yes,c Pratis GC b Sole,4,28,1,0,7.00,0,0,0,23,2024-12-13,"Tribhuvan University International Cricket Ground, Kirtipur","Chitwan Rhinos (NPL)","Biratnagar Kings (NPL)",Loss,"Biratnagar Kings (NPL)",Bat
