Player,Team,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
N Joshi,BIK,2025-2025,7,6,1,48,25,9.6,47,102.12,-,-,-,3,2
D Adhikari,LUL,2025-2025,4,3,0,47,42,15.66,23,204.34,-,-,-,2,5
S Malla,LUL,2025-2025,10,6,3,46,27,15.33,30,153.33,-,-,-,1,4
A Kumal,POA,2025-2025,1,1,1,43,43*,-,53,81.13,-,-,-,2,1
TR Das,POA,2025-2025,6,4,0,39,29,9.75,46,84.78,-,-,1,2,1
A Mahata,JAB,2025-2025,5,4,1,35,18*,11.66,24,145.83,-,-,-,4,1
Rashid Khan,KAG,2025-2025,8,6,0,35,14,5.83,46,76.08,-,-,1,2,2
AR Ramjani,CHR,2025-2025,1,1,1,33,33*,-,22,150.0,-,-,-,1,2
Imran Sheikh,KAY,2025-2025,1,1,0,33,33,33.0,32,103.12,-,-,-,1,1
S Maharjan,LUL,2025-2025,6,6,0,32,18,5.33,39,82.05,-,-,3,4,0
S Lamichhane,BIK,2025-2025,9,7,5,31,9*,15.5,20,155.0,-,-,-,4,1
BKEL Milantha,JAB,2025-2025,2,2,0,30,23,15.0,34,88.23,-,-,-,3,1
SC Kuggeleijn,SPR,2025-2025,8,5,1,30,10,7.5,26,115.38,-,-,-,0,3
K Thagunna,POA,2025-2025,7,5,2,24,9,8.0,30,80.0,-,-,-,2,0
Sohail Tanvir,CHR,2025-2025,5,3,1,23,18,11.5,20,115.0,-,-,-,2,1
SMLD Samarakoon,JAB,2025-2025,1,1,0,22,22,22.0,21,104.76,-,-,-,0,2
S Patel,BIK,2025-2025,2,2,0,22,19,11.0,27,81.48,-,-,-,0,1
SP Jackson,SPR,2025-2025,2,2,0,21,20,10.5,14,150.0,-,-,-,2,1
MP O'Dowd,KAY,2025-2025,1,1,0,20,20,20.0,30,66.66,-,-,-,1,0
Rupesh Singh,JAB,2025-2025,6,4,2,20,8,10.0,26,76.92,-,-,-,2,0
Sunny Patel,KAG,2025-2025,3,3,1,19,10,9.5,15,126.66,-,-,-,1,1
A Gharti,KAY,2025-2025,4,2,0,17,13,8.5,27,62.96,-,-,-,1,0
KS Airee,CHR,2025-2025,7,3,1,17,9,8.5,16,106.25,-,-,-,1,1
LN Rajbanshi,JAB,2025-2025,5,2,2,15,10*,-,14,107.14,-,-,-,2,0
S Kansakar,JAB,2025-2025,4,3,0,15,11,5.0,18,83.33,-,-,1,1,0
Abhisekh Tiwari,POA,2025-2025,3,2,0,14,11,7.0,22,63.63,-,-,-,0,1
P Mehra,SPR,2025-2025,3,2,0,13,13,6.5,13,100.0,-,-,1,2,0
AS Routela,CHR,2025-2025,4,3,2,13,9,13.0,11,118.18,-,-,-,1,0
D Rawat,KAY,2025-2025,2,2,0,12,10,6.0,10,120.0,-,-,-,1,0
Abhishesh Gautam,LUL,2025-2025,1,0,3,11,2,6.0,12,100.0,-,-,-,1,0
H Dhami,SPR,2025-2025,7,3,3,11,7*,-,17,64.7,-,-,-,0,1
Mukhtar Ahmed,SPR,2025-2025,1,1,0,10,10,10.0,10,100.0,-,-,-,2,0
D Dumre,KAY,2025-2025,2,1,0,10,10,10.0,12,83.33,-,-,-,0,0
N Saud,SPR,2025-2025,4,3,1,10,6,5.0,15,66.66,-,-,1,1,0
S Rana,BIK,2025-2025,2,1,0,7,7,7.0,14,50.0,-,-,-,0,0
Bipin Khatri,POA,2025-2025,6,2,1,7,7*,7.0,8,87.5,-,-,1,1,0
S Dhakal,POA,2025-2025,6,2,1,7,6,7.0,4,175.0,-,-,-,0,1
Shahab Alam,KAG,2025-2025,8,4,4,7,4*,-,14,50.0,-,-,-,0,0
JA Kolsawala,KAY,2025-2025,1,1,0,6,6,6.0,10,60.0,-,-,-,0,0
D Kandel,KAG,2025-2025,2,1,0,6,6,6.0,51,20.0,-,-,-,0,0
TJ Draca,LUL,2025-2025,1,1,0,6,6,6.0,4,150.0,-,-,-,1,0
TR Bhandari,LUL,2025-2025,8,2,2,6,6*,-,8,75.0,-,-,-,1,0
Milan Bohara,SPR,2025-2025,2,1,1,5,5*,-,2,250.0,-,-,-,1,0
NK Yadav,KAY,2025-2025,7,3,2,5,3*,5.0,10,50.0,-,-,-,0,0
Aakash Chand,POA,2025-2025,5,3,1,5,4,2.5,5,100.0,-,-,1,1,0
MD Taylor,POA,2025-2025,2,1,0,4,4,4.0,6,66.66,-,-,-,0,0
R Vasconcelos,KAG,2025-2025,1,1,0,3,3,3.0,4,75.0,-,-,-,0,0
K Mahato,JAB,2025-2025,4,2,2,3,2*,-,5,60.0,-,-,-,0,0
