Player,Team,Span,Mat,Inns,NO,Runs_bat,HS,Ave_bat,BF,SR_bat,100,50,0,4s,6s,Overs,Mdns,Balls,Runs_bowl,Wkts,BBI,Ave_bowl,Econ,SR_bowl,4w,5w,10w
Gulbadin Naib,LUL,2025-2025,5,5,1,90,44*,22.5,59,152.54,0,0,0,6,6,16.0,0,96,125,5,2/20,25.0,7.81,19.2,0,0,0
B Sharki,KAG,2025-2025,5,5,1,90,55,22.5,58,155.17,0,1,0,5,7,0,0,0,0,0,-,-,-,-,0,0,0
SS Ranjane,BIK,2025-2025,4,4,1,87,38,29.0,67,129.85,0,0,0,5,4,10.0,0,60,105,5,2/35,21.0,10.5,12.0,0,0,0
A Saud,CHR,2025-2025,7,6,2,87,52,21.75,70,124.28,0,1,0,8,4,0,0,0,0,0,-,-,-,-,0,0,0
Mayan Yadav,JAB,2025-2025,7,6,2,84,34*,21.0,94,89.36,0,0,0,5,2,0,0,0,0,0,-,-,-,-,0,0,0
M de Lange,BIK,2025-2025,9,6,1,83,39,16.6,64,129.68,0,0,1,5,5,33.5,0,203,278,10,2/17,27.8,8.21,20.3,0,0,0
Santosh Yadav,KAG,2025-2025,8,5,0,76,26,15.2,62,122.58,0,0,0,10,4,17.0,0,102,113,7,2/17,16.14,6.64,14.5,0,0,0
DA Douthwaite,POA,2025-2025,3,3,0,73,37,24.33,39,187.17,0,0,0,5,7,10.3,0,63,79,2,2/24,39.5,7.52,31.5,0,0,0
AK Sah,JAB,2025-2025,6,6,0,73,61,12.16,75,97.33,0,1,2,5,3,19.0,0,114,135,4,1/8,33.75,7.1,28.5,0,0,0
MG Erasmus,KAG,2025-2025,5,5,2,71,43*,23.66,70,101.42,0,0,1,5,2,14.0,0,84,98,3,2/27,32.66,7.0,28.0,0,0,0
MMMS Cooray,JAB,2025-2025,3,3,1,70,45*,35.0,71,98.59,0,0,1,3,1,12.0,0,72,63,6,3/25,10.5,5.25,12.0,0,0,0
JJ Roy,POA,2025-2025,3,3,1,68,46,34.0,54,125.92,0,0,0,3,4,0,0,0,0,0,-,-,-,-,0,0,0
